basisOfRecord	catalogNumber	class	collectionCode	countryCode	decimalLatitude	decimalLongitude	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	individualCount	institutionCode	kingdom	license	locality	modified	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	typeStatus	waterBody	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	country	datasetID	maximumDepthInMeters	minimumDepthInMeters	occurrenceStatus	depth	superdomain	superdomainid	day	eventDate	month	year	date_start	date_mid	date_end	date_year
PreservedSpecimen	2007-4595	Pycnogonida	IU	NC	-22.887884	167.290253	Ammotheidae	BIOCAL/DW46	POINT  (167.290253 -22.887884)	Ammothella	WGS84	Stock	1	MNHN	Animalia	CC_BY_4_0	S Ile des Pins	2015-06-19T21:23Z	440010147	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4595	Ammothella nimia	Stock, 1991	urn:lsid:marinespecies.org:taxname:239811	nimia	SPECIES	HOLOTYPE	Pacific Ocean	17254189-08bc-49ac-89e7-1843b1d0628c	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella nimia	2	1065	1274	1302	1358	379601	379608	1562	134570	239811	239811	Ammothella nimia Stock, J.H., 1991	['NO_DEPTH']	555	22223	24.35	35.27																	
Occurrence	21569	Pycnogonida	NewCaledonia		-22.9599990844727	167.550003051758	Ammotheidae			Ammothella				IRD-MNHN	Animalia		Musorstom 4, DW222	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21569:0xD9FB8F0001000500	Pantopoda	Arthropoda			Ammothella nimia		urn:lsid:marinespecies.org:taxname:239811					64d67887-02d6-44bc-96e5-946c0b59e36e	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella nimia	2	1065	1274	1302	1358	379601	379608	1562	134570	239811	239811	Ammothella nimia	[]	516	22135	24.52	35.26	Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	440.0	440.0	present	440.0	Biota	1.0								
PreservedSpecimen	2007-4596	Pycnogonida	IU	NC	-22.959999	167.550003	Ammotheidae	MUSORSTOM 4/DW222	POINT  (167.550003 -22.959999)	Ammothella	WGS84	Stock	1	MNHN	Animalia	CC_BY_4_0	Sud de la Grande-Terre	2015-06-19T21:23Z	440016241	Pantopoda	Arthropoda	B. Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4596	Ammothella nimia	Stock, 1991	urn:lsid:marinespecies.org:taxname:239811	nimia	SPECIES	PARATYPE	Pacific Ocean	b5f944e7-2cc7-4a53-b528-304be5f39644	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella nimia	2	1065	1274	1302	1358	379601	379608	1562	134570	239811	239811	Ammothella nimia Stock, J.H., 1991	['NO_DEPTH']	516	22135	24.52	35.26										30	1985-09-30T01:00Z	9	1985	496886400000.0	496886400000.0	496886400000.0	1985.0
Occurrence	21568	Pycnogonida	NewCaledonia		-22.8799991607666	167.279998779297	Ammotheidae			Ammothella				IRD-MNHN	Animalia		Biocal, DW46	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21568:0xFE78170001000400	Pantopoda	Arthropoda			Ammothella nimia		urn:lsid:marinespecies.org:taxname:239811					e0960681-4557-4843-ae03-37d1b4707f27	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella nimia	2	1065	1274	1302	1358	379601	379608	1562	134570	239811	239811	Ammothella nimia	[]	545	21825	24.35	35.27	Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	610.0	570.0	present	590.0	Biota	1.0								
