associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	lifeStage
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	181986.137917	Invertebrate Zoology: Crustacea	11	-36.5433311462	-53.3833312988	observedindividualcount=1;	1971-03-11T12:00:00Z	Child, C. Allan	1.0	USNM	Argentine Basin, Off Rio De La Plata	1011	993	3	Alcohol (Ethanol)	Nymphon hampsoni	Child	urn:lsid:marinespecies.org:taxname:239481	male	Holotype	South Atlantic Ocean	1971	113d5c80-f8be-49e2-a71a-d49c6bbdfa2a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1002	37497600000	37497600000	37497600000	1971	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon hampsoni	2	1065	1274	1302	1358	379601	379609	1566	134591	239481	239481	Nymphon hampsoni	[]	965	215272	17.29	34.03	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	181988.137919	Invertebrate Zoology: Crustacea	12	-36.8899993896	-53.1699981689	observedindividualcount=77;	1971-03-12T12:00:00Z	Child, C. Allan	77.0	USNM	Argentine Basin, Off Rio De La Plata	2323	2195	3	Alcohol (Ethanol)	Nymphon hampsoni	Child	urn:lsid:marinespecies.org:taxname:239481	male; female;;	Paratype	South Atlantic Ocean	1971	b8eff60d-4d61-4abd-ad97-866863f9b8fb	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2259	37584000000	37584000000	37584000000	1971	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon hampsoni	2	1065	1274	1302	1358	379601	379609	1566	134591	239481	239481	Nymphon hampsoni	[]	2338	257364	18.04	34.82	;; juvenile
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	181987.137918	Invertebrate Zoology: Crustacea	11	-36.5433311462	-53.3833312988	observedindividualcount=156;	1971-03-11T12:00:00Z	Child, C. Allan	156.0	USNM	Argentine Basin, Off Rio De La Plata	1011	993	3	Alcohol (Ethanol)	Nymphon hampsoni	Child	urn:lsid:marinespecies.org:taxname:239481	male; female;;	Paratype	South Atlantic Ocean	1971	c79a6a23-c69a-4116-9853-35f247391e04	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1002	37497600000	37497600000	37497600000	1971	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon hampsoni	2	1065	1274	1302	1358	379601	379609	1566	134591	239481	239481	Nymphon hampsoni	[]	965	215272	17.29	34.03	;; juvenile
