basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	subgenus	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	subgenusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	countryCode	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	individualCount	license	recordedBy	taxonRank	verbatimLocality	waterBody	country
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Austrodecus (Tubidecus) oferrecans</i> Bamber, 2000. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239732	sm_id_1762	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	18	-24.87	168.73	1996-11-18	Austrodecidae	Austrodecus	WoRMS Editorial Board	Animalia	Pacific Ocean	1280.0	1133.0	2007-06-20 15:52:33	11	WoRMS Editorial Board:WoRMS type localities:sm_id_1762	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1762	Austrodecus (Tubidecus) oferrecans	Bamber, 2000	urn:lsid:marinespecies.org:taxname:239732	oferrecans	Austrodecus (Tubidecus)	holotype	1996	32f1bc02-cb82-4911-8309-55fbbba98b87	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1206.5	848275200000.0	848275200000.0	848275200000.0	1996.0	False	False	True	False	Biota	Chelicerata	Stiripasterida	Austrodecus (Tubidecus) oferrecans	1.0	2	1065	1274	1302	1358	379600	22616	134579	236472	239732	239732	Austrodecus (Tubidecus) oferrecans	[]	1486	252062	23.72	35.44												
PreservedSpecimen		2007-4646	Pycnogonida	IU		18	-24.8685	168.721664	1996-11-18T01:00Z	Austrodecidae	Austrodecus	MNHN	Animalia	Ride de Norfolk			2015-10-17T16:35Z	11	439998149		Pantopoda	Arthropoda	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4646	Austrodecus (Tubidecus) oferrecans	Bamber, 2000	urn:lsid:marinespecies.org:taxname:266343	oferrecans	Austrodecus (Tubidecus)	HOLOTYPE	1996	4f3da6a5-f479-48ed-86e7-a726a570be1d	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		848275200000.0	848275200000.0	848275200000.0	1996.0	False	False	True	False		Chelicerata	Stiripasterida	Austrodecus (Tubidecus) oferrecans		2	1065	1274	1302	1358	379600	22616	134579	236472	239732	239732	Austrodecus oferrecans Bamber, R.N., 2000	['NO_DEPTH']	1428	251971	23.72	35.44	NC	HALIPRO 2/BT60	POINT  (168.721664 -24.8685)	WGS84	Bamber	1	CC_BY_4_0	B. Richer de Forges-IRD coll.	SPECIES	Mont Chagrin	Pacific Ocean	
Occurrence	Bamber RN (2000). Musorstom 21(184): 611-625.	48473	Pycnogonida	NewCaledonia	https://marineinfo.org/id/dataset/3128		-24.8600006103516	168.720001220703		Austrodecidae	Austrodecus	IRD-MNHN	Animalia	Halipro 2, BT60	1280.0	1133.0	2013-06-11 14:46:43		urn:catalog:IRD-MNHN:NewCaledonia:48473:0x898E170001000800	present	Pantopoda	Arthropoda		Austrodecus (Tubidecus) oferrecans		urn:lsid:marinespecies.org:taxname:266343		Austrodecus (Tubidecus)			b02d3618-1b87-4092-9e56-77789b5f54cb	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1206.5					False	False	True	False	Biota	Chelicerata	Stiripasterida	Austrodecus (Tubidecus) oferrecans	1.0	2	1065	1274	1302	1358	379600	22616	134579	236472	239732	239732	Austrodecus oferrecans	[]	1513	251045	23.72	35.44												Nouvelle Caledonie
