basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	organismQuantity	organismQuantityType	recordNumber	recordedBy	taxonRank	associatedReferences	dynamicProperties	individualCount	preparations	sex	waterBody
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon trituberculum</i> Child, 1995. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=173520	sm_id_2084	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	3	-59.8	144.75	1965-10-03	Nymphonidae	Nymphon	WoRMS Editorial Board	Animalia	Indian Ocean	3259.0	3200.0	2007-06-20 15:52:33	10	WoRMS Editorial Board:WoRMS type localities:sm_id_2084	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=2084	Nymphon trituberculum	Child, 1995	urn:lsid:marinespecies.org:taxname:173520	trituberculum	holotype	1965	13ef44e4-6dd7-4317-b5da-919f1d62af42	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	3229.5	-134006400000.0	-134006400000.0	-134006400000.0	1965.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon trituberculum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173520	173520	Nymphon trituberculum	[]	3854	782995	1.35	33.78																
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04767	Pycnogonida	MIIC			-41.66333	149.5725		Nymphonidae	Nymphon	CSIRO	Animalia		4000.0	4000.0	2023-07-11T05:57:33		urn:csiro:MIIC:MIIC-04767	present	Pantopoda	Arthropoda		Nymphon trituberculum	Child, 1995	urn:lsid:marinespecies.org:taxname:173520				5f1d3fb7-e361-4997-b7d5-095e144e27df	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	4000.0					False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon trituberculum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173520	173520	Nymphon trituberculum Child, 1995	[]	3990	104158	16.11	35.48	200	IN2017_V03-006	POINT (149.57250 -41.66333)	EPSG:4326	Karen Gowlett-Holmes	1	individuals	IN2017_V03_006_121	Karen Gowlett-Holmes	species						
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04769	Pycnogonida	MIIC			-38.43783	150.18133		Nymphonidae	Nymphon	CSIRO	Animalia		3948.0	3948.0	2023-07-11T05:57:33		urn:csiro:MIIC:MIIC-04769	present	Pantopoda	Arthropoda		Nymphon trituberculum	Child, 1995	urn:lsid:marinespecies.org:taxname:173520				84e1741d-84f9-469a-aa0f-21a22c5382cb	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	3948.0					False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon trituberculum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173520	173520	Nymphon trituberculum Child, 1995	[]	3943	94225	18.03	35.59	200	IN2017_V03-032	POINT (150.18133 -38.43783)	EPSG:4326	Karen Gowlett-Holmes	1	individuals	IN2017_V03_032_117	Karen Gowlett-Holmes	species						
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04768	Pycnogonida	MIIC			-38.43783	150.18133		Nymphonidae	Nymphon	CSIRO	Animalia		3948.0	3948.0	2023-07-11T05:57:33		urn:csiro:MIIC:MIIC-04768	present	Pantopoda	Arthropoda		Nymphon trituberculum	Child, 1995	urn:lsid:marinespecies.org:taxname:173520				ca4cd87c-c751-4c88-b726-1b2a1a002508	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	3948.0					False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon trituberculum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173520	173520	Nymphon trituberculum Child, 1995	[]	3943	94225	18.03	35.59	200	IN2017_V03-032	POINT (150.18133 -38.43783)	EPSG:4326	Karen Gowlett-Holmes	1	individuals	IN2017_V03_032_117	Karen Gowlett-Holmes	species						
HumanObservation		22986	Pycnogonida	SOMBASE Pycnogonids			-59.7999992371	144.75		Nymphonidae	Nymphon	BAS	Animalia		3259.0	3200.0					Pantopoda	Arthropoda		Nymphon trituberculum		urn:lsid:marinespecies.org:taxname:173520				cfe88b9a-45b3-498b-8701-2ab549e27c7e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3229.5					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon trituberculum		2	1065	1274	1302	1358	379601	379609	1566	134591	173520	173520	Nymphon trituberculum	[]	3833	782996	1.35	33.78																
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234677.186402	Pycnogonida	Invertebrate Zoology: Crustacea		3	-59.8250007629	-144.783004761	1965-10-03T12:00:00Z	Nymphonidae	Nymphon	USNM	Animalia					10			Pantopoda	Arthropoda		Nymphon trituberculum	Child	urn:lsid:marinespecies.org:taxname:173520		Holotype	1965	d10f150b-32ba-4080-ad19-ddf99a15eb57	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		-134006400000.0	-134006400000.0	-134006400000.0	1965.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon trituberculum		2	1065	1274	1302	1358	379601	379609	1566	134591	173520	173520	Nymphon trituberculum	['NO_DEPTH']	3183	1665877	-0.03	33.65					Child, C. Allan				Smithsonian Oceanographic Sorting Center		National Museum of Natural History, Smithsonian Institution	observedindividualcount=1;	1.0	Alcohol (Ethanol)	male	South Pacific Ocean
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04766	Pycnogonida	MIIC			-41.66333	149.5725		Nymphonidae	Nymphon	CSIRO	Animalia		4000.0	4000.0	2023-07-11T05:57:33		urn:csiro:MIIC:MIIC-04766	present	Pantopoda	Arthropoda		Nymphon trituberculum	Child, 1995	urn:lsid:marinespecies.org:taxname:173520				fea19160-4daa-4ebd-a334-d3e1f955cdaa	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	4000.0					False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon trituberculum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173520	173520	Nymphon trituberculum Child, 1995	[]	3990	104158	16.11	35.48	200	IN2017_V03-006	POINT (149.57250 -41.66333)	EPSG:4326	Karen Gowlett-Holmes	1	individuals	IN2017_V03_006_121	Karen Gowlett-Holmes	species						
