associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	lifeStage
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234476.186229	Invertebrate Zoology: Crustacea	Japan	31	33.3983306885	135.701675415	observedindividualcount=1;	1984-08-31T12:00:00Z	Bowman, Thomas E.	1.0	USNM	Honshu Island, Kii Strait	416	353	8	Alcohol (Ethanol)	Anoplodactylus tanseii	Nakamura & Child	urn:lsid:marinespecies.org:taxname:239494	male	Holotype	North Pacific Ocean	1984	01c20ae3-23ed-4407-aa65-79c7bdc5610a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	384.5	462758400000	462758400000	462758400000	1984	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus tanseii	2	1065	1274	1302	1358	379601	379610	14469	134592	239494	239494	Anoplodactylus tanseii	[]	542	6259	22.84	34.27	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234479.186232	Invertebrate Zoology: Crustacea	Japan	1	33.4766693115	135.481674194	observedindividualcount=63;	1984-09-01T12:00:00Z	Bowman, Thomas E.	63.0	USNM	Honshu Island, Kii Strait	354	353	9	Alcohol (Ethanol)	Anoplodactylus tanseii	Nakamura & Child	urn:lsid:marinespecies.org:taxname:239494	male; female;;	Paratype	North Pacific Ocean	1984	7744559e-6f82-4dd0-9598-c6176cb1829f	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	353.5	462844800000	462844800000	462844800000	1984	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus tanseii	2	1065	1274	1302	1358	379601	379610	14469	134592	239494	239494	Anoplodactylus tanseii	[]	347	5383	22.68	34.22	;; juvenile
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234477.186230	Invertebrate Zoology: Crustacea	Japan	31	33.3983306885	135.701675415	observedindividualcount=37;	1984-08-31T12:00:00Z	Bowman, Thomas E.	37.0	USNM	Honshu Island, Kii Strait	416	353	8	Alcohol (Ethanol)	Anoplodactylus tanseii	Nakamura & Child	urn:lsid:marinespecies.org:taxname:239494	male; female;;	Paratype	North Pacific Ocean	1984	7f2e6f99-c823-4c31-b7ee-4e862627acc1	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	384.5	462758400000	462758400000	462758400000	1984	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus tanseii	2	1065	1274	1302	1358	379601	379610	14469	134592	239494	239494	Anoplodactylus tanseii	[]	542	6259	22.84	34.27	;; juvenile
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234480.186234	Invertebrate Zoology: Crustacea	Japan	1	33.4683303833	135.475006104	observedindividualcount=2;	1984-09-01T12:00:00Z	Bowman, Thomas E.	2.0	USNM	Honshu Island, Kii Strait	492	455	9	Alcohol (Ethanol)	Anoplodactylus tanseii	Nakamura & Child	urn:lsid:marinespecies.org:taxname:239494	female	Paratype	North Pacific Ocean	1984	92512d02-e3ed-4812-9093-cf7df116d71c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	473.5	462844800000	462844800000	462844800000	1984	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus tanseii	2	1065	1274	1302	1358	379601	379610	14469	134592	239494	239494	Anoplodactylus tanseii	[]	448	6497	22.68	34.22	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234478.186231	Invertebrate Zoology: Crustacea	Japan	30	33.4049987793	135.716674805	observedindividualcount=1;	1984-08-30T12:00:00Z	Bowman, Thomas E.	1.0	USNM	Honshu Island, Kii Strait	335	293	8	Alcohol (Ethanol)	Anoplodactylus tanseii	Nakamura & Child	urn:lsid:marinespecies.org:taxname:239494	female	Paratype	North Pacific Ocean	1984	debc681c-6349-493c-915a-744b4e27b035	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	314.0	462672000000	462672000000	462672000000	1984	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus tanseii	2	1065	1274	1302	1358	379601	379610	14469	134592	239494	239494	Anoplodactylus tanseii	[]	410	4729	22.84	34.27	
