basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	individualCount	maximumDepthInMeters	recordedBy
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Sericosura cyrtoma</i> Child & Segonzac, 1996. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240423	sm_id_1409	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	29	12.8	-103.91	1991-10-29	Ammotheidae	Sericosura	WoRMS Editorial Board	Animalia	Pacific Ocean	2563	2007-06-20 15:52:33	10	WoRMS Editorial Board:WoRMS type localities:sm_id_1409	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1409	Sericosura cyrtoma	Child & Segonzac, 1996	urn:lsid:marinespecies.org:taxname:240423	cyrtoma	holotype	1991	1acfe7c8-0d08-41fd-9b6c-b2972219b3a9	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2563.0	688694400000.0	688694400000.0	688694400000.0	1991.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Sericosura cyrtoma	1	2	1065	1274	1302	1358	379601	379608	1562	134576	240423	240423	Sericosura cyrtoma	[]	2876	583223	28.78	33.54				
Occurrence		591	Pycnogonida	C	https://marineinfo.org/id/dataset/212		12.960000038147	-103.930000305176		Ammotheidae	Sericosura	PENN	Animalia	13Â°N - EPR	2571	2005-03-12 18:56:00		urn:catalog:PENN:C:591:0xA17DDC0001000400	present	Pantopoda	Arthropoda		Sericosura cyrtoma		urn:lsid:marinespecies.org:taxname:240423				6f964cdc-7d76-4224-9ccc-cd8728855006	471a8de8-80f8-43f9-9443-88a45712feba	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2632.5					False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Sericosura cyrtoma	1	2	1065	1274	1302	1358	379601	379608	1562	134576	240423	240423	Sericosura cyrtoma	[]	2973	569250	28.78	33.56	East Pacific Rise	1.0	2694.0	Chuck Fisher
Occurrence		590	Pycnogonida	C	https://marineinfo.org/id/dataset/212		12.960000038147	-103.930000305176		Ammotheidae	Sericosura	PENN	Animalia	13Â°N - EPR	2571	2005-03-12 18:56:00		urn:catalog:PENN:C:590:0xC1F58F0001000600	present	Pantopoda	Arthropoda		Sericosura cyrtoma		urn:lsid:marinespecies.org:taxname:240423				76cf3646-7144-429f-b9e0-95b068cbecad	471a8de8-80f8-43f9-9443-88a45712feba	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2632.5					False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Sericosura cyrtoma	1	2	1065	1274	1302	1358	379601	379608	1562	134576	240423	240423	Sericosura cyrtoma	[]	2973	569250	28.78	33.56	East Pacific Rise	1.0	2694.0	Chuck Fisher Cindy Van Dover
Occurrence		592	Pycnogonida	C	https://marineinfo.org/id/dataset/212		10.460000038147	-104.041999816895		Ammotheidae	Sericosura	PENN	Animalia	9Â°N - EPR	2492	2005-03-12 18:56:00		urn:catalog:PENN:C:592:0xD21C700001000500	present	Pantopoda	Arthropoda		Sericosura cyrtoma		urn:lsid:marinespecies.org:taxname:240423				c52000e1-eb00-42e9-bc2a-1d219fb03e80	471a8de8-80f8-43f9-9443-88a45712feba	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2521.0					False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Sericosura cyrtoma	1	2	1065	1274	1302	1358	379601	379608	1562	134576	240423	240423	Sericosura cyrtoma	[]	3148	564388	28.44	33.5	East Pacific Rise	1.0	2550.0	Chuck Fisher
