associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	subspecies	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	subspeciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	brackish	coordinateUncertaintyInMeters	datasetID	datasetName	eventID	eventTime	fieldNumber	footprintSRS	language	modified	occurrenceID	occurrenceStatus	recordedBy	samplingProtocol	specificEpithet	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	32166.252937	Invertebrate Zoology: Crustacea	Mexico	11	16.5499992371	-99.875	observedindividualcount=4;	1891-04-11T12:00:00Z	Schimkewitsch, W. M.	4.0	USNM	Off Acapulco	1207	1207	4	Alcohol (Ethanol)	Colossendeis gracilis pallida	Schimkewitsch	urn:lsid:marinespecies.org:taxname:848879	male	Syntype	North Pacific Ocean	1891	04ff5f0c-d998-44f8-9ef4-cb1866f6d10a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1207	-2484345600000.0	-2484345600000.0	-2484345600000.0	1891.0	False	False	True	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis gracilis	Colossendeis gracilis pallida	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134665	848879.0	848879	Colossendeis gracilis pallida	[]	1155	24842	28.97	33.21																	
	HumanObservation		38099	SOMBASE Pycnogonids			-63.0250015259	-62.7999992371					BAS		280	280			Colossendeis gracilis		urn:lsid:marinespecies.org:taxname:134665					29915a6c-5d0f-41b2-8bfb-d6629c2069c8	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	280					False	False	True	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis gracilis		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134665		134665	Colossendeis gracilis	['DEPTH_EXCEEDS_BATH']	200	7175	-0.37	33.6	False																
	HumanObservation		37193	SOMBASE Pycnogonids			-52.6665992737	-56.1333007812					BAS		1660	1660			Colossendeis gracilis		urn:lsid:marinespecies.org:taxname:134665					3449344e-55e7-46f3-839f-f526f48a436e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1660					False	False	True	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis gracilis		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134665		134665	Colossendeis gracilis	[]	1495	152773	5.66	34.04	False																
	HumanObservation		38105	SOMBASE Pycnogonids			-75.9332962036	174.433303833					BAS		640	640			Colossendeis gracilis		urn:lsid:marinespecies.org:taxname:134665					5de80650-8bb9-4974-891d-e5040fe0c235	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	640					False	False	True	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis gracilis		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134665		134665	Colossendeis gracilis	['DEPTH_EXCEEDS_BATH']	517	162747	-1.51	34.28	False																
	HumanObservation		21955	bio_dba		1	-21.0	11.0		1971-06-01T00:00:00+00:00	STOCK Jan			Golfe de Guinee, bassin de l'Angola	2953	2953	6		Colossendeis gracilis		urn:lsid:marinespecies.org:taxname:134665				1971	6252772b-7fd9-4a32-a017-c8ffb4de99bf	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2953	44582400000.0	44582400000.0	44582400000.0	1971.0	False	False	True	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis gracilis		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134665		134665	Colossendeis gracilis	['DEPTH_EXCEEDS_BATH']	2437	237536	18.74	35.49	False	50.0	https://marineinfo.org/id/dataset/490	Bigood	Blake trawl_197161_CV/B/Y/W-5_NA	00:00:00+00:00	CV/B/Y/W-5	EPSG:4326	en	2022-01-18 09:29:51	Ifremer_bio_dba_21955	present	PAUTOT Guy	Blake trawl	gracilis	Biota	1.0
