basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	institutionCode	kingdom	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	phylum	recordNumber	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	taxonRank	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	order	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	country	datasetName	day	language	locationID	month	preparations	samplingProtocol	sex	specificEpithet	year	associatedReferences	dynamicProperties	individualCount	locality	stateProvince	typeStatus	waterBody	dateIdentified	eventID	occurrenceRemarks	sampleSizeUnit
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04864	Pycnogonida	MIIC	200	-34.7675	130.713	2017-04-23 00:00	Pallenopsidae	IN2017_C01-207	POINT (130.71300 -34.76750)	Bathypallenopsis	EPSG:4326	Karen Gowlett-Holmes	CSIRO	Animalia	1808.0	1808.0	2023-07-11T05:57:21	urn:csiro:MIIC:MIIC-04864	present	1	individuals	Arthropoda	IN2017_C01_207_101	Karen Gowlett-Holmes	Bathypallenopsis californica	(Schimkewitsch, 1893)	urn:lsid:marinespecies.org:taxname:239573	species	0b41def0-c6f9-458f-9f59-9cdffc632dd6	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	1808.0	1492905600000.0	1492905600000.0	1492905600000.0	2017.0	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bathypallenopsis californica	1.0	2	1065	1274	1302	1358	379601	379609	236317	236477	239573	239573	Bathypallenopsis californica (Schimkewitsch, 1893)	[]	1807	320354	17.3	35.55																							
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04866	Pycnogonida	MIIC	200	-34.7675	130.713	2017-04-23 00:00	Pallenopsidae	IN2017_C01-207	POINT (130.71300 -34.76750)	Bathypallenopsis	EPSG:4326	Karen Gowlett-Holmes	CSIRO	Animalia	1808.0	1808.0	2023-07-11T05:57:21	urn:csiro:MIIC:MIIC-04866	present	1	individuals	Arthropoda	IN2017_C01_207_101	Karen Gowlett-Holmes	Bathypallenopsis californica	(Schimkewitsch, 1893)	urn:lsid:marinespecies.org:taxname:239573	species	87fc940c-ce59-46c3-947f-8cdef8535459	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	1808.0	1492905600000.0	1492905600000.0	1492905600000.0	2017.0	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bathypallenopsis californica	1.0	2	1065	1274	1302	1358	379601	379609	236317	236477	239573	239573	Bathypallenopsis californica (Schimkewitsch, 1893)	[]	1807	320354	17.3	35.55																							
PreservedSpecimen		7476	Pycnogonida	NIWA	500	-39.5	178.8333	17/06/1980	Pallenopsidae		POINT (178.8333 -39.5)	Bathypallenopsis	WGS84		NIWA Invertebrate Collection	Animalia	3391.0	3391.0	8/04/2022	5e8239bc-fa36-11e2-96b3-aa6f927c92a3	present			Arthropoda		NZOI	Bathypallenopsis californica	(Schimkewitsch, 1893)	urn:lsid:marinespecies.org:taxname:239573		994b6f19-7308-474a-8e3b-5a3bc1f04345	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	3391.0					False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bathypallenopsis californica		2	1065	1274	1302	1358	379601	379609	236317	236477	239573	239573	Bathypallenopsis californica	[]	3432	83574	16.74	35.45	Oceania	New Zealand	NIWA Invertebrate Collection	17	en	P970	6	Specimen(s), None = 1	Sled, epibenthic	male	californica	1980											
HumanObservation		34156	Pycnogonida	SOMBASE Pycnogonids		-39.5	178.833297729		Pallenopsidae			Bathypallenopsis			BAS	Animalia	3390.0	3391.0						Arthropoda			Bathypallenopsis californica		urn:lsid:marinespecies.org:taxname:848867		b9e826de-bf6e-45a9-86cd-6c24e51375d3	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3390.5					False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bathypallenopsis californica		2	1065	1274	1302	1358	379601	379609	236317	236477	239573	239573	Pallenopsis californica	['MIN_DEPTH_EXCEEDS_MAX']	3432	83574	16.74	35.45																							
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	32155.252925	Pycnogonida	Invertebrate Zoology: Crustacea		23.9829998016	-108.666999817	1891-07-02T12:00:00Z	Pallenopsidae			Bathypallenopsis		Schimkewitsch, W. M.	USNM	Animalia								Arthropoda			Bathypallenopsis californica	Schimkewitsch	urn:lsid:marinespecies.org:taxname:848867		bd5e8108-880a-4393-9366-182c6d7d09ff	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		-2477260800000.0	-2477260800000.0	-2477260800000.0	1891.0	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bathypallenopsis californica		2	1065	1274	1302	1358	379601	379609	236317	236477	239573	239573	Pallenopsis californica	['NO_DEPTH']	2467	94442	26.09	34.33		Mexico						Alcohol (Ethanol)		male		1891	National Museum of Natural History, Smithsonian Institution	observedindividualcount=2;	2.0	E Of Southern Tip Of Baja California	Baja California	Syntype	North Pacific Ocean				
HumanObservation		IN2017_C01_207_101	Pycnogonida	GAB-RP	100	-34.75525	130.7135	2017-04-22T17:42:16Z	Pallenopsidae	IN2017_C01:207	LINE (130.7130  -34.7675, 130.7140  -34.7430)	Bathypallenopsis		D Staples	CSIRO	Animalia	1808.0	1772.0	2022-08-29T02:43:00	CS-IN2017_C01-207-2549640-33020021-10	present	2	individuals	Arthropoda			Bathypallenopsis californica	(Schimkewitsch, 1893)	urn:lsid:marinespecies.org:taxname:239573		d6d59b1a-0a77-48fb-b00d-1a48f77d2895	27f7853d-48c4-4365-8b0b-158d8fffb7c7	['2a57cd59-6799-4579-955e-27c9af97aea4']	1790.0	1492819200000.0	1492819200000.0	1492819200000.0	2017.0	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bathypallenopsis californica	1.0	2	1065	1274	1302	1358	379601	379609	236317	236477	239573	239573	Bathypallenopsis californica	[]	1778	319096	17.3	35.55		Australia													2					01/NOV/17	IN2017_C01:207	Occurrence Type: Catch specimen	IN2017_C01
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04865	Pycnogonida	MIIC	200	-34.7675	130.713	2017-04-23 00:00	Pallenopsidae	IN2017_C01-207	POINT (130.71300 -34.76750)	Bathypallenopsis	EPSG:4326	Karen Gowlett-Holmes	CSIRO	Animalia	1808.0	1808.0	2023-07-11T05:57:21	urn:csiro:MIIC:MIIC-04865	present	1	individuals	Arthropoda	IN2017_C01_207_101	Karen Gowlett-Holmes	Bathypallenopsis californica	(Schimkewitsch, 1893)	urn:lsid:marinespecies.org:taxname:239573	species	fe72f993-dc19-460b-8ef0-b3d75372bba7	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	1808.0	1492905600000.0	1492905600000.0	1492905600000.0	2017.0	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bathypallenopsis californica	1.0	2	1065	1274	1302	1358	379601	379609	236317	236477	239573	239573	Bathypallenopsis californica (Schimkewitsch, 1893)	[]	1807	320354	17.3	35.55																							
