basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	country	dynamicProperties	identifiedBy	individualCount	preparations	recordedBy	sex	waterBody
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon monothrix</i> Child, 1995. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=173456	sm_id_1109	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	3	-67.48	179.48	1967-02-03	Nymphonidae	Nymphon	WoRMS Editorial Board	Animalia	Ross Sea	3514.0	3495.0	2007-06-20 15:52:33	2	WoRMS Editorial Board:WoRMS type localities:sm_id_1109	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1109	Nymphon monothrix	Child, 1995	urn:lsid:marinespecies.org:taxname:173456	monothrix	holotype	1967	29a2ca36-5ea5-4f6b-a578-2a1cea781213	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	3504.5	-91843200000.0	-91843200000.0	-91843200000.0	1967.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon monothrix	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173456	173456	Nymphon monothrix	[]	3558	26940	-1.5	33.92									
HumanObservation		22983	Pycnogonida	SOMBASE Pycnogonids			-67.4832992554	179.483306885		Nymphonidae	Nymphon	BAS	Animalia		3514.0	3495.0					Pantopoda	Arthropoda		Nymphon monothrix		urn:lsid:marinespecies.org:taxname:173456				45718e08-dea9-474c-bb44-1494fa1eef30	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3504.5					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon monothrix		2	1065	1274	1302	1358	379601	379609	1566	134591	173456	173456	Nymphon monothrix	[]	3558	26930	-1.5	33.92									
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234674.286933	Pycnogonida	Invertebrate Zoology: Crustacea		3	-67.516998291	179.524993896	1967-02-03T12:00:00Z	Nymphonidae	Nymphon	USNM	Animalia	Victoria Land, Scott Island Bank				2			Pantopoda	Arthropoda		Nymphon monothrix	Child	urn:lsid:marinespecies.org:taxname:173456		Holotype	1967	da1515cb-97cc-4063-aeb9-7591ced3f3ae	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		-91843200000.0	-91843200000.0	-91843200000.0	1967.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon monothrix		2	1065	1274	1302	1358	379601	379609	1566	134591	173456	173456	Nymphon monothrix	['NO_DEPTH']	3551	26860	-1.51	33.93	National Museum of Natural History, Smithsonian Institution	Antarctica	observedindividualcount=1;	Child, C. Allan	1.0	Alcohol (Ethanol)	University of Southern California	male	Antarctic Ocean
