basisOfRecord	catalogNumber	class	coordinateUncertaintyInMeters	countryCode	day	decimalLatitude	decimalLongitude	eventDate	eventID	family	fieldNumber	genus	geodeticDatum	identifiedBy	identifiedByID	institutionCode	institutionID	kingdom	language	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceID	occurrenceStatus	order	organismQuantity	organismQuantityType	phylum	preparations	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	type	verbatimEventDate	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	footprintWKT	occurrenceRemarks	sex	bibliographicCitation	collectionCode	country	datasetID	locality	modified	associatedSequences	collectionID	continent	datasetName	eventRemarks	locationID	organismID	parentNameUsageID	recordNumber	taxonID	taxonomicStatus	waterBody
PreservedSpecimen	JR230_09_769_2	Pycnogonida	1000	AQ	9	-67.692	-69.992	2009-12-09	JR230	Nymphonidae	JR230_BASWAP5-AGT-19c	Nymphon	EPSG:4326	Claudia Arango	https://orcid.org/0000-0003-1098-830X	BAS	https://ror.org/01rhff309	Animalia	en	472.02	472.02	12	JR230_09_769_2	Present	Pantopoda	1	individuals	Arthropoda	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr230.pdf	Nymphon unguiculatum	Hodgson, 1915	urn:lsid:marinespecies.org:taxname:173526	unguiculatum	species	PhysicalObject	9/12/2009	2009	02e52b4f-239c-4b7b-9018-26409c6d8b5c	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	472.02	1260316800000.0	1260316800000.0	1260316800000.0	2009.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon unguiculatum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173526	173526	Nymphon unguiculatum	[]	484	26771	-0.93	32.87																					
PreservedSpecimen	JR15005_1166_08a	Pycnogonida	263	AQ	10	-60.3561	-46.6858	2016-03-10	JR15005	Nymphonidae	JR15005_62	Nymphon	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	573.0	458.0	3	JR15005_1166_08a	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Nymphon unguiculatum	Hodgson, 1915	urn:lsid:marinespecies.org:taxname:173526	unguiculatum	species	PhysicalObject	10/3/2016	2016	095d57ee-4a06-46c0-ab04-717f6dd59523	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	515.5	1457568000000.0	1457568000000.0	1457568000000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon unguiculatum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173526	173526	Nymphon unguiculatum	[]	635	22266	-0.87	33.81	LINESTRING (-46.68411 -60.35385, -46.68745 -60.35828)	Eggs present	Male																		
PreservedSpecimen	78	Pycnogonida				-62.3139	-61.751434			Nymphonidae		Nymphon				USNM		Animalia			334.0		urn:catalog:BAS:CAML - Mahon:78		Pantopoda			Arthropoda			Nymphon unguiculatum		urn:lsid:marinespecies.org:taxname:173526	unguiculatum					099589cb-3b57-4998-8646-5582dc908c7b	8439a1e0-4aff-414e-bc43-83e4aa9db08e	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	334.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon unguiculatum		2	1065	1274	1302	1358	379601	379609	1566	134591	173526	173526	Nymphon unguiculatum	[]	1484	40637	-0.31	33.6				Mahon,A.R., Arango,C.P. and Halanych,K.M. Mar. Biol. 155, 315-323 (2008)	Invertebrate Zoology	Antarctica	IMIS:dasid:1785	Peninsula	2010-01-21T00:00Z												
HumanObservation	39844	Pycnogonida				-62.6411018372	-60.4077987671			Nymphonidae		Nymphon				BAS		Animalia		176.0	176.0				Pantopoda			Arthropoda			Nymphon unguiculatum		urn:lsid:marinespecies.org:taxname:173526						0d1b2f8e-e118-4920-9009-4855a8c407c8	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	176.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon unguiculatum		2	1065	1274	1302	1358	379601	379609	1566	134591	173526	173526	Nymphon unguiculatum	[]	120	1774	-0.39	33.94					SOMBASE Pycnogonids																
PreservedSpecimen	JR275_854.4	Pycnogonida	78	AQ	23	-75.2634	-31.1286	2012-02-23	JR275	Nymphonidae	JR275_58	Nymphon	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	607.13	604.29	2	JR275_854.4	Present	Pantopoda	2	individuals	Arthropoda	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr275.pdf	Nymphon unguiculatum	Hodgson, 1915	urn:lsid:marinespecies.org:taxname:173526	unguiculatum	species	PhysicalObject	23/02/2012	2012	0d4f2ea1-6568-4671-991d-6cc518d7640a	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	605.71	1329955200000.0	1329955200000.0	1329955200000.0	2012.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon unguiculatum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173526	173526	Nymphon unguiculatum	[]	611	102758	-1.76	34.14	LINESTRING (-31.12627 -75.26308, -31.131 -75.26378)																				
PreservedSpecimen	S12127	Pycnogonida		AQ		-76.2020034790039	176.248001098633	2008-02-18	CE01725	Nymphonidae		Nymphon		Claudia Arango		OGL	8c116cac-9394-4c4e-be14-06184bdc62bd	Animalia			447.0		OGL_MSC_NortheasternUniversity_S12127	present	Pantopoda			Arthropoda		ND	Nymphon unguiculatum	Hodgson, 1915	urn:lsid:marinespecies.org:taxname:173526	unguiculatum	Species				0f04b256-3fe9-4657-9c30-8dce0cdd21da	9d629feb-ba03-4a83-908c-794d94d30531	['b7c47783-a020-4173-b390-7b57c4fa1426']	447.0	1203292800000.0	1203292800000.0	1203292800000.0	2008.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon unguiculatum		2	1065	1274	1302	1358	379601	379609	1566	134591	173526	173526	Nymphon unguiculatum	[]	440	144578	-1.53	34.23					OGL	Antarctica	OGL_MSC_NortheasternUniversity			BOLD ID: 36874-1	0f00dede-1a1f-49e5-ae69-2bc40db635c5	Antarctica	Ocean Genome Legacy Collection	Collection Event Notes: Collector name listed as R/VTANGAROA	CL02491	S12127	134591	36874-1; 1657	T02488	accepted	Ross Sea
PreservedSpecimen	JR15005_1098_03a	Pycnogonida	257	AQ	9	-60.3567	-46.6863	2016-03-09	JR15005	Nymphonidae	JR15005_61	Nymphon	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	540.0	465.0	3	JR15005_1098_03a	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Nymphon unguiculatum	Hodgson, 1915	urn:lsid:marinespecies.org:taxname:173526	unguiculatum	species	PhysicalObject	9/3/2016	2016	0fe0cfdd-853e-4d87-b1af-0abcad4495f2	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	502.5	1457481600000.0	1457481600000.0	1457481600000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon unguiculatum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173526	173526	Nymphon unguiculatum	[]	635	22199	-0.87	33.81	LINESTRING (-46.68423 -60.35469, -46.68845 -60.3588)	Eggs present	Male																		
PreservedSpecimen	JR15005_1790_01a	Pycnogonida	300	AQ	12	-60.2146	-46.7283	2016-03-12	JR15005	Nymphonidae	JR15005_85	Nymphon	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	838.0	798.0	3	JR15005_1790_01a	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Nymphon unguiculatum	Hodgson, 1915	urn:lsid:marinespecies.org:taxname:173526	unguiculatum	species	PhysicalObject	12/3/2016	2016	1088bd79-55e9-4015-bb34-4fe94d1adf2f	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	818.0	1457740800000.0	1457740800000.0	1457740800000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon unguiculatum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173526	173526	Nymphon unguiculatum	[]	791	38057	-0.81	33.83	LINESTRING (-46.72335 -60.2135, -46.73315 -60.21577)																				
PreservedSpecimen	74	Pycnogonida				-62.3139	-61.751434			Nymphonidae		Nymphon				USNM		Animalia			334.0		urn:catalog:BAS:CAML - Mahon:74		Pantopoda			Arthropoda			Nymphon unguiculatum		urn:lsid:marinespecies.org:taxname:173526	unguiculatum					126b8621-c3f6-4657-920f-c4b4077c4d41	8439a1e0-4aff-414e-bc43-83e4aa9db08e	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	334.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon unguiculatum		2	1065	1274	1302	1358	379601	379609	1566	134591	173526	173526	Nymphon unguiculatum	[]	1484	40637	-0.31	33.6				Mahon,A.R., Arango,C.P. and Halanych,K.M. Mar. Biol. 155, 315-323 (2008)	Invertebrate Zoology	Antarctica	IMIS:dasid:1785	Peninsula	2010-01-21T00:00Z												
PreservedSpecimen	ANTXXVII/3_PS77_1260_6.3.8	Pycnogonida	376	AQ	20	-70.8425	-10.6031	2011-03-20	PS77	Nymphonidae	PS77_PS77/260-6	Nymphon	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	270.5	250.5	3	ANTXXVII/3_PS77_1260_6.3.8	Present	Pantopoda	1	individuals	Arthropoda	Whole animal in 96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	Nymphon unguiculatum	Hodgson, 1915	urn:lsid:marinespecies.org:taxname:173526	unguiculatum	species	PhysicalObject	20/03/2011	2011	1a5da4be-d0a9-4630-ab2a-bb8bd8cf7324	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	260.5	1300579200000.0	1300579200000.0	1300579200000.0	2011.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon unguiculatum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173526	173526	Nymphon unguiculatum	[]	232	14501	-1.72	33.77	LINESTRING (-10.596833 -70.83983, -10.60933333 -70.84516667)	Eggs on both ovigers	Male																		
