basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	datasetName	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	eventID	family	fieldNumber	footprintWKT	genus	geodeticDatum	individualCount	institutionCode	kingdom	language	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	order	phylum	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	startDayOfYear	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	country	locationID	preparations	recordedBy	dateIdentified	identifiedBy	taxonRemarks	georeferenceSources	endDayOfYear
HumanObservation	Ammothea glacialis (MBIS Terra Nova Expedition urn:NIWA:TerraNovaExp:645)	TN Stn. 314 Ammothea glacialis	Pycnogonida	MBIS Terra Nova Expedition	500	British Antarctic (Terra Nova) Expedition Zoology	23	-77.5902	166.2607	SurfaceTemperatureInC=0.5	1911-01-23	314	Ammotheidae	Stn. 314	POINT (166.2607 -77.5902)	Ammothea	WGS84	5	TN	Animalia	en	5 miles N. of Inaccessible Island, McMurdo Sound	441	406.0	2014-08-10	1	urn:NIWA:TerraNovaExp:645	SurfaceTemperatureInC=0.5. GearType=Agassiz trawl	present	Pantopoda	Arthropoda	GearType=Agassiz trawl	Ammothea glacialis	(Hodgson, 1907)	urn:lsid:marinespecies.org:taxname:172916	immature	glacialis	23	Southern Ocean	1911	0137eb15-6424-428b-8bc3-0882060db3f3	159421b6-a764-4af1-9cc3-bc652dbeb12e	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	423.5	-1860019200000.0	-1860019200000.0	-1860019200000.0	1911.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea glacialis	2	1065	1274	1302	1358	379601	379608	1562	134569	172916	172916	Ammothea glacialis	['DEPTH_EXCEEDS_BATH']	5	987	-1.68	34.3										
HumanObservation	Ammothea glacialis (MBIS Terra Nova Expedition urn:NIWA:TerraNovaExp:766)	TN Stn. 338 Ammothea glacialis	Pycnogonida	MBIS Terra Nova Expedition	500	British Antarctic (Terra Nova) Expedition Zoology	23	-77.2167	164.3		1912-01-23	338	Ammotheidae	Stn. 338	POINT (164.3000 -77.2167)	Ammothea	WGS84	2	TN	Animalia	en	Ross Sea	379	379.0	2014-08-10	1	urn:NIWA:TerraNovaExp:766	GearType=Agassiz trawl	present	Pantopoda	Arthropoda	GearType=Agassiz trawl	Ammothea glacialis	(Hodgson, 1907)	urn:lsid:marinespecies.org:taxname:172916	m	glacialis	23	Southern Ocean	1912	01eb54b8-9d27-4ba3-9192-2d3331544287	159421b6-a764-4af1-9cc3-bc652dbeb12e	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	379.0	-1828483200000.0	-1828483200000.0	-1828483200000.0	1912.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea glacialis	2	1065	1274	1302	1358	379601	379608	1562	134569	172916	172916	Ammothea glacialis	[]	361	19022	-1.64	34.28										
HumanObservation	Ammothea glacialis (MBIS Terra Nova Expedition urn:NIWA:TerraNovaExp:767)	TN Stn. 338 Ammothea glacialis	Pycnogonida	MBIS Terra Nova Expedition	500	British Antarctic (Terra Nova) Expedition Zoology	23	-77.2167	164.3		1912-01-23	338	Ammotheidae	Stn. 338	POINT (164.3000 -77.2167)	Ammothea	WGS84	2	TN	Animalia	en	Ross Sea	379	379.0	2014-08-10	1	urn:NIWA:TerraNovaExp:767	GearType=Agassiz trawl	present	Pantopoda	Arthropoda	GearType=Agassiz trawl	Ammothea glacialis	(Hodgson, 1907)	urn:lsid:marinespecies.org:taxname:172916	f	glacialis	23	Southern Ocean	1912	02eb14c2-3e45-4d2a-9467-165b2c201f02	159421b6-a764-4af1-9cc3-bc652dbeb12e	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	379.0	-1828483200000.0	-1828483200000.0	-1828483200000.0	1912.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea glacialis	2	1065	1274	1302	1358	379601	379608	1562	134569	172916	172916	Ammothea glacialis	[]	361	19022	-1.64	34.28										
HumanObservation		38676	Pycnogonida	SOMBASE Pycnogonids				-66.5333023071	92.0167007446				Ammotheidae			Ammothea			BAS	Animalia			15	10.0						Pantopoda	Arthropoda		Ammothea glacialis		urn:lsid:marinespecies.org:taxname:172916						03541ccd-ba98-4ade-986f-7bb7aae075c0	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	12.5					False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea glacialis	2	1065	1274	1302	1358	379601	379608	1562	134569	172916	172916	Ammothea glacialis	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-91	-2483												
PreservedSpecimen		70210	Pycnogonida	NIWA	500	NIWA Invertebrate Collection	14	-72.31167	170.1875		14/02/2001		Ammotheidae	TAN0102/K0803	POINT (170.1875 -72.31167)	Ammothea	WGS84		NIWA Invertebrate Collection	Animalia	en	Cape Hallett - northern tip of Peninsula	49	49.0	8/04/2022	2	6057b4ba-fa36-11e2-96b3-aa6f927c92a3		present	Pantopoda	Arthropoda		Ammothea glacialis	(Hodgson, 1907)	urn:lsid:marinespecies.org:taxname:172916		glacialis			2001	07098df0-dafd-4e59-96aa-69a253034e26	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	49.0					False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea glacialis	2	1065	1274	1302	1358	379601	379608	1562	134569	172916	172916	Ammothea glacialis	[]	199	996	-1.72	33.53	Antarctica	Ross Dependency	Z10647	Specimen(s), Ethanol - no formalin = 3	Page, Mike; MFish					
HumanObservation	Ammothea glacialis  (MBIS BioRoss 2089)	TAN0402/189 Ammothea glacialis	Pycnogonida	MBIS BioRoss	30		27	-71.574833	170.870667		2004-02-27T22:55+12		Ammotheidae	TAN0402/189	POINT (170.870667 -71.574833)	Ammothea	WGS84	1	NIWA	Animalia	en	Ross 2	231	231.0	2013-11-03	2	2089	GearType= Van Veen Grab	present	Pantopoda	Arthropoda	Van Veen grab	Ammothea glacialis	(Hodgson, 1907)	urn:lsid:marinespecies.org:taxname:172916		glacialis	58	Southern Ocean	2004	0a4d29ac-357e-4a0c-8b1a-5b72fd6953f7	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	231.0	1077840000000.0	1077840000000.0	1077840000000.0	2004.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea glacialis	2	1065	1274	1302	1358	379601	379608	1562	134569	172916	172916	Ammothea glacialis	[]	230	8919	-1.65	33.93						2005-06-20	Johanna Nielsen	Ammothea glacialis		
PreservedSpecimen		46250	Pycnogonida	NIWA	100	NIWA Invertebrate Collection	26	-72.031333	170.905333		26/02/2004		Ammotheidae		LINESTRING (170.905333 -72.031333, 170.902167 -72.0375)	Ammothea	WGS84		NIWA Invertebrate Collection	Animalia	en		280	270.0	8/04/2022	2	5cd83a58-fa36-11e2-96b3-aa6f927c92a3		present	Pantopoda	Arthropoda	Sled, epibenthic	Ammothea glacialis	(Hodgson, 1907)	urn:lsid:marinespecies.org:taxname:172916		glacialis			2004	1651ece2-e11c-478d-9b92-d0f936152017	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	275.0					False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea glacialis	2	1065	1274	1302	1358	379601	379608	1562	134569	172916	172916	Ammothea glacialis	[]	283	8583	-1.69	33.72	Antarctica	Ross Dependency	TAN0402/145	Specimen(s), Ethanol - no formalin = 1	NIWA; MFish		Nielsen, Johanna		GPS	
PreservedSpecimen		9578	Pycnogonida	NIWA	500	NIWA Invertebrate Collection	11	-77.0833	177.2		11/01/1959		Ammotheidae		POINT (177.2 -77.0833)	Ammothea	WGS84		NIWA Invertebrate Collection	Animalia	en		354		8/04/2022	1	5e9ce4e2-fa36-11e2-96b3-aa6f927c92a3		present	Pantopoda	Arthropoda	Trawl, Agassiz small	Ammothea glacialis	(Hodgson, 1907)	urn:lsid:marinespecies.org:taxname:172916		glacialis			1959	1a2afed9-8548-49f2-9e02-85452f1c5480	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	354.0					False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea glacialis	2	1065	1274	1302	1358	379601	379608	1562	134569	172916	172916	Ammothea glacialis	[]	423	59248	-1.59	34.21	Antarctica	Ross Dependency	A449_Trawl	Specimen(s), Ethanol - no formalin = 1	NZOI					
HumanObservation	Ammothea glacialis  (MBIS BioRoss 2103)	TAN0402/197 Ammothea glacialis	Pycnogonida	MBIS BioRoss	30		28	-71.620667	170.8665		2004-02-28T02:47/2004-02-28T02:57+12		Ammotheidae	TAN0402/197	LINESTRING (170.8665 -71.620667, 170.878833 -71.6185)	Ammothea	WGS84	1	NIWA	Animalia	en	Ross 2	211	198.0	2013-11-03	2	2103	GearType= Epibenthic sled	present	Pantopoda	Arthropoda	Epibenthic sled	Ammothea glacialis	(Hodgson, 1907)	urn:lsid:marinespecies.org:taxname:172916		glacialis	59	Southern Ocean	2004	1badd4d8-fe35-4d28-aaa4-0feb195dcf80	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	204.5	1077926400000.0	1077926400000.0	1077926400000.0	2004.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea glacialis	2	1065	1274	1302	1358	379601	379608	1562	134569	172916	172916	Ammothea glacialis	[]	155	6321	-1.65	33.89						2005-06-20	Johanna Nielsen	Ammothea glacialis		59
HumanObservation	Ammothea glacialis (MBIS Terra Nova Expedition urn:NIWA:TerraNovaExp:844)	TN Stn. 340 Ammothea glacialis	Pycnogonida	MBIS Terra Nova Expedition	500	British Antarctic (Terra Nova) Expedition Zoology	25	-76.9333	164.2	WaterTemperatureInC=-2 at 200m depth	1912-01-25	340	Ammotheidae	Stn. 340	POINT (164.2000 -76.9333)	Ammothea	WGS84	1	TN	Animalia	en	Ross Sea	293	293.0	2014-08-10	1	urn:NIWA:TerraNovaExp:844	WaterTemperatureInC=-2 at 200m depth. GearType=Agassiz trawl	present	Pantopoda	Arthropoda	GearType=Agassiz trawl	Ammothea glacialis	(Hodgson, 1907)	urn:lsid:marinespecies.org:taxname:172916	m	glacialis	25	Southern Ocean	1912	209c9b82-690d-4a63-b47c-da6292a72d61	159421b6-a764-4af1-9cc3-bc652dbeb12e	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	293.0	-1828310400000.0	-1828310400000.0	-1828310400000.0	1912.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea glacialis	2	1065	1274	1302	1358	379601	379608	1562	134569	172916	172916	Ammothea glacialis	[]	351	27614	-1.63	34.27										
