basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	day	locality	modified	month	occurrenceID	year	associatedReferences	bibliographicCitation	country	dynamicProperties	eventDate	identifiedBy	individualCount	preparations	recordedBy	scientificNameAuthorship	sex	waterBody	date_start	date_mid	date_end	date_year
HumanObservation	38150	SOMBASE Pycnogonids	-54.8916015625	-34.5	BAS	250	250	Ammothea sextarticulata	urn:lsid:marinespecies.org:taxname:240185	166e3165-efa0-4531-b106-e4c978336dc0	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	250.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea sextarticulata	2	1065	1274	1302	1358	379601	379608	1562	134569	172935	172935	Biammothea brevipalpa	[]	235	18147	1.24	33.79																							
HumanObservation	22066	SOMBASE Pycnogonids	-77.7332992554	166.766693115	BAS	6	3	Ammothea sextarticulata	urn:lsid:marinespecies.org:taxname:172935	532f3fc5-4b8a-424d-89f5-d372bf30e26a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	4.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea sextarticulata	2	1065	1274	1302	1358	379601	379608	1562	134569	172935	172935	Ammothea sextarticulata	[]	73	1165	-1.69	34.3																							
HumanObservation	39329	SOMBASE Pycnogonids	-71.5	-12.4333000183	BAS	529	294	Ammothea sextarticulata	urn:lsid:marinespecies.org:taxname:240185	5bf1629d-5815-4f07-af18-a69e1950b115	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	411.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea sextarticulata	2	1065	1274	1302	1358	379601	379608	1562	134569	172935	172935	Biammothea brevipalpa	[]	477	3552	-1.76	33.77																							
HumanObservation	21430	SOMBASE Pycnogonids	-71.5250015259	-12.4250001907	BAS	504	504	Ammothea sextarticulata	urn:lsid:marinespecies.org:taxname:240185	65fb58c1-c6a1-46b9-b0ea-ee878ee4ca5f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	504.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea sextarticulata	2	1065	1274	1302	1358	379601	379608	1562	134569	172935	172935	Biammothea brevipalpa	[]	528	4469	-1.76	33.77																							
HumanObservation	565	Weddell Sea macrozoobenthos EASIZ I	-71.525	-12.425	AWI	504	504	Ammothea sextarticulata	urn:lsid:marinespecies.org:taxname:240185	71103631-4c46-44c2-b30b-b564349be880	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	504.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea sextarticulata	2	1065	1274	1302	1358	379601	379608	1562	134569	172935	172935	Biammothea brevipalpa	[]	512	4469	-1.76	33.77	IMIS:dasid:2432	28	Kapp Norvegia area	2010-05-11T18:09Z	2	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:565	1996																
HumanObservation	566	Weddell Sea macrozoobenthos EASIZ I	-71.05166667	-11.425	AWI	462	462	Ammothea sextarticulata	urn:lsid:marinespecies.org:taxname:240185	714bf661-1782-4a04-ad7c-e1b13a4f1f75	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	462.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea sextarticulata	2	1065	1274	1302	1358	379601	379608	1562	134569	172935	172935	Biammothea brevipalpa	[]	464	5904	-1.72	33.76	IMIS:dasid:2432	5	Kapp Norvegia area	2010-05-11T18:09Z	2	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:566	1996																
HumanObservation	38149	SOMBASE Pycnogonids	-54.8833007812	-34.5166015625	BAS	250	250	Ammothea sextarticulata	urn:lsid:marinespecies.org:taxname:240185	8b7bccb6-ab93-4aa3-beae-c8d94ace6fa5	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	250.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea sextarticulata	2	1065	1274	1302	1358	379601	379608	1562	134569	172935	172935	Biammothea brevipalpa	[]	249	18226	1.27	33.79																							
HumanObservation	21429	SOMBASE Pycnogonids	-71.0516967773	-11.4250001907	BAS	462	462	Ammothea sextarticulata	urn:lsid:marinespecies.org:taxname:240185	97b89198-6d41-4a17-adbd-2c1d83426897	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	462.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea sextarticulata	2	1065	1274	1302	1358	379601	379608	1562	134569	172935	172935	Biammothea brevipalpa	[]	455	5901	-1.72	33.76																							
PreservedSpecimen	234625.286917	Invertebrate Zoology: Crustacea	-66.8830032349	163.317001343	USNM	146	55	Ammothea sextarticulata	urn:lsid:marinespecies.org:taxname:172935	9f46f065-7f27-4fac-9082-e82502fbf617	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	100.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea sextarticulata	2	1065	1274	1302	1358	379601	379608	1562	134569	172935	172935	Ammothea sextarticulata	[]	102	682	-1.66	33.9		10	Balleny Islands, Buckle Island, Off S End Of Island		2		1974	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	observedindividualcount=1;	1974-02-10T12:00:00Z	Bowman, Thomas E.	1.0	Alcohol (Ethanol)	Scripps Institution of Oceanography	Munilla	male	Antarctic Ocean	129686400000.0	129686400000.0	129686400000.0	1974.0
HumanObservation	37577	SOMBASE Pycnogonids	-69.3499984741	14.1000003815	BAS	830	670	Ammothea sextarticulata	urn:lsid:marinespecies.org:taxname:240185	a218a94f-8427-47fb-991f-c028c3585b70	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	750.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea sextarticulata	2	1065	1274	1302	1358	379601	379608	1562	134569	172935	172935	Biammothea brevipalpa	['DEPTH_EXCEEDS_BATH']	566	14887	-1.73	33.58																							
