associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	coordinatePrecision	decimalLatitude	decimalLongitude	identifiedBy	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	occurrenceRemarks	scientificName	scientificNameAuthorship	scientificNameID	verbatimDepth	waterBody	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	country	dateIdentified	day	dynamicProperties	eventDate	fieldNumber	individualCount	month	preparations	recordedBy	year	date_start	date_mid	date_end	date_year
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-055_C1	B89PII	249350.0	23.0251464844	-82.887260437	Child, C. A.	HRI	ESE  Gulf of Mexico	0	0	Database description and disclaimer at: http://gulfbase.org/	Anoplodactylus quadratispinosus	Hedgpeth,	urn:lsid:marinespecies.org:taxname:240302	0-0	Gulf of Mexico	86b41b27-4dfd-4183-b251-894659d9a5b0	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus quadratispinosus	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	240302	240302	Anoplodactylus quadratospinus	[]	126	466	27.69	35.98															
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	221029.175015	Invertebrate Zoology: Crustacea		34.4016685486	-76.5950012207	Dojiri, Masahiro	USNM	Off North Carolina	18	18		Anoplodactylus quadratispinosus	Hedgpeth	urn:lsid:marinespecies.org:taxname:240302		North Atlantic Ocean	c22306a3-fc54-4f92-a96d-44c59214890f	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	18	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus quadratispinosus		2	1065	1274	1302	1358	379601	379610	14469	134592	240302	240302	Anoplodactylus quadratispinosus	[]	22	20349	22.38	36.03	United States	1985-01-10	27	observedindividualcount=1;	1981-04-27T12:00:00Z	818078	1.0	4	Alcohol (Ethanol)	Duke University For Minerals Management Service/Bureau of Land Management BLM/ MMS	1981	357177600000.0	357177600000.0	357177600000.0	1981.0
