basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	country
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon macilentum</i> Stock, 1981. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239408	sm_id_1094	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	22	14.0	120.31	1976-03-22	Nymphonidae	Nymphon	WoRMS Editorial Board	Animalia	Philippines Exclusive Economic Zone	188	192	2007-06-20 15:52:33	3	WoRMS Editorial Board:WoRMS type localities:sm_id_1094	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1094	Nymphon macilentum	Stock, 1981	urn:lsid:marinespecies.org:taxname:239408	macilentum	holotype	1976	02bf6ab3-5ce5-4eb2-8a64-9285eeee0a29	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	190	196300800000.0	196300800000.0	196300800000.0	1976.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon macilentum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	239408	239408	Nymphon macilentum	['MIN_DEPTH_EXCEEDS_MAX']	201	15519	28.53	32.26	
Occurrence	Stock JH (1981). Musorstom 1(1): 313-315.	35471	Pycnogonida	NewCaledonia	https://marineinfo.org/id/dataset/3128		13.9899997711182	120.309997558594		Nymphonidae	Nymphon	IRD-MNHN	Animalia	Musorstom 1, CP27	192	192	2013-06-11 14:46:43		urn:catalog:IRD-MNHN:NewCaledonia:35471:0x6484170001000100	present	Pantopoda	Arthropoda		Nymphon macilentum		urn:lsid:marinespecies.org:taxname:239408				3649a8f9-5cb6-4464-a488-ff1d310a6cce	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	192					False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon macilentum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	239408	239408	Nymphon macilentum	[]	195	14444	28.53	32.26	Philippines
Occurrence	Stock JH (1981). Musorstom 1(1): 313-315.	35472	Pycnogonida	NewCaledonia	https://marineinfo.org/id/dataset/3128		13.8199996948242	120.069999694824		Nymphonidae	Nymphon	IRD-MNHN	Animalia	Musorstom 1, CP51	200	200	2013-06-11 14:46:43		urn:catalog:IRD-MNHN:NewCaledonia:35472:0xB78A170001000300	present	Pantopoda	Arthropoda		Nymphon macilentum		urn:lsid:marinespecies.org:taxname:239408				3657c6d7-1de1-4e89-afba-e2eba6e00049	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	200					False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon macilentum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	239408	239408	Nymphon macilentum	[]	154	2389	28.68	32.39	Philippines
