basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	recordNumber	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	coordinateUncertaintyInMeters	country	datasetName	dateIdentified	footprintWKT	geodeticDatum	identifiedBy	language	locationID	preparations	recordedBy	samplingProtocol	sex	georeferenceSources	individualCount
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ascorhynchus orthostomum</i> Child, 1998. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240240	sm_id_1712	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	23	-45.97	171.76	1995-02-23	Ascorhynchidae	Ascorhynchus	WoRMS Editorial Board	Animalia	Pacific Ocean	1415.0	1400	2007-06-20 15:52:33	2	WoRMS Editorial Board:WoRMS type localities:sm_id_1712	present	Pantopoda	Arthropoda	NZOI	http://www.marinespecies.org/aphia.php?p=specdetails&id=1712	Ascorhynchus orthostomus	Child, 1998	urn:lsid:marinespecies.org:taxname:240240	orthostomum	holotype	1995	27811699-30bd-4c69-9d40-269c6a1257e2	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1407.5	793497600000.0	793497600000.0	793497600000.0	1995.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus orthostomus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	606979	606979	Ascorhynchus orthostomum	[]	1334	78917	9.99	34.29																
PreservedSpecimen		4948	Pycnogonida	NIWA		26	-45.7633	174.5083	26/10/1979	Ascorhynchidae	Ascorhynchus	NIWA Invertebrate Collection	Animalia		1586.0	1586	8/04/2022	10	5cec35ee-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda			Ascorhynchus orthostomus	Child, 1988	urn:lsid:marinespecies.org:taxname:606979	orthostomus	PARATYPE	1979	2f0b904f-3e82-460d-b07d-dc65f7141127	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1586.0					False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus orthostomus		2	1065	1274	1302	1358	379601	379608	379788	134571	606979	606979	Ascorhynchus orthostomus	[]	1572	239908	10.54	34.3	Oceania	500	New Zealand	NIWA Invertebrate Collection	1998	POINT (174.5083 -45.7633)	WGS84	Child, C, A	en	S151	Specimen(s), Ethanol - previously unknown = 1,  BB NIC Type Room	NZOI	Sled, epibenthic	female		
PreservedSpecimen		7591	Pycnogonida	NIWA		23	-45.965	171.7616667	23/02/1995	Ascorhynchidae	Ascorhynchus	NIWA Invertebrate Collection	Animalia		1268.0	1235	8/04/2022	2	5c7b956e-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda			Ascorhynchus orthostomus	Child, 1988	urn:lsid:marinespecies.org:taxname:606979	orthostomus	HOLOTYPE	1995	488e468c-1b63-4ac5-9978-47ffa806ccc4	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1251.5					False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus orthostomus		2	1065	1274	1302	1358	379601	379608	379788	134571	606979	606979	Ascorhynchus orthostomus	[]	1423	78970	9.99	34.29	Oceania	100	New Zealand	NIWA Invertebrate Collection	1998	POINT (171.7616667 -45.965)	WGS84	Child, C, A	en	W460	Specimen(s), Ethanol - previously unknown = 1,  BB NIC Type Room	NZOI	Trawl, type undefined		GPS	
HumanObservation		34067	Pycnogonida	SOMBASE Pycnogonids			-45.9650001526	171.76159668		Ascorhynchidae	Ascorhynchus	BAS	Animalia		1415.0	1400					Pantopoda	Arthropoda			Ascorhynchus orthostomus		urn:lsid:marinespecies.org:taxname:240240				a5829639-1ceb-41c6-8887-0dbb948ff0f5	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1407.5					False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus orthostomus		2	1065	1274	1302	1358	379601	379608	379788	134571	606979	606979	Ascorhynchus orthostomum	[]	1423	78965	9.99	34.29																
HumanObservation		34068	Pycnogonida	SOMBASE Pycnogonids			-45.7633018494	174.508300781		Ascorhynchidae	Ascorhynchus	BAS	Animalia		1586.0	1586					Pantopoda	Arthropoda			Ascorhynchus orthostomus		urn:lsid:marinespecies.org:taxname:240240				c72103cd-6ebc-4450-b590-b54579a563fe	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1586.0					False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus orthostomus		2	1065	1274	1302	1358	379601	379608	379788	134571	606979	606979	Ascorhynchus orthostomum	[]	1572	239908	10.54	34.3																
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ascorhynchus orthostomum</i> Child, 1998. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240240	sm_id_90221	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	23	-45.9650001526	171.7616729736	1995-02-23	Ascorhynchidae	Ascorhynchus	WoRMS Editorial Board	Animalia			1235	2020-11-16 11:12:20	2	WoRMS Editorial Board:WoRMS type localities:sm_id_90221	present	Pantopoda	Arthropoda		http://www.marinespecies.org/aphia.php?p=specdetails&id=90221	Ascorhynchus orthostomus	Child, 1998	urn:lsid:marinespecies.org:taxname:240240	orthostomum	holotype	1995	ea9670e6-8ebf-4f64-9423-52bf67bfaa3e	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1235.0	793497600000.0	793497600000.0	793497600000.0	1995.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus orthostomus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	606979	606979	Ascorhynchus orthostomum	[]	1423	78970	9.99	34.29																1.0
