associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	195233.150495	Invertebrate Zoology: Crustacea	Japan	14	34.686668396	139.003326416	observedindividualcount=2;	1969-07-14T12:00:00Z	Nakamura, K., Child, C. Allan	2.0	USNM	; juvenile	Honshu Island, Sagami Bay	50	50	7	Alcohol (Ethanol)	Anoplodactylus imperialis	Nakamura & Child	urn:lsid:marinespecies.org:taxname:239946	female;;	Shizuoka	Paratype	North Pacific Ocean	1969	7bb4643f-6a66-487a-abc7-402b20c62af6	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	50	-14774400000	-14774400000	-14774400000	1969	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus imperialis	2	1065	1274	1302	1358	379601	379610	14469	134592	239946	239946	Anoplodactylus imperialis	[]	59	1890	20.46	33.93
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228752.180917	Invertebrate Zoology: Crustacea	Japan	9	34.6650009155	139.006668091	observedindividualcount=1;	1981-11-09T12:00:00Z	Nakamura, K., Child, C. Allan	1.0	USNM		Honshu Island, Sagami Bay, Off Shimoda	68	60	11	Alcohol (Ethanol)	Anoplodactylus imperialis	Nakamura & Child	urn:lsid:marinespecies.org:taxname:239946	male		Holotype	North Pacific Ocean	1981	c9bec59c-a5ec-43d2-a152-c43b0479bc01	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	64	374112000000	374112000000	374112000000	1981	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus imperialis	2	1065	1274	1302	1358	379601	379610	14469	134592	239946	239946	Anoplodactylus imperialis	[]	76	1448	20.54	34.06
