basisOfRecord	catalogNumber	class	collectionCode	countryCode	decimalLatitude	decimalLongitude	family	fieldNumber	footprintWKT	genus	geodeticDatum	individualCount	institutionCode	kingdom	license	locality	modified	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	waterBody	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters	minimumDepthInMeters	depth	associatedReferences	bibliographicCitation	country	day	dynamicProperties	eventDate	identifiedBy	lifeStage	month	preparations	sex	year	date_start	date_mid	date_end	date_year	datasetID	occurrenceStatus	superdomain	superdomainid
PreservedSpecimen	2008-20603	Pycnogonida	IU	NC	-23.741917	166.915741	Ascorhynchidae	BIOCAL/CP57	POINT  (166.915741 -23.741917)	Ascorhynchus	WGS84	2	MNHN	Animalia	CC_BY_4_0	Ride de Norfolk	2015-06-19T21:23Z	462401300	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20603	Ascorhynchus ornatus	(Helfer, 1938)	urn:lsid:marinespecies.org:taxname:240216	ornatus	SPECIES	Pacific Ocean	38e0854c-be18-4694-9010-5af26313adaf	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus ornatus	2	1065	1274	1302	1358	379601	379608	379788	134571	240216	240216	Ascorhynchus ornatus (Helfer, H., 1938)	['NO_DEPTH']	1711	95652	24.19	35.4																							
HumanObservation	37248	Pycnogonida	SOMBASE Pycnogonids		-35.4500007629	23.4899997711	Ascorhynchidae			Ascorhynchus			BAS	Animalia					Pantopoda	Arthropoda			Ascorhynchus ornatus		urn:lsid:marinespecies.org:taxname:240216				3b35538e-df69-4f0a-abe0-6c6d269ab8af	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus ornatus	2	1065	1274	1302	1358	379601	379608	379788	134571	240216	240216	Ascorhynchus ornatus	['NO_DEPTH']	1798	149036	21.47	35.43																							
HumanObservation	37267	Pycnogonida	SOMBASE Pycnogonids		-49.5	69.5	Ascorhynchidae			Ascorhynchus			BAS	Animalia					Pantopoda	Arthropoda			Ascorhynchus ornatus		urn:lsid:marinespecies.org:taxname:240216				a00d1b55-0cfe-439f-9c26-048ec074070a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus ornatus	2	1065	1274	1302	1358	379601	379608	379788	134571	240216	240216	Ascorhynchus ornatus	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-177	-8753			122.0	28.0	75.0																				
PreservedSpecimen	2008-20604	Pycnogonida	IU	NC	-23.741917	166.915741	Ascorhynchidae	BIOCAL/CP57	POINT  (166.915741 -23.741917)	Ascorhynchus	WGS84	1	MNHN	Animalia	CC_BY_4_0	Ride de Norfolk	2015-06-19T21:23Z	462403011	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20604	Ascorhynchus ornatus	(Helfer, 1938)	urn:lsid:marinespecies.org:taxname:240216	ornatus	SPECIES	Pacific Ocean	ad8f26b2-126f-4ecf-ae0c-57b704940572	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus ornatus	2	1065	1274	1302	1358	379601	379608	379788	134571	240216	240216	Ascorhynchus ornatus (Helfer, H., 1938)	['NO_DEPTH']	1711	95652	24.19	35.4																							
PreservedSpecimen	152780.116165	Pycnogonida	Invertebrate Zoology: Crustacea		-34.4333305359	17.5333309174	Ascorhynchidae			Ascorhynchus		5.0	USNM	Animalia		SW Of Cape Of Good Hope			Pantopoda	Arthropoda			Ascorhynchus ornatus	(Helfer)	urn:lsid:marinespecies.org:taxname:240216			South Atlantic Ocean	ccb8a8cf-e19c-455e-a54b-dc80b9b8cd51	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus ornatus	2	1065	1274	1302	1358	379601	379608	379788	134571	240216	240216	Ascorhynchus ornatum	[]	1412	78789	18.35	35.5	708.0	708.0	708.0	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	South Africa	6	observedindividualcount=5;	1958-04-06T12:00:00Z	Child, C. Allan	;; juvenile	4	Alcohol (Ethanol)	male; female;;	1958	-370483200000.0	-370483200000.0	-370483200000.0	1958.0				
Occurrence	21574	Pycnogonida	NewCaledonia		-23.7199993133545	166.960006713867	Ascorhynchidae			Ascorhynchus			IRD-MNHN	Animalia		Biocal, CP57	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21574:0x6584170001000300	Pantopoda	Arthropoda			Ascorhynchus ornatus		urn:lsid:marinespecies.org:taxname:240216				cfaf3090-918d-408e-a98d-ec675f1690b3	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus ornatus	2	1065	1274	1302	1358	379601	379608	379788	134571	240216	240216	Ascorhynchus ornatus	[]	1454	93240	24.19	35.4	1620.0	1490.0	1555.0		Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie														https://marineinfo.org/id/dataset/3128	present	Biota	1.0
