basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	associatedReferences	country	dynamicProperties	identifiedBy	individualCount	preparations	recordedBy	sex	stateProvince	waterBody	sst	sss
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Eurycyde setosa</i> Child, 1988. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239719	sm_id_979	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	8	-20.41	121.98	1985-06-08	Ascorhynchidae	Eurycyde	WoRMS Editorial Board	Animalia	Balintang Channel	4	0.0	2007-06-20 15:52:33	6	WoRMS Editorial Board:WoRMS type localities:sm_id_979	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=979	Eurycyde setosa	Child, 1988	urn:lsid:marinespecies.org:taxname:239719	setosa	holotype	1985	2cd1c4e0-5627-44e8-8c05-7e65c5b94a09	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2	487036800000	487036800000	487036800000	1985	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Eurycyde setosa	1.0	2	1065	1274	1302	1358	379601	379608	379788	134573	239719	239719	Eurycyde setosa	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-184	-132127												
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228538.180699	Pycnogonida	Invertebrate Zoology: Crustacea		8	20.4111099243	121.976387024	1985-06-08T12:00:00Z	Ascorhynchidae	Eurycyde	USNM	Animalia	Batan Islands, Batan Island, Mananioy Bay, Sea Cliff Below Point S Of Bay	4			6			Pantopoda	Arthropoda		Eurycyde setosa	Child	urn:lsid:marinespecies.org:taxname:239719		Holotype	1985	b3ebeb5d-19b1-4e8a-9f69-402b0b7de2a0	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	4	487036800000	487036800000	487036800000	1985	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Eurycyde setosa		2	1065	1274	1302	1358	379601	379608	379788	134573	239719	239719	Eurycyde setosa	[]	76	947	National Museum of Natural History, Smithsonian Institution	Philippines	observedindividualcount=1;	Child, C. Allan	1.0	Alcohol (Ethanol)	C. Child	male	Batanes	North Pacific Ocean	27.76	34.37
