basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	country	footprintWKT	sex	taxonRank	coordinatePrecision
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon bunyipi</i> Clark, 1963. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240355	sm_id_1958	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	-37.8	149.28	1929-05	Nymphonidae	Nymphon	WoRMS Editorial Board	Animalia	Tasman Sea	135.0	126.0	2007-06-20 15:52:33	5	WoRMS Editorial Board:WoRMS type localities:sm_id_1958	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1958	Nymphon bunyipi	Clark, 1963	urn:lsid:marinespecies.org:taxname:240355	bunyipi	holotype	1929	2fbf928f-acad-4e05-b3a3-923beefaae2d	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	130.5	-1283472000000.0	-1282176000000.0	-1280880000000.0	1929.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon bunyipi	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	240355	240355	Nymphon bunyipi	['DEPTH_EXCEEDS_BATH']	-2	180	16.72	35.58						
PreservedSpecimen		P.13590	Pycnogonida	co113		-37.8	149.266		Nymphonidae	Nymphon	AM	Animalia	off Cape Everard			2017-03-02T11:16:03		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13590	present	Pantopoda	Arthropoda		Nymphon bunyipi		urn:lsid:marinespecies.org:taxname:240355	bunyipi			3cc6e9da-d23e-43c0-aa46-707af7be7e99	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']						False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon bunyipi		2	1065	1274	1302	1358	379601	379609	1566	134591	240355	240355	Nymphon bunyipi	['NO_DEPTH']	19	84	16.72	35.58	10000	Australia	POINT (149.26600 -37.80000)	Female	species	
PreservedSpecimen		P.78474	Pycnogonida	co113		-29.93833	159.07832	1987-12-13	Nymphonidae	Nymphon	AM	Animalia	Elizabeth Reef, north-eastern area of lagoon			2017-03-02T13:00:59		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.78474	present	Pantopoda	Arthropoda		Nymphon bunyipi		urn:lsid:marinespecies.org:taxname:240355	bunyipi			50653f0f-a9ad-48c1-a932-f3fb92854bc8	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		566352000000.0	566352000000.0	566352000000.0	1987.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon bunyipi		2	1065	1274	1302	1358	379601	379609	1566	134591	240355	240355	Nymphon bunyipi	['NO_DEPTH']	2	172093	22.15	35.63	1000		POINT (159.07832 -29.93833)		species	0.009
PreservedSpecimen		P.13589	Pycnogonida	co113		-37.8	149.266		Nymphonidae	Nymphon	AM	Animalia	off Cape Everard			2017-03-02T11:16:03		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13589	present	Pantopoda	Arthropoda		Nymphon bunyipi		urn:lsid:marinespecies.org:taxname:240355	bunyipi			7496efd7-c476-466f-a347-48372a8e5dba	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']						False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon bunyipi		2	1065	1274	1302	1358	379601	379609	1566	134591	240355	240355	Nymphon bunyipi	['NO_DEPTH']	19	84	16.72	35.58	10000	Australia	POINT (149.26600 -37.80000)	Male	species	
PreservedSpecimen		P.13595	Pycnogonida	co113		-33.766	151.516		Nymphonidae	Nymphon	AM	Animalia	16-18miles north east of South Head, Port Jackson			2017-03-02T11:16:04		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13595	present	Pantopoda	Arthropoda		Nymphon bunyipi		urn:lsid:marinespecies.org:taxname:240355	bunyipi			92a4f418-cd0b-42f9-a163-6e0a90e30cff	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']						False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon bunyipi		2	1065	1274	1302	1358	379601	379609	1566	134591	240355	240355	Nymphon bunyipi	['NO_DEPTH']	122	18210	20.7	35.54	100000		POINT (151.51600 -33.76600)	Female	species	0.8961
PreservedSpecimen		P.13594	Pycnogonida	co113		-37.266	150.15		Nymphonidae	Nymphon	AM	Animalia	8 km off Green Cape			2017-03-02T11:16:04		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13594	present	Pantopoda	Arthropoda		Nymphon bunyipi		urn:lsid:marinespecies.org:taxname:240355	bunyipi			9b72f4d7-4616-4896-a31e-824800c4a2d8	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']						False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon bunyipi		2	1065	1274	1302	1358	379601	379609	1566	134591	240355	240355	Nymphon bunyipi	['NO_DEPTH']	96	8618	17.96	35.57	10000		POINT (150.15000 -37.26600)	Male	species	0.0896
PreservedSpecimen		P.78368	Pycnogonida	co113		-38.03166	149.216	1994-08-29	Nymphonidae	Nymphon	AM	Animalia	south of Point Hicks			2017-03-02T13:00:42		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.78368	present	Pantopoda	Arthropoda		Nymphon bunyipi		urn:lsid:marinespecies.org:taxname:240355	bunyipi			b271df17-9325-442f-8a1b-afdaa9952e9e	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		778118400000.0	778118400000.0	778118400000.0	1994.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon bunyipi		2	1065	1274	1302	1358	379601	379609	1566	134591	240355	240355	Nymphon bunyipi	['NO_DEPTH']	117	25537	16.89	35.58	1000		POINT (149.21600 -38.03166)	Female	species	0.009
PreservedSpecimen		P.44172	Pycnogonida	co113		-37.92166	150.03499	1994-08-31	Nymphonidae	Nymphon	AM	Animalia	south-west of Gabo Island			2017-03-02T16:16:00		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44172	present	Pantopoda	Arthropoda		Nymphon bunyipi		urn:lsid:marinespecies.org:taxname:240355	bunyipi			baedd2aa-9237-4964-8950-a41704273c7a	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		778291200000.0	778291200000.0	778291200000.0	1994.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon bunyipi		2	1065	1274	1302	1358	379601	379609	1566	134591	240355	240355	Nymphon bunyipi	['NO_DEPTH']	218	40506	17.88	35.59	1000		POINT (150.03499 -37.92166)	Male	species	0.009
PreservedSpecimen		P.13596	Pycnogonida	co113		-34.0	151.183		Nymphonidae	Nymphon	AM	Animalia	off Wattamolla			2017-03-02T11:16:04		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13596	present	Pantopoda	Arthropoda		Nymphon bunyipi		urn:lsid:marinespecies.org:taxname:240355	bunyipi			c522f33c-83ed-4dc0-ad6e-ceb0aa4be5cb	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']						False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon bunyipi		2	1065	1274	1302	1358	379601	379609	1566	134591	240355	240355	Nymphon bunyipi	['NO_DEPTH']	1	903	20.37	35.53	100000	Australia	POINT (151.18300 -34.00000)	Female	species	0.8961
PreservedSpecimen		P.13593	Pycnogonida	co113		-34.083	151.25	1898-03-11	Nymphonidae	Nymphon	AM	Animalia	3 - 4 km off Botany Bay			2017-03-02T11:16:04		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13593	present	Pantopoda	Arthropoda		Nymphon bunyipi		urn:lsid:marinespecies.org:taxname:240355	bunyipi			ccf72153-3427-47a4-b2e7-709a253135df	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		-2266099200000.0	-2266099200000.0	-2266099200000.0	1898.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon bunyipi		2	1065	1274	1302	1358	379601	379609	1566	134591	240355	240355	Nymphon bunyipi	['NO_DEPTH']	104	5557	20.48	35.54	10000		POINT (151.25000 -34.08300)	Female	species	0.0896
