basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	datasetID	decimalLatitude	decimalLongitude	genus	institutionCode	locality	minimumDepthInMeters	modified	occurrenceID	phylum	scientificName	scientificNameID	specificEpithet	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	subphylum	class	order	suborder	superfamily	family	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters	day	month	year	eventDate	occurrenceStatus	references	scientificNameAuthorship	typeStatus	date_start	date_mid	date_end	date_year	superdomain	superdomainid
PreservedSpecimen	Mahon,A.R., Arango,C.P. and Halanych,K.M. Mar. Biol. 155, 315-323 (2008)	58	Invertebrate Zoology	Antarctica	IMIS:dasid:1785	-67.74033333	-69.28965	Nymphon	USNM	Peninsula	122	2010-01-21T00:00Z	urn:catalog:BAS:CAML - Mahon:58	Arthropoda	Nymphon paucituberculatum	urn:lsid:marinespecies.org:taxname:173484	paucituberculatum	08a889c9-c40d-48e1-876c-009ba268b98a	8439a1e0-4aff-414e-bc43-83e4aa9db08e	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	122.0	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon paucituberculatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173484	173484	Nymphon paucituberculatum	[]	151	8852	-0.97	32.73															
HumanObservation		38091	SOMBASE Pycnogonids			-48.9150009155	70.8565979004	Nymphon	BAS		104			Arthropoda	Nymphon paucituberculatum	urn:lsid:marinespecies.org:taxname:173484		14b62ea3-3f40-4966-bbf4-9a8a5fee636e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	112.0	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon paucituberculatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173484	173484	Nymphon paucituberculatum	[]	84	31814	3.73	33.79	120.0														
PreservedSpecimen	Mahon,A.R., Arango,C.P. and Halanych,K.M. Mar. Biol. 155, 315-323 (2008)	145	Invertebrate Zoology	Antarctica	IMIS:dasid:1785	-67.74033333	-69.28965	Nymphon	USNM	Peninsula	122	2010-01-21T00:00Z	urn:catalog:BAS:CAML - Mahon:145	Arthropoda	Nymphon paucituberculatum	urn:lsid:marinespecies.org:taxname:173484	paucituberculatum	44474022-678c-4458-a3ef-f0a4c3e4b543	8439a1e0-4aff-414e-bc43-83e4aa9db08e	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	122.0	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon paucituberculatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173484	173484	Nymphon paucituberculatum	[]	151	8852	-0.97	32.73															
HumanObservation		2832	Weddell Sea macrozoobenthos EASIZ I		IMIS:dasid:2432	-71.57833333	-12.443334	Nymphon	AWI	Kapp Norvegia area	560	2010-05-11T18:09Z	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:2832	Arthropoda	Nymphon paucituberculatum	urn:lsid:marinespecies.org:taxname:173484		51d554b4-ba16-4fe6-85f6-ff48ac81128d	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	560.0	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon paucituberculatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173484	173484	Nymphon paucituberculatum	[]	590	6631	-1.76	33.77	560.0	26	2	1996											
HumanObservation		34824	SOMBASE Pycnogonids			-66.75	62.0499992371	Nymphon	BAS		219			Arthropoda	Nymphon paucituberculatum	urn:lsid:marinespecies.org:taxname:173484		6455ae0c-38e7-4227-a8b9-82b89219fdf4	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	219.0	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon paucituberculatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173484	173484	Nymphon paucituberculatum	[]	259	46308	-1.62	34.08	219.0														
HumanObservation		38083	SOMBASE Pycnogonids			-45.9632987976	49.8283004761	Nymphon	BAS		240			Arthropoda	Nymphon paucituberculatum	urn:lsid:marinespecies.org:taxname:173484		83b1f01e-45da-4922-8002-9830a5da8427	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	240.0	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon paucituberculatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173484	173484	Nymphon paucituberculatum	[]	227	29519	5.77	33.72	240.0														
HumanObservation		39392	SOMBASE Pycnogonids			-71.3666000366	-14.3165998459	Nymphon	BAS		615			Arthropoda	Nymphon paucituberculatum	urn:lsid:marinespecies.org:taxname:173484		8bc61a78-5d88-462a-ae7f-7eb056bd02a0	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	625.5	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon paucituberculatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173484	173484	Nymphon paucituberculatum	[]	975	68641	-1.72	33.93	636.0														
HumanObservation		2831	Weddell Sea macrozoobenthos EASIZ I		IMIS:dasid:2432	-71.385	-14.328333	Nymphon	AWI	Kapp Norvegia area	628	2010-05-11T18:09Z	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:2831	Arthropoda	Nymphon paucituberculatum	urn:lsid:marinespecies.org:taxname:173484		8db28c5c-fe7d-4d7e-9a03-d97b8b5ee431	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	628.0	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon paucituberculatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173484	173484	Nymphon paucituberculatum	[]	557	68895	-1.72	33.93	628.0	23	2	1996											
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon paucituberculatum</i> Gordon, 1944. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=173484	sm_id_1123	WoRMS type localities		https://marineinfo.org/id/dataset/5184	-65.8	53.27	Nymphon	WoRMS Editorial Board	Southern Ocean	209	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1123	Arthropoda	Nymphon paucituberculatum	urn:lsid:marinespecies.org:taxname:173484	paucituberculatum	8eb04b3b-80e8-42d7-9e08-c44be86a2f14	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	194.5	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon paucituberculatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173484	173484	Nymphon paucituberculatum	['MIN_DEPTH_EXCEEDS_MAX']	184	10728	-1.7	33.82	180.0	24	1	1930	1930-01-24	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=1123	Gordon, 1944	holotype	-1260316800000.0	-1260316800000.0	-1260316800000.0	1930.0	Biota	1.0
PreservedSpecimen	Mahon,A.R., Arango,C.P. and Halanych,K.M. Mar. Biol. 155, 315-323 (2008)	59	Invertebrate Zoology	Antarctica	IMIS:dasid:1785	-67.74033333	-69.28965	Nymphon	USNM	Peninsula	122	2010-01-21T00:00Z	urn:catalog:BAS:CAML - Mahon:59	Arthropoda	Nymphon paucituberculatum	urn:lsid:marinespecies.org:taxname:173484	paucituberculatum	8f077e28-16b5-47d3-958b-9fbcb1d43ae9	8439a1e0-4aff-414e-bc43-83e4aa9db08e	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	122.0	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon paucituberculatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173484	173484	Nymphon paucituberculatum	[]	151	8852	-0.97	32.73															
