associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	occurrenceID	occurrenceStatus	ownerInstitutionCode	references	lifeStage	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234233.185972	Invertebrate Zoology: Crustacea	Seychelles	22	-9.38300037384	46.2000007629	observedindividualcount=1;	1986-03-22T12:00:00Z	Bowman, Thomas E.	1.0	USNM	Aldabra Atoll, Picard Island, Seaward Of Reef Crest	4.5	3.0	3	Alcohol (Ethanol)	B. Kensley	Anoplodactylus baldarus	Child	urn:lsid:marinespecies.org:taxname:239445	female	Paratype	Indian Ocean	1986	0cc2f372-2c97-42d6-98b1-919064f33cb2	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3.75	511833600000.0	511833600000.0	511833600000.0	1986.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus baldarus	2	1065	1274	1302	1358	379601	379610	14469	134592	239445	239445	Anoplodactylus baldarus	[]	323	633	27.13	35.08							
	HumanObservation		122647				-9.4	46.5		1988			CMLRE	Aldabra Islands						Anoplodactylus baldarus		urn:lsid:marinespecies.org:taxname:239445					1d99b0fe-623d-442c-b570-35af5cc35d35	248d4349-7c65-4291-b849-57127a20aec8	['1a3b0f1a-4474-4d73-9ee1-d28f92a83996']		567993600000.0	583718400000.0	599529600000.0	1988.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus baldarus	2	1065	1274	1302	1358	379601	379610	14469	134592	239445	239445	Anoplodactylus baldarus	['NO_DEPTH', 'ON_LAND']	-6	-1275	27.11	35.08	11523	present	NIO	This dataset was transferred from National Institute of Oceanography (NIO) by Dr. Mohideen Wafar			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234234.185973	Invertebrate Zoology: Crustacea	Seychelles	20	-9.35000038147	46.4329986572	observedindividualcount=1;	1985-03-20T12:00:00Z	Bowman, Thomas E.	1.0	USNM	Aldabra Atoll, Ile Malabar, Middle Camp, Next To Passe Blouareau Channel			3	Alcohol (Ethanol)	B. Kensley	Anoplodactylus baldarus	Child	urn:lsid:marinespecies.org:taxname:239445	male		Indian Ocean	1985	1ee1f384-8508-4529-94d7-21b13155f920	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		480124800000.0	480124800000.0	480124800000.0	1985.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus baldarus	2	1065	1274	1302	1358	379601	379610	14469	134592	239445	239445	Anoplodactylus baldarus	['NO_DEPTH']	14	2557	27.11	35.08					juvenile		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234235.185974	Invertebrate Zoology: Crustacea	Seychelles	11	-9.35000038147	46.4329986572	observedindividualcount=2;	1987-04-11T12:00:00Z	Bowman, Thomas E.	2.0	USNM	Aldabra Atoll, Ile Malabar, Middle Camp, Lagoon	0.5	0.5	4	Alcohol (Ethanol)	B. Kensley	Anoplodactylus baldarus	Child	urn:lsid:marinespecies.org:taxname:239445			Indian Ocean	1987	4b68f072-d2d7-42e9-99c4-4790bb9e3a51	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	0.5	545097600000.0	545097600000.0	545097600000.0	1987.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus baldarus	2	1065	1274	1302	1358	379601	379610	14469	134592	239445	239445	Anoplodactylus baldarus	[]	14	2557	27.11	35.08					juvenile		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234232.185971	Invertebrate Zoology: Crustacea	Seychelles	12	-9.38300037384	46.2000007629	observedindividualcount=1;	1983-04-12T12:00:00Z	Bowman, Thomas E.	1.0	USNM	Aldabra Atoll, Picard Island, Reef Crest In Front Of Lab			4	Alcohol (Ethanol)	B. Kensley	Anoplodactylus baldarus	Child	urn:lsid:marinespecies.org:taxname:239445	male	Holotype	Indian Ocean	1983	525113ca-de7d-4392-9a1d-312c4769ee48	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		418953600000.0	418953600000.0	418953600000.0	1983.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus baldarus	2	1065	1274	1302	1358	379601	379610	14469	134592	239445	239445	Anoplodactylus baldarus	['NO_DEPTH']	323	633	27.13	35.08							
	HumanObservation		122647				-9.39999961853	46.5						Aldabra Islands						Anoplodactylus baldarus		urn:lsid:marinespecies.org:taxname:239445		Accepted			a4c63b5b-e41f-43bf-9cfa-6de2ed7a619c	d0d2a510-ba24-487b-80ca-afc86922cb1c	['310922b4-9d0c-4de1-92d7-9b442d34765b']						False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus baldarus	2	1065	1274	1302	1358	379601	379610	14469	134592	239445	239445	Anoplodactylus baldarus	['NO_DEPTH', 'ON_LAND']	-5	-1275	27.11	35.08						Biota	1.0
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	284334.227748	Invertebrate Zoology: Crustacea	Tonga	18	-18.6397209167	-174.066665649	observedindividualcount=1;	1993-11-18T12:00:00Z	Child, C. Allan	1.0	USNM	Vava'u Group, Vava'u Island, Port Refuge, West Shore Of Island, On Reef Top And Spur And Groove Formations At Shore	6.0		11	Alcohol (Ethanol)	J. Williams	Anoplodactylus baldarus	Child	urn:lsid:marinespecies.org:taxname:239445	female		South Pacific Ocean	1993	e6f2e8ff-1915-49a3-af7f-e115a6b4deb4	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	6.0	753580800000.0	753580800000.0	753580800000.0	1993.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus baldarus	2	1065	1274	1302	1358	379601	379610	14469	134592	239445	239445	Anoplodactylus baldarus	['DEPTH_EXCEEDS_BATH']	-118	153	27.05	35.14					ovigerous		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	284323.227737	Invertebrate Zoology: Crustacea	Tonga	3	-21.3041706085	-174.43888855	observedindividualcount=7;	1993-11-03T12:00:00Z	Child, C. Allan	7.0	USNM	Tongatapu Group, Eua Island, NW Shore, In Surge Zone And Spur And Groove	9.0		11	Alcohol (Ethanol)	J. Williams	Anoplodactylus baldarus	Child	urn:lsid:marinespecies.org:taxname:239445	male; female; male		South Pacific Ocean	1993	f177b0df-c0aa-4504-a1b4-24bec0169ef7	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	9.0	752284800000.0	752284800000.0	752284800000.0	1993.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus baldarus	2	1065	1274	1302	1358	379601	379610	14469	134592	239445	239445	Anoplodactylus baldarus	[]	2596	48613	25.82	35.17					;; ovigerous		
