basisOfRecord	catalogNumber	class	collectionCode	countryCode	day	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	footprintWKT	genus	geodeticDatum	individualCount	institutionCode	kingdom	license	locality	modified	month	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	datasetID	maximumDepthInMeters	minimumDepthInMeters	occurrenceRemarks	occurrenceStatus	startDayOfYear	depth	superdomain	superdomainid	bibliographicCitation	country
PreservedSpecimen	2008-20671	Pycnogonida	IU	VU	24	-18.854334	168.869827	1994-09-24T02:00Z	Pallenopsidae	MUSORSTOM 8/CP991	POINT  (168.869827 -18.854334)	Bathypallenopsis	WGS84	1	MNHN	Animalia	CC_BY_4_0	W Erromango	2014-03-18T18:09Z	9	462403051	Pantopoda	Arthropoda	Bouchet & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20671	Bathypallenopsis mollissima	(Hoek, 1881)	urn:lsid:marinespecies.org:taxname:239944	mollissima	SPECIES	Pacific Ocean	1994	5482a095-0cd1-461a-b119-5652e05e5bcf	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	780364800000.0	780364800000.0	780364800000.0	1994.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis mollissima	2	1065	1274	1302	1358	379601	379609	236317	236477	239944	239944	Bathypallenopsis mollissima (Hoek, 1881)	['NO_DEPTH']	883	12527	26.78	34.87												
PreservedSpecimen	2008-20672	Pycnogonida	IU	VU	24	-18.854334	168.869827	1994-09-24T02:00Z	Pallenopsidae	MUSORSTOM 8/CP991	POINT  (168.869827 -18.854334)	Bathypallenopsis	WGS84	1	MNHN	Animalia	CC_BY_4_0	W Erromango	2015-06-19T21:23Z	9	462423064	Pantopoda	Arthropoda	Bouchet & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20672	Bathypallenopsis mollissima	(Hoek, 1881)	urn:lsid:marinespecies.org:taxname:239944	mollissima	SPECIES	Pacific Ocean	1994	5c028772-d3b9-4ac6-b08b-9d9ac0ed5dc4	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	780364800000.0	780364800000.0	780364800000.0	1994.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis mollissima	2	1065	1274	1302	1358	379601	379609	236317	236477	239944	239944	Bathypallenopsis mollissima (Hoek, 1881)	['NO_DEPTH']	883	12527	26.78	34.87												
PreservedSpecimen	Gal-II-263	Pycnogonida	Galathea II		14	-4.93333	117.650002	1951-09-14	Pallenopsidae			Bathypallenopsis			ZMUC	Animalia		Makassar Strait	2007-10-29 18:31:08	9	urn:catalog:ZMUC:Galathea II:Gal-II-263	Pantopoda	Arthropoda	Galathea II Danish Deep Sea Expedition 1950-52		Bathypallenopsis mollissima	Hoek 1881	urn:lsid:marinespecies.org:taxname:134736	mollisima			1951	88bb804a-7189-44ab-aaac-ee46a7623315	3ac81162-1804-43c4-b766-aabe2abcc572	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-577497600000.0	-577497600000.0	-577497600000.0	1951.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis mollissima	2	1065	1274	1302	1358	379601	379609	236317	236477	239944	239944	Pallenopsis mollisima	['DEPTH_EXCEEDS_BATH']	1270	26985	29.1	32.66	1750.0	https://marineinfo.org/id/dataset/2037	1560.0	1560.0	. Record published in http://www.zmuc.dk/InverWeb/Galathea/Pdf_filer/Volume_02/galathea-vol.02-pp_167-182.pdf	present	257	1560.0	Biota	1.0		
Occurrence	43758	Pycnogonida	NewCaledonia			-18.8500003814697	168.860000610352		Pallenopsidae			Bathypallenopsis			IRD-MNHN	Animalia		Musorstom 8, CP991	2013-06-11 14:46:43		urn:catalog:IRD-MNHN:NewCaledonia:43758:0xA30C900001000500	Pantopoda	Arthropoda			Bathypallenopsis mollissima		urn:lsid:marinespecies.org:taxname:134736					9da3ffad-a062-4166-b68f-6da975783b7c	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis mollissima	2	1065	1274	1302	1358	379601	379609	236317	236477	239944	239944	Pallenopsis mollissima	[]	923	13558	26.78	34.87		https://marineinfo.org/id/dataset/3128	936.0	910.0		present		923.0	Biota	1.0	Stock JH (1997). Musorstom 18(176): 271-335.	Vanuatu
