basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	specificEpithet	taxonRank	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	subfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	eventDate	maximumDepthInMeters	minimumDepthInMeters	organismQuantity	organismQuantityType	scientificNameAuthorship	depth	date_start	date_mid	date_end	date_year	superdomain	superdomainid
PreservedSpecimen	G.5193.001	Pycnogonida	co113	0.0896	10000	Australia	-20.033	148.25	Colossendeidae	POINT (148.25000 -20.03300)	Rhopalorhynchus	AM	Animalia	Port Denison	2017-03-02T13:14:48	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:G.5193.001	present	Arthropoda	Rhopalorhynchus tenuissimus	urn:lsid:marinespecies.org:taxname:239668	tenuissima	species	962f3e5c-54cd-4c9b-b5ad-333e8a0d01f5	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Hedgpethiinae	Rhopalorhynchus tenuissimus	2	1065	1274	1302	1358	379601	379607	22617	379614	182869	239668	239668	Rhopalorhynchus tenuissimum	['NO_DEPTH']	5.34	1379	25.25	35.37													
HumanObservation	63376223-34E2-4C6D-8C65-97C02B8619F5	Pycnogonida	CReefs - Lizard Island 2009	0.0018	200	Australia	-14.61575	145.6196	Colossendeidae	POINT (145.61960 -14.61575)	Rhopalorhynchus	AIMS	Animalia		2018-07-13T09:32:25	63376223-34E2-4C6D-8C65-97C02B8619F5	present	Arthropoda	Rhopalorhynchus tenuissimus	urn:lsid:marinespecies.org:taxname:239668		species	d152be34-9beb-4dec-8dce-c2afb07dfb2c	17a7d690-e05d-4054-bb61-77bb3f26ba0a	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Hedgpethiinae	Rhopalorhynchus tenuissimus	2	1065	1274	1302	1358	379601	379607	22617	379614	182869	239668	239668	Rhopalorhynchus tenuissimus	[]	11.52	16349	26.66	34.89	2009-02-27	30.0	30.0	1	individuals	(Haswell, 1885)	30.0	1235692800000.0	1235692800000.0	1235692800000.0	2009.0	Biota	1.0
HumanObservation	1576D84D-C63E-4183-084E-41D164D3D18C	Pycnogonida	CReefs - Lizard Island 2009	0.0018	200	Australia	-14.66428	145.7533	Colossendeidae	POINT (145.75330 -14.66428)	Rhopalorhynchus	AIMS	Animalia		2018-07-13T09:32:25	1576D84D-C63E-4183-084E-41D164D3D18C	present	Arthropoda	Rhopalorhynchus tenuissimus	urn:lsid:marinespecies.org:taxname:239668		species	d516f57b-9645-45f5-967b-e92cd1901916	17a7d690-e05d-4054-bb61-77bb3f26ba0a	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Hedgpethiinae	Rhopalorhynchus tenuissimus	2	1065	1274	1302	1358	379601	379607	22617	379614	182869	239668	239668	Rhopalorhynchus tenuissimus	[]	1743.69	27066	26.81	34.86	2009-02-27	4.0	4.0	1	individuals	(Haswell, 1885)	4.0	1235692800000.0	1235692800000.0	1235692800000.0	2009.0	Biota	1.0
