associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	stateProvince
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	184560.140490	Invertebrate Zoology: Crustacea	Japan	13	34.65832901	138.944442749	observedindividualcount=5;	1970-05-13T12:00:00Z	Nakamura, K., Child, C. Allan	5.0	USNM	Honshu Island, Ise, Sagami, Nabeta Bay	15	7	5	Alcohol (Ethanol)	K. Nakamura	Anoplodactylus shimodaensis	Nakamura & Child	urn:lsid:marinespecies.org:taxname:239759	male; female	Paratype	North Pacific Ocean	1970	a793a14d-2ae2-4eff-846d-b531ecaca53b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	11.0	11404800000	11404800000	11404800000	1970	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus shimodaensis	2	1065	1274	1302	1358	379601	379610	14469	134592	239759	239759	Anoplodactylus shimodaensis	[]	24	434	20.53	34.06	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	184561.140491	Invertebrate Zoology: Crustacea	Japan	3	34.65832901	138.944442749	observedindividualcount=1;	1969-10-03T12:00:00Z	Nakamura, K., Child, C. Allan	1.0	USNM	Honshu Island, Ise, Sagami, Nabeta Bay	15	7	10	Alcohol (Ethanol)	K. Nakamura	Anoplodactylus shimodaensis	Nakamura & Child	urn:lsid:marinespecies.org:taxname:239759	male	Paratype	North Pacific Ocean	1969	ab74f67e-7539-4e76-a9ef-7ef69627cb39	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	11.0	-7776000000	-7776000000	-7776000000	1969	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus shimodaensis	2	1065	1274	1302	1358	379601	379610	14469	134592	239759	239759	Anoplodactylus shimodaensis	[]	24	434	20.53	34.06	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	195218.150480	Invertebrate Zoology: Crustacea	Japan	18	34.6366691589	138.940002441	observedindividualcount=1;	1969-07-18T12:00:00Z	Nakamura, K., Child, C. Allan	1.0	USNM	Honshu Island, Sagami Bay	40	37	7	Alcohol (Ethanol)		Anoplodactylus shimodaensis	Nakamura & Child	urn:lsid:marinespecies.org:taxname:239759	female		North Pacific Ocean	1969	d8bb4908-762b-4e47-8bb3-3944d04a9db4	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	38.5	-14428800000	-14428800000	-14428800000	1969	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus shimodaensis	2	1065	1274	1302	1358	379601	379610	14469	134592	239759	239759	Anoplodactylus shimodaensis	[]	38	1974	20.53	34.06	Shizuoka
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	184559.140489	Invertebrate Zoology: Crustacea	Japan	13	34.65832901	138.944442749	observedindividualcount=1;	1970-05-13T12:00:00Z	Nakamura, K., Child, C. Allan	1.0	USNM	Honshu Island, Ise, Sagami, Nabeta Bay	15	7	5	Alcohol (Ethanol)	K. Nakamura	Anoplodactylus shimodaensis	Nakamura & Child	urn:lsid:marinespecies.org:taxname:239759	male	Holotype	North Pacific Ocean	1970	f911eb78-2abb-4c95-8364-d8a50948fa55	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	11.0	11404800000	11404800000	11404800000	1970	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus shimodaensis	2	1065	1274	1302	1358	379601	379610	14469	134592	239759	239759	Anoplodactylus shimodaensis	[]	24	434	20.53	34.06	
