associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	183840.139769	Invertebrate Zoology: Crustacea	Japan	13	34.6633300781	138.759994507	observedindividualcount=97;	1969-07-13T12:00:00Z	Nakamura, K., Child, C. Allan	97.0	USNM	;; juvenile	Honshu Island, Suruga Bay	85	75	7	Alcohol (Ethanol)	Achelia superba	(Loman)	urn:lsid:marinespecies.org:taxname:240359	male; female;;	Shizuoka	North Pacific Ocean	1969	32a67d20-17e9-40db-95a0-10b9a1e44e0c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	80	-14860800000	-14860800000	-14860800000	1969	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia superba	2	1065	1274	1302	1358	379601	379608	1562	134568	240359	240359	Achelia superba	[]	67	1016	20.46	34.04
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	183841.139770	Invertebrate Zoology: Crustacea	Japan	1	34.9766693115	139.173324585	observedindividualcount=5;	1971-02-01T12:00:00Z	Nakamura, K., Child, C. Allan	5.0	USNM		Honshu Island, Sagami Bay	300	290	2	Alcohol (Ethanol)	Achelia superba	(Loman)	urn:lsid:marinespecies.org:taxname:240359	male; female	Shizuoka	North Pacific Ocean	1971	859b70c7-8f94-487c-ae85-e292c3e6063c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	295	34214400000	34214400000	34214400000	1971	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia superba	2	1065	1274	1302	1358	379601	379608	1562	134568	240359	240359	Achelia superba	[]	273	3278	20.23	33.5
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80559.273433	Invertebrate Zoology: Crustacea	Russia	27	48.5416717529	145.145828247	observedindividualcount=1;	1906-09-27T12:00:00Z	Hedgpeth, J. W.	1.0	USNM		Off Ostrov Sakhalin	134	134	9	Alcohol (Ethanol)	Achelia superba	(Loman)	urn:lsid:marinespecies.org:taxname:240359	male		North Pacific Ocean	1906	def57472-caf2-4026-8388-9465e4abba76	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	134	-1996444800000	-1996444800000	-1996444800000	1906	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia superba	2	1065	1274	1302	1358	379601	379608	1562	134568	240359	240359	Achelia superba	[]	155	31475	4.57	31.84
