basisOfRecord	catalogNumber	class	collectionCode	collectionID	continent	country	dateIdentified	day	decimalLatitude	decimalLongitude	eventDate	eventRemarks	family	fieldNumber	genus	higherClassification	higherGeography	identifiedBy	institutionCode	institutionID	kingdom	language	license	locality	locationID	modified	month	nomenclaturalCode	occurrenceID	occurrenceRemarks	order	phylum	preparations	recordedBy	scientificName	scientificNameAuthorship	specificEpithet	startDayOfYear	taxonRank	type	verbatimEventDate	verbatimLatitude	verbatimLongitude	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	associatedReferences	bibliographicCitation	dynamicProperties	individualCount	lifeStage	maximumDepthInMeters	minimumDepthInMeters	scientificNameID	sex	stateProvince	waterBody	depth	sst	sss
PreservedSpecimen	10270	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	Asia	South Korea	1979-11	7	35.56667	129.31667	1970-04-07	Data transcribed from catalogue card by Notes from Nature volunteers via Zooniverse.	Nymphonidae	160836	Nymphon	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Nymphonoidea, Nymphonidae	Asia, North Pacific Ocean	C.A. Child	CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	en	https://creativecommons.org/publicdomain/zero/1.0/	Korea Strait, off Ulsan	e1d7fd3d-dd13-429e-8b9e-734f0b52ee28	2024-03-08 17:12:31	4	ICZN	urn:catalog:CAS:IZ:10270	female ?	Pantopoda	Arthropoda	Fluid-75% EtOH(1)	Franz B. Steiner	Nymphon japonicum	Ortmann, 1891	japonicum	97	species	Physical Object	07 Apr 1970	35° 34' N	129° 19' E	1970	0f2725e3-e669-4fe4-96cd-0c0525f52507	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	8294400000	8294400000	8294400000	1970	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon japonicum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	239505	239505	Nymphon japonicum	['NO_DEPTH', 'ON_LAND']	-90	-4233														
PreservedSpecimen	195234.150496	Pycnogonida	Invertebrate Zoology: Crustacea			Japan		18	34.5950012207	138.994995117	1969-07-18T12:00:00Z		Nymphonidae		Nymphon			Nakamura, K., Child, C. Allan	USNM		Animalia			Honshu Island, Sagami Bay			7				Pantopoda	Arthropoda	Alcohol (Ethanol)		Nymphon japonicum	Ortmann								1969	1517d97d-b9af-48b8-b02d-7b5c065f6e83	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-14428800000	-14428800000	-14428800000	1969	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon japonicum		2	1065	1274	1302	1358	379601	379609	1566	134591	239505	239505	Nymphon japonicum	[]	256	5121	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=3;	3.0	; juvenile	256.0	256.0	urn:lsid:marinespecies.org:taxname:239505	female;;	Shizuoka	North Pacific Ocean	256.0	20.53	34.06
PreservedSpecimen	195235.150497	Pycnogonida	Invertebrate Zoology: Crustacea			Japan		18	34.6366691589	138.940002441	1969-07-18T12:00:00Z		Nymphonidae		Nymphon			Nakamura, K., Child, C. Allan	USNM		Animalia			Honshu Island, Sagami Bay			7				Pantopoda	Arthropoda	Alcohol (Ethanol)		Nymphon japonicum	Ortmann								1969	f2dedf1f-9667-4a92-b194-e9d9e3434235	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-14428800000	-14428800000	-14428800000	1969	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon japonicum		2	1065	1274	1302	1358	379601	379609	1566	134591	239505	239505	Nymphon japonicum	[]	38	1974	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=1;	1.0		40.0	37.0	urn:lsid:marinespecies.org:taxname:239505	male	Shizuoka	North Pacific Ocean	38.5	20.53	34.06
