basisOfRecord	catalogNumber	class	collectionCode	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventTime	family	fieldNumber	footprintSRS	genus	identifiedBy	kingdom	language	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	recordedBy	samplingProtocol	scientificName	scientificNameID	specificEpithet	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	individualCount	institutionCode	occurrenceRemarks	scientificNameAuthorship	startDayOfYear	sex
HumanObservation	32029	Pycnogonida	bio_dba	https://marineinfo.org/id/dataset/490	Bigood	1	1.0	87.0	1981-08-01T00:00:00+00:00	Beam trawl_198181_CP / CPH-11_NA	00:00:00+00:00	Nymphonidae	CP / CPH-11	EPSG:4326	Nymphon	STOCK Jan	Animalia	en	Bassin indien central	4360	4360	2022-01-18 09:29:51	8	Ifremer_bio_dba_32029	present	Pantopoda	Arthropoda	MONNIOT Claude	Beam trawl	Nymphon femorale	urn:lsid:marinespecies.org:taxname:239647	femorale	1981	293491c5-85b3-4d9c-865a-6cc19cd91384	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	4360	365472000000	365472000000	365472000000	1981	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon femorale	1	2	1065	1274	1302	1358	379601	379609	1566	134591	239647	239647	Nymphon femorale	[]	4450	840628	29.3	34.44							
PreservedSpecimen	Gal-II-259	Pycnogonida	Galathea II	https://marineinfo.org/id/dataset/2037		11	5.53333	78.683296	1951-04-11			Nymphonidae			Nymphon		Animalia		Seychelles-Ceylon	4040	4040	2007-10-29 18:31:08	4	urn:catalog:ZMUC:Galathea II:Gal-II-259	present	Pantopoda	Arthropoda	Galathea II Danish Deep Sea Expedition 1950-52		Nymphon femorale	urn:lsid:marinespecies.org:taxname:239647	femorale	1951	a0d0b070-4f1e-4f0c-9d40-855e99cdec52	3ac81162-1804-43c4-b766-aabe2abcc572	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	4040	-590976000000	-590976000000	-590976000000	1951	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon femorale	1	2	1065	1274	1302	1358	379601	379609	1566	134591	239647	239647	Nymphon femorale	[]	3854	169209	28.62	34.4	1750.0	20.0	ZMUC	6 males, 5 females, 9 juveniles. Record published in http://www.zmuc.dk/InverWeb/Galathea/Pdf_filer/Volume_02/galathea-vol.02-pp_159-166.pdf	Fage	101	
PreservedSpecimen	Gal-II-260	Pycnogonida	Galathea II	https://marineinfo.org/id/dataset/2037		23	-5.3	131.300003	1951-09-23			Nymphonidae			Nymphon		Animalia		Banda Trench	6650	6490	2007-10-29 18:31:08	9	urn:catalog:ZMUC:Galathea II:Gal-II-260	present	Pantopoda	Arthropoda	Galathea II Danish Deep Sea Expedition 1950-52		Nymphon femorale	urn:lsid:marinespecies.org:taxname:239647	femorale	1951	b97d7364-3d8e-40f1-ad21-db40fb54ee19	3ac81162-1804-43c4-b766-aabe2abcc572	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	6570	-576720000000	-576720000000	-576720000000	1951	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon femorale	1	2	1065	1274	1302	1358	379601	379609	1566	134591	239647	239647	Nymphon femorale	['DEPTH_EXCEEDS_BATH']	5889	73602	28.29	33.63	1750.0	1.0	ZMUC	juvenile. Record published in http://www.zmuc.dk/InverWeb/Galathea/Pdf_filer/Volume_02/galathea-vol.02-pp_159-166.pdf	Fage	266	M
PreservedSpecimen	Gal-II-258	Pycnogonida	Galathea II	https://marineinfo.org/id/dataset/2037		8	1.0	76.283302	1951-04-08			Nymphonidae			Nymphon		Animalia		Seychelles-Ceylon	4330	4330	2007-10-29 18:31:08	4	urn:catalog:ZMUC:Galathea II:Gal-II-258	present	Pantopoda	Arthropoda	Galathea II Danish Deep Sea Expedition 1950-52		Nymphon femorale	urn:lsid:marinespecies.org:taxname:239647	femorale	1951	cc557f62-d4a9-4e78-9085-5a3eda0875ab	3ac81162-1804-43c4-b766-aabe2abcc572	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	4330	-591235200000	-591235200000	-591235200000	1951	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon femorale	1	2	1065	1274	1302	1358	379601	379609	1566	134591	239647	239647	Nymphon femorale	[]	4279	307843	29.26	34.92	1750.0	1.0	ZMUC	mutil+¬. Record published in http://www.zmuc.dk/InverWeb/Galathea/Pdf_filer/Volume_02/galathea-vol.02-pp_159-166.pdf	Fage	98	M
