basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventTime	family	fieldNumber	footprintSRS	genus	identifiedBy	kingdom	language	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	recordedBy	samplingProtocol	scientificName	scientificNameID	specificEpithet	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	occurrenceRemarks	continent	institutionCode
HumanObservation	96034	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	13	12.0	-44.0	2007-03-13T07:00:00+00:00	Slurp gun bottle_2007313_312 ASPI-1_07:00:00+00:00	07:00:00+00:00	Ammotheidae	312 ASPI-1	EPSG:4326	Sericosura	TURPAEVA Elena P.	Animalia	en	ZF 15N20	4087	4087	2022-01-18 09:29:51	3	Ifremer_bio_dba_96034	present	Pantopoda	Arthropoda	FOUQUET Yves	Slurp gun bottle	Sericosura heteroscela	urn:lsid:marinespecies.org:taxname:134633	heteroscela	2007	0092523b-ced0-47fe-b7ab-d42d29ea6f3f	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	4087	1173744000000.0	1173744000000.0	1173744000000.0	2007.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Sericosura heteroscela	1	2	1065	1274	1302	1358	379601	379608	1562	134576	134633	134633	Sericosura heteroscela	['DEPTH_EXCEEDS_BATH']	2676.0	1176972	26.94	35.72			
HumanObservation	96149	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	31	37.0	-32.0	2005-07-31T04:00:00+00:00	Slurp gun bottle_2005731_253 ASPI-3_04:00:00+00:00	04:00:00+00:00	Ammotheidae	253 ASPI-3	EPSG:4326	Sericosura	SEGONZAC Michel	Animalia	en	Point triple des Azores	1689	1689	2022-01-18 09:29:51	7	Ifremer_bio_dba_96149	present	Pantopoda	Arthropoda	GODFROY Anne	Slurp gun bottle	Sericosura heteroscela	urn:lsid:marinespecies.org:taxname:134633	heteroscela	2005	0a4b0f42-6629-4782-80f2-c0be04b10e0d	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1689	1122768000000.0	1122768000000.0	1122768000000.0	2005.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Sericosura heteroscela	1	2	1065	1274	1302	1358	379601	379608	1562	134576	134633	134633	Sericosura heteroscela	['DEPTH_EXCEEDS_BATH']	979.5	272076	20.12	36.34	pil 25		
HumanObservation	96036	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	13	12.0	-44.0	2007-03-13T08:00:00+00:00	Slurp gun bottle_2007313_312 ASPI-3_08:00:00+00:00	08:00:00+00:00	Ammotheidae	312 ASPI-3	EPSG:4326	Sericosura	TURPAEVA Elena P.	Animalia	en	ZF 15N20	4086	4086	2022-01-18 09:29:51	3	Ifremer_bio_dba_96036	present	Pantopoda	Arthropoda	FOUQUET Yves	Slurp gun bottle	Sericosura heteroscela	urn:lsid:marinespecies.org:taxname:134633	heteroscela	2007	0a9fc816-c7ee-47f0-9b8d-1fe87261b4f3	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	4086	1173744000000.0	1173744000000.0	1173744000000.0	2007.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Sericosura heteroscela	1	2	1065	1274	1302	1358	379601	379608	1562	134576	134633	134633	Sericosura heteroscela	['DEPTH_EXCEEDS_BATH']	2676.0	1176972	26.94	35.72			
HumanObservation	58369	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	27	37.0	-32.0	1994-05-27T11:00:00+00:00	Basket_1994527_911 PANIER-5_11:00:00+00:00	11:00:00+00:00	Ammotheidae	911 PANIER-5	EPSG:4326	Sericosura	CHILD Allan	Animalia	en	Point triple des Azores	1727	1727	2022-01-18 09:29:51	5	Ifremer_bio_dba_58369	present	Pantopoda	Arthropoda	FOUQUET Yves	Basket	Sericosura heteroscela	urn:lsid:marinespecies.org:taxname:134633	heteroscela	1994	1024e0dd-b22e-427a-8757-e9c63d9e9de6	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1727	769996800000.0	769996800000.0	769996800000.0	1994.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Sericosura heteroscela	1	2	1065	1274	1302	1358	379601	379608	1562	134576	134633	134633	Sericosura heteroscela	['DEPTH_EXCEEDS_BATH']	979.5	272076	20.12	36.34	(DV19-8) 1 femelle + 2 males + 1 juv. (paratypes)		
HumanObservation	96035	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	13	12.0	-44.0	2007-03-13T08:00:00+00:00	Slurp gun bottle_2007313_312 ASPI-2_08:00:00+00:00	08:00:00+00:00	Ammotheidae	312 ASPI-2	EPSG:4326	Sericosura	TURPAEVA Elena P.	Animalia	en	ZF 15N20	4087	4087	2022-01-18 09:29:51	3	Ifremer_bio_dba_96035	present	Pantopoda	Arthropoda	FOUQUET Yves	Slurp gun bottle	Sericosura heteroscela	urn:lsid:marinespecies.org:taxname:134633	heteroscela	2007	1c2c5350-c527-4a76-8f79-583d579658b2	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	4087	1173744000000.0	1173744000000.0	1173744000000.0	2007.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Sericosura heteroscela	1	2	1065	1274	1302	1358	379601	379608	1562	134576	134633	134633	Sericosura heteroscela	['DEPTH_EXCEEDS_BATH']	2676.0	1176972	26.94	35.72			
HumanObservation	58407	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	3	37.0	-32.0	1998-07-03T15:00:00+00:00	Slurp gun bottle_199873_1267 ASPI-1_15:00:00+00:00	15:00:00+00:00	Ammotheidae	1267 ASPI-1	EPSG:4326	Sericosura	CHILD Allan	Animalia	en	Point triple des Azores	1648	1648	2022-01-18 09:29:51	7	Ifremer_bio_dba_58407	present	Pantopoda	Arthropoda	DESBRUYERES Daniel	Slurp gun bottle	Sericosura heteroscela	urn:lsid:marinespecies.org:taxname:134633	heteroscela	1998	1c328712-a730-4837-99cf-ea44a2cbe4bb	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1648	899424000000.0	899424000000.0	899424000000.0	1998.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Sericosura heteroscela	1	2	1065	1274	1302	1358	379601	379608	1562	134576	134633	134633	Sericosura heteroscela	['DEPTH_EXCEEDS_BATH']	979.5	272076	20.12	36.34			
HumanObservation	58367	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	23	37.0	-31.0	1994-05-23T13:00:00+00:00	Basket_1994523_907 PANIER-3_13:00:00+00:00	13:00:00+00:00	Ammotheidae	907 PANIER-3	EPSG:4326	Sericosura	CHILD Allan	Animalia	en	Point triple des Azores	1043	1043	2022-01-18 09:29:51	5	Ifremer_bio_dba_58367	present	Pantopoda	Arthropoda	FOUQUET Yves	Basket	Sericosura heteroscela	urn:lsid:marinespecies.org:taxname:134633	heteroscela	1994	215ee3e7-ff0b-471e-82a1-0f62b6305b2e	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1043	769651200000.0	769651200000.0	769651200000.0	1994.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Sericosura heteroscela	1	2	1065	1274	1302	1358	379601	379608	1562	134576	134633	134633	Sericosura heteroscela	[]	2542.5	260133	20.12	36.35	(DV15-5) 1 femelle (holotype) + 1 male et 1 juv. (paratypes)		
Occurrence	2763	Pycnogonida	C		https://marineinfo.org/id/dataset/212			14.7517004013062	-44.9665985107422				Ammotheidae			Sericosura		Animalia		Logatchev	3500	3500	1970-01-01 01:00:00		urn:catalog:PENN:C:2763:0xD593170001000100	present	Pantopoda	Arthropoda	Chuck Fisher Cindy Van Dover		Sericosura heteroscela	urn:lsid:marinespecies.org:taxname:134633			21b94389-350f-4137-bd3e-2278bbc6a685	471a8de8-80f8-43f9-9443-88a45712feba	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	3500					False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Sericosura heteroscela	1	2	1065	1274	1302	1358	379601	379608	1562	134576	134633	134633	Sericosura heteroscela	['DEPTH_EXCEEDS_BATH']	2928.0	1341097	26.52	36.11		Mid-Atlantic Ridge	PENN
HumanObservation	96163	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	4	37.0	-32.0	2006-09-04T06:00:00+00:00	Slurp gun bottle_200694_306 ASPI-1_06:00:00+00:00	06:00:00+00:00	Ammotheidae	306 ASPI-1	EPSG:4326	Sericosura	SEGONZAC Michel	Animalia	en	Point triple des Azores	1696	1696	2022-01-18 09:29:51	9	Ifremer_bio_dba_96163	present	Pantopoda	Arthropoda	SARRADIN Pierre-Marie	Slurp gun bottle	Sericosura heteroscela	urn:lsid:marinespecies.org:taxname:134633	heteroscela	2006	22997606-e69a-44b8-9491-7213aaeb839c	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1696	1157328000000.0	1157328000000.0	1157328000000.0	2006.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Sericosura heteroscela	1	2	1065	1274	1302	1358	379601	379608	1562	134576	134633	134633	Sericosura heteroscela	['DEPTH_EXCEEDS_BATH']	979.5	272076	20.12	36.34			
HumanObservation	58405	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	5	37.0	-32.0	1997-09-05T13:00:00+00:00	Basket_199795_1206 PANIER-2_13:00:00+00:00	13:00:00+00:00	Ammotheidae	1206 PANIER-2	EPSG:4326	Sericosura	CHILD Allan	Animalia	en	Point triple des Azores	1678	1678	2022-01-18 09:29:51	9	Ifremer_bio_dba_58405	present	Pantopoda	Arthropoda	DESBRUYERES Daniel	Basket	Sericosura heteroscela	urn:lsid:marinespecies.org:taxname:134633	heteroscela	1997	32be6b67-a57e-4a68-b886-ec9b4e88f663	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1678	873417600000.0	873417600000.0	873417600000.0	1997.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Sericosura heteroscela	1	2	1065	1274	1302	1358	379601	379608	1562	134576	134633	134633	Sericosura heteroscela	['DEPTH_EXCEEDS_BATH']	979.5	272076	20.12	36.34			
