basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	day	dynamicProperties	eventDate	identifiedBy	individualCount	month	preparations	recordedBy	scientificNameAuthorship	sex	typeStatus	waterBody	year	date_start	date_mid	date_end	date_year
HumanObservation	22984	SOMBASE Pycnogonids	-62.4333000183	-160.119995117	BAS	2928.0	2873.0	Nymphon sabellum	urn:lsid:marinespecies.org:taxname:173510	42d3b09f-42cf-443c-bace-2ccd517241c3	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2900.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon sabellum	2	1065	1274	1302	1358	379601	379609	1566	134591	173510	173510	Nymphon sabellum	[]	2721	1077222	-0.65	33.68																				
PreservedSpecimen	234675.286934	Invertebrate Zoology: Crustacea	-62.3330001831	-160.024993896	USNM			Nymphon sabellum	urn:lsid:marinespecies.org:taxname:173510	c5398bc2-4181-4429-b29c-b0c90843f13d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon sabellum	2	1065	1274	1302	1358	379601	379609	1566	134591	173510	173510	Nymphon sabellum	['NO_DEPTH']	2990	1088098	-0.51	33.67	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	16	observedindividualcount=1;	1964-08-16T12:00:00Z	Child, C. Allan	1.0	8	Alcohol (Ethanol)	University of Southern California	Child	male	Holotype	Antarctic Ocean	1964	-169689600000.0	-169689600000.0	-169689600000.0	1964.0
