associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	typeStatus	waterBody	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	day	month	year
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234738.186457	Invertebrate Zoology: Crustacea	Russia	52.4733314514	143.608337402	observedindividualcount=18;	1997-11-16T00:00:00Z	Child, C. Allan	18.0	USNM	ovigerous;; juvenile	Sakhalin Island, NE Coast	35	35	Alcohol (Ethanol)	Achelia cuneatis	Child	urn:lsid:marinespecies.org:taxname:244387	male; female;;	Khabarovsk	Paratype	North Pacific Ocean	26d0b771-2350-4c2d-8def-8fd85f6aa0e3	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	35	879638400000	879638400000	879638400000	1997	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia cuneatis	2	1065	1274	1302	1358	379601	379608	1562	134568	244387	244387	Achelia cuneatis	[]	28	21247	4.1	30.45			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234737.186456	Invertebrate Zoology: Crustacea	Russia	52.4733314514	143.608337402	observedindividualcount=1;	1996-08-22T12:00:00Z	Child, C. Allan	1.0	USNM		Sakhalin Island, NE Coast	35	35	Alcohol (Ethanol)	Achelia cuneatis	Child	urn:lsid:marinespecies.org:taxname:244387	male	Khabarovsk	Holotype	North Pacific Ocean	d29ddf0b-2de2-44d9-8d0c-36dfb621e154	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	35	840672000000	840672000000	840672000000	1996	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia cuneatis	2	1065	1274	1302	1358	379601	379608	1562	134568	244387	244387	Achelia cuneatis	[]	28	21247	4.1	30.45	22	8	1996
