basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	sex	associatedReferences	bibliographicCitation	dynamicProperties	identifiedBy	individualCount	maximumDepthInMeters	minimumDepthInMeters	preparations	scientificNameAuthorship	stateProvince	typeStatus	waterBody	year	depth	organismQuantity	organismQuantityType
PreservedSpecimen	P.45029	Pycnogonida	co113	0.0896	10000	Australia	-33.566	151.266	1983-08-05	Phoxichilidiidae	POINT (151.26600 -33.56600)	Anoplodactylus	AM	Animalia	Hawkesbury River, between Juno Head and Hungry Beach, mid-stream	2017-03-02T15:50:54	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.45029	present	Arthropoda	Anoplodactylus tubiferus	urn:lsid:marinespecies.org:taxname:240319	tubiferus	species	029c1c0e-b286-45c8-9b36-4be386f119c4	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	428889600000.0	428889600000.0	428889600000.0	1983.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus tubiferus	2	1065	1274	1302	1358	379601	379610	14469	134592	240319	240319	Anoplodactylus tubiferus	['NO_DEPTH', 'ON_LAND']	-53.0	-6023	20.31	35.52																	
PreservedSpecimen	P.42945	Pycnogonida	co113	0.0896	10000		-33.60833	151.49166	1986-02-10	Phoxichilidiidae	POINT (151.49166 -33.60833)	Anoplodactylus	AM	Animalia	south-east of Broken Bay	2017-03-02T15:58:08	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42945	present	Arthropoda	Anoplodactylus tubiferus	urn:lsid:marinespecies.org:taxname:240319	tubiferus	species	032e101d-09d6-4235-94bb-49516c9f63e1	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	508377600000.0	508377600000.0	508377600000.0	1986.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus tubiferus	2	1065	1274	1302	1358	379601	379610	14469	134592	240319	240319	Anoplodactylus tubiferus	['NO_DEPTH']	68.0	11717	20.43	35.53	Male																
PreservedSpecimen	P.13655	Pycnogonida	co113	0.0896	10000		-34.083	151.25	1898-03-11	Phoxichilidiidae	POINT (151.25000 -34.08300)	Anoplodactylus	AM	Animalia	3 - 4 km off Botany Bay	2017-03-02T11:16:13	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13655	present	Arthropoda	Anoplodactylus tubiferus	urn:lsid:marinespecies.org:taxname:240319	tubiferus	species	07e1f314-b4f9-4648-8fca-448e993b0217	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	-2266099200000.0	-2266099200000.0	-2266099200000.0	1898.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus tubiferus	2	1065	1274	1302	1358	379601	379610	14469	134592	240319	240319	Anoplodactylus tubiferus	['NO_DEPTH']	104.0	5557	20.48	35.54	Female																
PreservedSpecimen	128212.92344	Pycnogonida	Invertebrate Zoology: Crustacea			Indonesia	-4.5	130.0	1899-07-02T12:00:00Z	Phoxichilidiidae		Anoplodactylus	USNM	Animalia	Banda Island				Arthropoda	Anoplodactylus tubiferus	urn:lsid:marinespecies.org:taxname:379298			08b21d2a-38fb-42d5-aeaf-e2f5919d2fe4	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-2224800000000.0	-2224800000000.0	-2224800000000.0	1899.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus tubiferus	2	1065	1274	1302	1358	379601	379610	14469	134592	240319	240319	Anoplodactylus stylops	[]	692.0	5943	28.45	33.5		National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=2;	Loman, J. C.	2.0	36.0	9.0	Alcohol (Ethanol)	Loman	Moluccas	Syntype	South Pacific Ocean	1899	22.5		
PreservedSpecimen	P.42832	Pycnogonida	co113	0.0009	100	Australia	-33.97916	151.18383	1992-04-06	Phoxichilidiidae	POINT (151.18383 -33.97916)	Anoplodactylus	AM	Animalia	Botany Bay, 800-1000 m off Port Botany	2017-03-02T15:57:48	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42832	present	Arthropoda	Anoplodactylus tubiferus	urn:lsid:marinespecies.org:taxname:240319	tubiferus	species	0ab7d4e5-bbc9-46d8-938c-8e489762b263	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	702518400000.0	702518400000.0	702518400000.0	1992.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus tubiferus	2	1065	1274	1302	1358	379601	379610	14469	134592	240319	240319	Anoplodactylus tubiferus	['NO_DEPTH']	1.0	978	20.31	35.53	Male																
PreservedSpecimen	J5277	Pycnogonida	co119		1000	Australia	-23.85	151.27		Phoxichilidiidae	POINT (151.27000 -23.85000)	Anoplodactylus	NMV	Animalia	Gladstone, Calliope River	2017-02-09T11:03:32	J5277	present	Arthropoda	Anoplodactylus tubiferus	urn:lsid:marinespecies.org:taxname:240319	tubiferus	species	0ba49ef9-a595-4150-8f48-085d4c6d22eb	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus tubiferus	2	1065	1274	1302	1358	379601	379610	14469	134592	240319	240319	Anoplodactylus tubiferus	['NO_DEPTH', 'ON_LAND']	-5.91	-431	23.51	35.38	Unknown					2										2	individuals
PreservedSpecimen	J5273	Pycnogonida	co119		1000	Australia	-23.85	151.27		Phoxichilidiidae	POINT (151.27000 -23.85000)	Anoplodactylus	NMV	Animalia	Gladstone, Calliope River	2017-02-09T11:03:27	J5273	present	Arthropoda	Anoplodactylus tubiferus	urn:lsid:marinespecies.org:taxname:240319	tubiferus	species	0e9dd4f0-dd6e-464b-a772-0b0d4e6c297b	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus tubiferus	2	1065	1274	1302	1358	379601	379610	14469	134592	240319	240319	Anoplodactylus tubiferus	['NO_DEPTH', 'ON_LAND']	-5.91	-431	23.51	35.38	Unknown					1										1	individuals
PreservedSpecimen	P.45007	Pycnogonida	co113	0.009	1000	Australia	-33.533	151.12499	1984-05-08	Phoxichilidiidae	POINT (151.12499 -33.53300)	Anoplodactylus	AM	Animalia	Hawkesbury River, 1 km south of eastern end of Spectacle Island	2017-03-02T15:50:50	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.45007	present	Arthropoda	Anoplodactylus tubiferus	urn:lsid:marinespecies.org:taxname:240319	tubiferus	species	102059da-ffb1-4fdc-b6a7-178c168a4f10	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	452822400000.0	452822400000.0	452822400000.0	1984.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus tubiferus	2	1065	1274	1302	1358	379601	379610	14469	134592	240319	240319	Anoplodactylus tubiferus	['NO_DEPTH', 'ON_LAND']	-116.0	-19591			Female																
PreservedSpecimen	P.45004	Pycnogonida	co113	0.009	1000	Australia	-33.533	151.12499	1983-08-05	Phoxichilidiidae	POINT (151.12499 -33.53300)	Anoplodactylus	AM	Animalia	Hawkesbury River, 1 km south of eastern end of Spectacle Island	2017-03-02T15:50:49	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.45004	present	Arthropoda	Anoplodactylus tubiferus	urn:lsid:marinespecies.org:taxname:240319	tubiferus	species	125f111d-16c4-4cb0-ac3b-01f14183e992	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	428889600000.0	428889600000.0	428889600000.0	1983.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus tubiferus	2	1065	1274	1302	1358	379601	379610	14469	134592	240319	240319	Anoplodactylus tubiferus	['NO_DEPTH', 'ON_LAND']	-116.0	-19591			Female																
PreservedSpecimen	J5282	Pycnogonida	co119		1000	Australia	-23.85	151.27		Phoxichilidiidae	POINT (151.27000 -23.85000)	Anoplodactylus	NMV	Animalia	Gladstone, Calliope River	2017-02-09T11:03:37	J5282	present	Arthropoda	Anoplodactylus tubiferus	urn:lsid:marinespecies.org:taxname:240319	tubiferus	species	13774262-2744-42b6-9533-245f93f49d2f	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus tubiferus	2	1065	1274	1302	1358	379601	379610	14469	134592	240319	240319	Anoplodactylus tubiferus	['NO_DEPTH', 'ON_LAND']	-5.91	-431	23.51	35.38	Unknown					2										2	individuals
