basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	datasetID	decimalLatitude	decimalLongitude	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	day	eventDate	month	references	scientificNameAuthorship	specificEpithet	typeStatus	year	date_start	date_mid	date_end	date_year	countryCode	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	individualCount	license	recordedBy	taxonRank	verbatimLocality	waterBody
Occurrence	Stock JH (1997). Musorstom 18(176): 271-335.	43751	NewCaledonia	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	-22.2999992370605	166.339996337891	IRD-MNHN	Recif Senez	7.0	7.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:43751:0xA774170001000700	present	Nymphon fortunatum	urn:lsid:marinespecies.org:taxname:240078	364d0624-4277-4c01-8eb1-a0bcdf401735	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	7.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon fortunatum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	240078	240078	Nymphon fortunatum	[]	15	3559	24.56	35.26																							
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon fortunatum</i> Stock, 1997. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240078	sm_id_1990	WoRMS type localities		https://marineinfo.org/id/dataset/5184	-22.32	166.35	WoRMS Editorial Board	Coral Sea		7.0	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1990	present	Nymphon fortunatum	urn:lsid:marinespecies.org:taxname:240078	52cf4f3a-d389-493c-a59c-c5b217245bfa	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	7.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon fortunatum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	240078	240078	Nymphon fortunatum	[]	9	3068	24.56	35.26	7	1992-09-07	9	http://www.marinespecies.org/aphia.php?p=specdetails&id=1990	Stock, 1997	fortunatum	holotype	1992	715824000000.0	715824000000.0	715824000000.0	1992.0											
PreservedSpecimen		2007-4654	IU			-22.365	166.256668	MNHN	Secteur de Nouméa			2015-10-17T17:02Z	440004224		Nymphon fortunatum	urn:lsid:marinespecies.org:taxname:240078	fd1bfe31-13ea-42fc-b972-9d92edab56d7	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon fortunatum		2	1065	1274	1302	1358	379601	379609	1566	134591	240078	240078	Nymphon fortunatum Stock, 1997	['NO_DEPTH']	66	7599	24.6	35.28	17	1992-08-17T02:00Z	8	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4654	Stock, 1997	fortunatum	HOLOTYPE	1992	714009600000.0	714009600000.0	714009600000.0	1992.0	NC	MONTROUZIER/1339 (Nouméa)	POINT  (166.256668 -22.365)	WGS84	Stock	1	CC_BY_4_0	Bouchet coll.	SPECIES	Passe de Dumbéa	Pacific Ocean
