basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	datasetID	decimalLatitude	decimalLongitude	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	countryCode	day	eventDate	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	individualCount	license	month	recordedBy	references	scientificNameAuthorship	specificEpithet	taxonRank	typeStatus	waterBody	year	date_start	date_mid	date_end	date_year
Occurrence	Stock JH (1991). Musorstom 8(151): 125-212.	21611	NewCaledonia	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	-22.9699993133545	167.630004882812	IRD-MNHN	Musorstom 4, DW220	550.0	505.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21611:0x2E8C170001000300	present	Bathypallenopsis longimana	urn:lsid:marinespecies.org:taxname:266400	925527f8-6167-40ea-a2bc-941eafc6b3dd	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	527.5	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis longimana	1.0	2	1065	1274	1302	1358	379601	379609	236317	236477	239915	239915	Pallenopsis longimana	[]	638	23905	24.57	35.26																						
PreservedSpecimen		2007-4580	IU			-22.975	167.638336	MNHN	Sud de la Grande-Terre			2015-10-17T16:06Z	440004204		Bathypallenopsis longimana	urn:lsid:marinespecies.org:taxname:266400	f3bf4bef-1481-4fa4-bd8c-906e8c316bc1	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis longimana		2	1065	1274	1302	1358	379601	379609	236317	236477	239915	239915	Pallenopsis longimana Stock, J.H., 1991	['NO_DEPTH']	680	24667	24.57	35.26	NC	29	1985-09-29T02:00Z	MUSORSTOM 4/DW220	POINT  (167.638336 -22.975)	WGS84	Stock	1	CC_BY_4_0	9	B. Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4580	Stock, 1991	longimana	SPECIES	HOLOTYPE	Pacific Ocean	1985	496800000000.0	496800000000.0	496800000000.0	1985.0
