basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	subfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	eventID	fieldNumber	habitat	identificationRemarks	identificationVerificationStatus	identifiedBy	individualCount	occurrenceRemarks	verbatimIdentification	coordinateUncertaintyInMeters	datasetName	eventTime	footprintSRS	language	recordedBy	samplingProtocol
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Hedgpethia atlantica</i> (Stock, 1970). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=134671	sm_id_1898	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	1	36.68	-14.26	1967-07-01	Colossendeidae	Hedgpethia	WoRMS Editorial Board	Animalia	Josephine Bank	241	211	2007-06-20 15:52:33	7	WoRMS Editorial Board:WoRMS type localities:sm_id_1898	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1898	Hedgpethia atlantica	(Stock, 1970)	urn:lsid:marinespecies.org:taxname:134671	atlantica	holotype	1967	1bd5a857-5b40-47c4-ab7c-1fa06797ddef	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	226.0	-79056000000	-79056000000	-79056000000	1967	False	False	True	False	Biota	Chelicerata	Eupantopodida	Colossendeidoidea	Hedgpethiinae	Hedgpethia atlantica	1	2	1065	1274	1302	1358	379601	379607	22617	379614	134587	134671	134671	Hedgpethia atlantica	[]	210.8	435971	18.93	36.38																
PreservedSpecimen		24241	Pycnogonida	SeamountsOnline			33.8	-14.37	1987-10-10	Colossendeidae	Hedgpethia	SCSD	Animalia	Seine Seamount	256	250			SeamountsOnline_urn:lsid:marinespecies.org:taxname:134671_24241	present	Pantopoda	Arthropoda	[Anon.] 2006 Electronic Dataset of Stations Sampled on the Seamount 1 Expedition Provided by Serge Gofas 3/2006	Hedgpethia atlantica	(Stock, 1970)	urn:lsid:marinespecies.org:taxname:134671				4fb14c03-9df2-4a7d-b284-61e62934611f	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	253.0	560822400000	560822400000	560822400000	1987	False	False	True	False	Biota	Chelicerata	Eupantopodida	Colossendeidoidea	Hedgpethiinae	Hedgpethia atlantica	1	2	1065	1274	1302	1358	379601	379607	22617	379614	134587	134671	134671	Hedgpethia atlantica	[]	418.4	192708	20.01	36.64	SCSD_SeamountsOnline_Seine_Seamount_537834	Station DE80	benthic/near bottom	WoRMS Match Type: exact	Validated	Jan H. Stock	1	NA | NA	Hedgpethia atlantica (Stock, 1970)							
PreservedSpecimen		24243	Pycnogonida	SeamountsOnline			42.87	-11.84	1987-10-20	Colossendeidae	Hedgpethia	SCSD	Animalia	Galicia Bank	1000	985			SeamountsOnline_urn:lsid:marinespecies.org:taxname:134671_24243	present	Pantopoda	Arthropoda	[Anon.] 2006 Electronic Dataset of Stations Sampled on the Seamount 1 Expedition Provided by Serge Gofas 3/2006	Hedgpethia atlantica	(Stock, 1970)	urn:lsid:marinespecies.org:taxname:134671				55c88430-542e-4166-82ab-dc2fcf214d83	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	992.5	561686400000	561686400000	561686400000	1987	False	False	True	False	Biota	Chelicerata	Eupantopodida	Colossendeidoidea	Hedgpethiinae	Hedgpethia atlantica	1	2	1065	1274	1302	1358	379601	379607	22617	379614	134587	134671	134671	Hedgpethia atlantica	[]	1089.2	207091	16.03	35.83	SCSD_SeamountsOnline_Galicia_Bank_537856	Station DW116	benthic/near bottom	WoRMS Match Type: exact	Validated	Jan H. Stock	5	NA | NA	Hedgpethia atlantica (Stock, 1970)							
PreservedSpecimen		24240	Pycnogonida	SeamountsOnline			36.67	-14.27	1987-10-04	Colossendeidae	Hedgpethia	SCSD	Animalia	Josephine Seamount	222	207			SeamountsOnline_urn:lsid:marinespecies.org:taxname:134671_24240	present	Pantopoda	Arthropoda	[Anon.] 2006 Electronic Dataset of Stations Sampled on the Seamount 1 Expedition Provided by Serge Gofas 3/2006	Hedgpethia atlantica	(Stock, 1970)	urn:lsid:marinespecies.org:taxname:134671				73dc1395-b4e7-43b2-80da-2895b0d35d53	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	214.5	560304000000	560304000000	560304000000	1987	False	False	True	False	Biota	Chelicerata	Eupantopodida	Colossendeidoidea	Hedgpethiinae	Hedgpethia atlantica	1	2	1065	1274	1302	1358	379601	379607	22617	379614	134587	134671	134671	Hedgpethia atlantica	[]	220.6	434583	18.93	36.38	SCSD_SeamountsOnline_Josephine_Seamount_537808	Station DE39	benthic/near bottom	WoRMS Match Type: exact	Validated	Jan H. Stock	1	NA | NA	Hedgpethia atlantica (Stock, 1970)							
PreservedSpecimen		24242	Pycnogonida	SeamountsOnline			42.84	-11.88	1987-10-19	Colossendeidae	Hedgpethia	SCSD	Animalia	Galicia Bank	1125	1110			SeamountsOnline_urn:lsid:marinespecies.org:taxname:134671_24242	present	Pantopoda	Arthropoda	[Anon.] 2006 Electronic Dataset of Stations Sampled on the Seamount 1 Expedition Provided by Serge Gofas 3/2006	Hedgpethia atlantica	(Stock, 1970)	urn:lsid:marinespecies.org:taxname:134671				a46cb282-37ef-474f-b65b-934d21f45e29	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	1117.5	561600000000	561600000000	561600000000	1987	False	False	True	False	Biota	Chelicerata	Eupantopodida	Colossendeidoidea	Hedgpethiinae	Hedgpethia atlantica	1	2	1065	1274	1302	1358	379601	379607	22617	379614	134587	134671	134671	Hedgpethia atlantica	[]	1152.4	210517	16.03	35.83	SCSD_SeamountsOnline_Galicia_Bank_537852	Station DW108	benthic/near bottom	WoRMS Match Type: exact	Validated	Jan H. Stock	4	NA | NA	Hedgpethia atlantica (Stock, 1970)							
HumanObservation		25191	Pycnogonida	bio_dba	https://marineinfo.org/id/dataset/490	1	35.0	-6.0	1984-06-01T00:00:00+00:00	Colossendeidae	Hedgpethia		Animalia	Detroit de Gibraltar	133	133	2022-01-18 09:29:51	6	Ifremer_bio_dba_25191	present	Pantopoda	Arthropoda		Hedgpethia atlantica		urn:lsid:marinespecies.org:taxname:183392	atlanticum		1984	ca589073-bd35-48be-b404-5561317c22a8	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	133.0	454896000000	454896000000	454896000000	1984	False	False	True	False	Biota	Chelicerata	Eupantopodida	Colossendeidoidea	Hedgpethiinae	Hedgpethia atlantica	1	2	1065	1274	1302	1358	379601	379607	22617	379614	134587	134671	134671	Rhopalorhynchus atlanticum	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-82.0	-21152			Rock sledge_198461_DR/D-42_NA	DR/D-42				STOCK Jan				50.0	Bigood	00:00:00+00:00	EPSG:4326	en	BOUCHET Philippe	Rock sledge
PreservedSpecimen		24239	Pycnogonida	SeamountsOnline			36.69	-14.28	1987-10-04	Colossendeidae	Hedgpethia	SCSD	Animalia	Josephine Seamount	245	235			SeamountsOnline_urn:lsid:marinespecies.org:taxname:134671_24239	present	Pantopoda	Arthropoda	[Anon.] 2006 Electronic Dataset of Stations Sampled on the Seamount 1 Expedition Provided by Serge Gofas 3/2006	Hedgpethia atlantica	(Stock, 1970)	urn:lsid:marinespecies.org:taxname:134671				fe27eb85-201f-43d2-8b31-a825fbea75d3	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	240.0	560304000000	560304000000	560304000000	1987	False	False	True	False	Biota	Chelicerata	Eupantopodida	Colossendeidoidea	Hedgpethiinae	Hedgpethia atlantica	1	2	1065	1274	1302	1358	379601	379607	22617	379614	134587	134671	134671	Hedgpethia atlantica	[]	238.6	436207	18.93	36.38	SCSD_SeamountsOnline_Josephine_Seamount_537807	Station DW38	benthic/near bottom	WoRMS Match Type: exact	Validated	Jan H. Stock	1	NA | NA	Hedgpethia atlantica (Stock, 1970)							
