associatedReferences	basisOfRecord	catalogNumber	collectionCode	collectionID	decimalLatitude	decimalLongitude	eventDate	eventID	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	occurrenceID	occurrenceStatus	samplingProtocol	scientificName	scientificNameID	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
Records based on voucher specimens held in FORV Referral Centre, CMLRE	PreservedSpecimen	IO/SS/PYC/00001	voucher specimen collections	IndOBIS Dataset	8.39	93.34	2015-01-29	SS334II7A	Chippy K, CMLRE	2	CMLRE	Adult	Kamorta Island	601	601	87840	present	Trawl	Ascorhynchus levissimus	urn:lsid:marinespecies.org:taxname:239725	2341b1b5-1c90-4aee-8d94-4fe2ce2a98e3	7e5277ae-fca3-455c-b2aa-4a0c4f4a7a2e	['1a3b0f1a-4474-4d73-9ee1-d28f92a83996']	601	1422489600000	1422489600000	1422489600000	2015	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus levissimus	2	1065	1274	1302	1358	379601	379608	379788	134571	239725	239725	Ascorhynchus levissimus	['DEPTH_EXCEEDS_BATH']	496	18111	28.74	32.77
Records based on voucher specimens held in FORV Referral Centre, CMLRE	PreservedSpecimen	IO/SS/PYC/00002	voucher specimen collections	IndOBIS Dataset	8.36035	93.334417	2011-11-14	SS29291	Chippy K, CMLRE	1	CMLRE	Adult	Kamorta Island	650	650	87841	present	Trawl	Ascorhynchus levissimus	urn:lsid:marinespecies.org:taxname:239725	d9773b56-8155-4cec-b7db-b5c22a3f0b9c	7e5277ae-fca3-455c-b2aa-4a0c4f4a7a2e	['1a3b0f1a-4474-4d73-9ee1-d28f92a83996']	650	1321228800000	1321228800000	1321228800000	2011	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus levissimus	2	1065	1274	1302	1358	379601	379608	379788	134571	239725	239725	Ascorhynchus levissimus	['DEPTH_EXCEEDS_BATH']	469	15251	28.74	32.77
