basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	vernacularName	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	day	minimumDepthInMeters	month	references	scientificNameAuthorship	typeStatus	year	depth	superdomain	superdomainid	maximumDepthInMeters
PreservedSpecimen	P.42864	Pycnogonida	co113	0.009	1000	Australia	-41.216	148.29166	1991-04-15	Ammotheidae	POINT (148.29166 -41.21600)	Achelia	AM	Animalia	Bay of Fires, Sloop Reef	2017-03-02T15:57:53	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42864	present	Arthropoda	Achelia transfugoides	urn:lsid:marinespecies.org:taxname:240152	Male	transfugoides	species	Pycnogonid	1e9bd33e-b2d9-4b38-ab60-4c2b5319b3c8	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	671673600000.0	671673600000.0	671673600000.0	1991.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Achelia transfugoides	2	1065	1274	1302	1358	379601	379608	1562	134568	240152	240152	Achelia transfugoides	['NO_DEPTH']	14	581	15.27	35.42													
PreservedSpecimen	P.43196	Pycnogonida	co113	0.009	1000	Australia	-35.05	118.0	1983-12-17	Ammotheidae	POINT (118.00000 -35.05000)	Achelia	AM	Animalia	King Georges Sound, off southeast corner of Michealmas Island	2017-03-02T16:19:25	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43196	present	Arthropoda	Achelia transfugoides	urn:lsid:marinespecies.org:taxname:240152	Male	transfugoides	species	Pycnogonid	29af7359-2b64-4805-9ad6-3a2a5043d013	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	440467200000.0	440467200000.0	440467200000.0	1983.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Achelia transfugoides	2	1065	1274	1302	1358	379601	379608	1562	134568	240152	240152	Achelia transfugoides	['NO_DEPTH']	20	2601	19.31	35.56													
PreservedSpecimen	sm_id_1486	Pycnogonida	WoRMS type localities				-35.63	138.58	1970-01-11	Ammotheidae		Achelia	WoRMS Editorial Board	Animalia	Indian Ocean	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1486	present	Arthropoda	Achelia transfugoides	urn:lsid:marinespecies.org:taxname:240152		transfugoides			4ea9dd6a-4dfe-41ac-b36f-1a67c221c4ce	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	864000000.0	864000000.0	864000000.0	1970.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Achelia transfugoides	2	1065	1274	1302	1358	379601	379608	1562	134568	240152	240152	Achelia transfugoides	[]	32	2378	16.76	35.86	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Achelia transfugoides</i> Stock, 1973. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240152	https://marineinfo.org/id/dataset/5184	11	5.0	1	http://www.marinespecies.org/aphia.php?p=specdetails&id=1486	Stock, 1973	holotype	1970	5.0	Biota	1.0	
PreservedSpecimen	P.42865	Pycnogonida	co113	0.009	1000	Australia	-41.216	148.29166	1991-04-15	Ammotheidae	POINT (148.29166 -41.21600)	Achelia	AM	Animalia	Bay of Fires, Sloop Reef	2017-03-02T15:57:53	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42865	present	Arthropoda	Achelia transfugoides	urn:lsid:marinespecies.org:taxname:240152	Male	transfugoides	species	Pycnogonid	9e758171-f576-4b73-bea8-ff2eab60946f	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	671673600000.0	671673600000.0	671673600000.0	1991.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Achelia transfugoides	2	1065	1274	1302	1358	379601	379608	1562	134568	240152	240152	Achelia transfugoides	['NO_DEPTH']	14	581	15.27	35.42													
PreservedSpecimen	P.43145	Pycnogonida	co113	0.0896	10000	Australia	-35.683	136.966	1978-03-03	Ammotheidae	POINT (136.96600 -35.68300)	Achelia	AM	Animalia	Kangaroo Island, Western River Cove	2017-03-02T16:19:17	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43145	present	Arthropoda	Achelia transfugoides	urn:lsid:marinespecies.org:taxname:240152	Female	transfugoides	species	Pycnogonid	a2f3a644-71dc-45b1-9e11-7b2fbfb01a1c	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	257731200000.0	257731200000.0	257731200000.0	1978.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Achelia transfugoides	2	1065	1274	1302	1358	379601	379608	1562	134568	240152	240152	Achelia transfugoides	['NO_DEPTH', 'ON_LAND']	-76	-871	17.18	35.92													
HumanObservation	39889	Pycnogonida	SOMBASE Pycnogonids				-35.3716011047	150.505004883		Ammotheidae		Achelia	BAS	Animalia					Arthropoda	Achelia transfugoides	urn:lsid:marinespecies.org:taxname:240152					a60e2c2e-dd3b-48d5-aef8-e0ad73749335	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Achelia transfugoides	2	1065	1274	1302	1358	379601	379608	1562	134568	240152	240152	Achelia transfugoides	[]	27	1270	19.41	35.58				20.0						21.0			22.0
