basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	coordinateUncertaintyInMeters	country	datasetName	day	eventDate	footprintWKT	geodeticDatum	language	locationID	modified	month	occurrenceID	occurrenceStatus	preparations	recordedBy	samplingProtocol	scientificNameAuthorship	sex	specificEpithet	year	countryCode	eventID	fieldNumber	identifiedBy	identifiedByID	institutionID	organismQuantity	organismQuantityType	taxonRank	type	verbatimEventDate	date_start	date_mid	date_end	date_year	superdomain	superdomainid	identificationRemarks	lifeStage
HumanObservation	37311	SOMBASE Pycnogonids	-71.2583007812	170.698303223	BAS	515	515.0	Ammothea meridionalis	urn:lsid:marinespecies.org:taxname:172928	01598209-12a3-44d4-af31-f19b66997406	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	515.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea meridionalis	2	1065	1274	1302	1358	379601	379608	1562	134569	172928	172928	Ammothea meridionalis	[]	546	15010	-1.65	34.06																																								
HumanObservation	38340	SOMBASE Pycnogonids	-66.5551986694	92.9570007324	BAS	34	34.0	Ammothea meridionalis	urn:lsid:marinespecies.org:taxname:172928	063315e3-ba06-49d2-837c-7d9e525cf4b5	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	34.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea meridionalis	2	1065	1274	1302	1358	379601	379608	1562	134569	172928	172928	Ammothea meridionalis	[]	321	476	-1.56	33.71																																								
HumanObservation	38546	SOMBASE Pycnogonids	-66.5514984131	93.0080032349	BAS	40	10.0	Ammothea meridionalis	urn:lsid:marinespecies.org:taxname:172928	251ed4fd-a3ba-47d5-8f1a-ed1d869df2dd	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	25.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea meridionalis	2	1065	1274	1302	1358	379601	379608	1562	134569	172928	172928	Ammothea meridionalis	[]	293	154	-1.56	33.71																																								
HumanObservation	22008	SOMBASE Pycnogonids	-72.2850036621	170.218307495	BAS	59	59.0	Ammothea meridionalis	urn:lsid:marinespecies.org:taxname:172928	2a690657-a9ec-4082-ad01-fc64d05a6461	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	59.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea meridionalis	2	1065	1274	1302	1358	379601	379608	1562	134569	172928	172928	Ammothea meridionalis	[]	261	3483	-1.72	33.53																																								
PreservedSpecimen	9176	NIWA	-72.02	170.9583	NIWA Invertebrate Collection	307		Ammothea meridionalis	urn:lsid:marinespecies.org:taxname:172928	2d07119f-0023-41b6-a151-9f4cf7ae8b9e	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	307.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea meridionalis	2	1065	1274	1302	1358	379601	379608	1562	134569	172928	172928	Ammothea meridionalis	[]	268	6390	-1.69	33.73	Antarctica	500	Ross Dependency	NIWA Invertebrate Collection	20	20/01/1965	POINT (170.9583 -72.02)	WGS84	en	E189	8/04/2022	1	5c750398-fa36-11e2-96b3-aa6f927c92a3	present	Specimen(s), None = 1	NZOI	Trawl, Blake	Hodgson, 1915	male	meridionalis	1965																			
PreservedSpecimen	JR17003a_130		-64.0558	-58.4768	BAS	868	736.0	Ammothea meridionalis	urn:lsid:marinespecies.org:taxname:172928	35e0ca51-f91e-402c-b219-bf5cee7d10d6	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	802.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea meridionalis	2	1065	1274	1302	1358	379601	379608	1562	134569	172928	172928	Ammothea meridionalis	[]	848	1797	-1.52	32.67		226			5	2018-03-05	LINESTRING (-58.47601 -64.05378, -58.47756 -64.05778)	EPSG:4326	en			3	JR17003a_130	Present	Whole animal in 96% ethanol		Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr17003a.pdf	Hodgson, 1915		meridionalis	2018	AQ	JR17003a	JR17003a_38	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	1	individuals	species	PhysicalObject	5/3/2018	1520208000000.0	1520208000000.0	1520208000000.0	2018.0	Biota	1.0		
HumanObservation	37429	SOMBASE Pycnogonids	-67.6500015259	45.7550010681	BAS	67	63.0	Ammothea meridionalis	urn:lsid:marinespecies.org:taxname:172928	407520ce-2af5-40e9-89e1-38f4df342312	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	65.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea meridionalis	2	1065	1274	1302	1358	379601	379608	1562	134569	172928	172928	Ammothea meridionalis	[]	79	2375	-1.77	33.6																																								
HumanObservation	38544	SOMBASE Pycnogonids	-66.5516967773	93.0	BAS	45	3.0	Ammothea meridionalis	urn:lsid:marinespecies.org:taxname:172928	4857e3c0-455b-4bd4-b5fb-7d4748c7c83e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	24.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea meridionalis	2	1065	1274	1302	1358	379601	379608	1562	134569	172928	172928	Ammothea meridionalis	[]	293	286	-1.56	33.71																																								
HumanObservation	22003	SOMBASE Pycnogonids	-72.3000030518	170.433303833	BAS	146	143.0	Ammothea meridionalis	urn:lsid:marinespecies.org:taxname:172928	53519c64-6aa3-47e7-ab90-ede4c3638600	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	144.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea meridionalis	2	1065	1274	1302	1358	379601	379608	1562	134569	172928	172928	Ammothea meridionalis	[]	227	5783	-1.72	33.55																																								
PreservedSpecimen	JR17003a_0332-6		-63.8083	-58.0679	BAS	870	844.0	Ammothea meridionalis	urn:lsid:marinespecies.org:taxname:172928	544b237b-75d4-4070-b8c2-ec0504e2bd03	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	857.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea meridionalis	2	1065	1274	1302	1358	379601	379608	1562	134569	172928	172928	Ammothea meridionalis	[]	844	3550	-1.41	33.39		286			6	2018-03-06	LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	EPSG:4326	en			3	JR17003a_0332-6	Present	Whole animal in 96% ethanol		Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr17003a.pdf	Hodgson, 1915		meridionalis	2018	AQ	JR17003a	JR17003a_046	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	2	individuals	species	PhysicalObject	6/3/2018	1520294400000.0	1520294400000.0	1520294400000.0	2018.0	Biota	1.0	Hairy, assumed juvenile with still functioning fingers, as described in Childs 1994	Juvenile
