basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	datasetName	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	eventID	family	fieldNumber	footprintWKT	genus	geodeticDatum	individualCount	institutionCode	kingdom	language	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	order	phylum	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	startDayOfYear	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	suborder	superfamily	subfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	country	identifiedBy	preparations	continent	dateIdentified	locationID	recordedBy
HumanObservation	Colossendeis robusta (MBIS Terra Nova Expedition urn:NIWA:TerraNovaExp:601)	TN Stn. 294 Colossendeis robusta	Pycnogonida	MBIS Terra Nova Expedition	500	British Antarctic (Terra Nova) Expedition Zoology	15	-74.4167	179.05	SurfaceTemperatureInC=-0.6	1913-01-15	294	Colossendeidae	Stn. 294	POINT (179.0500 -74.4167)	Colossendeis	WGS84	1	TN	Animalia	en	Ross Sea	289	289	2014-08-10	1	urn:NIWA:TerraNovaExp:601	TotalLengthInMm=290. SurfaceTemperatureInC=-0.6. GearType=Agassiz trawl	present	Pantopoda	Arthropoda	GearType=Agassiz trawl	Colossendeis robusta	Hoek, 1881	urn:lsid:marinespecies.org:taxname:173208	m	robusta	15	Southern Ocean	1913	0034c573-350a-4602-a5a0-33f632ca8a99	159421b6-a764-4af1-9cc3-bc652dbeb12e	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	289.0	-1797552000000.0	-1797552000000.0	-1797552000000.0	1913.0	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis robusta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173208	173208	Colossendeis robusta	[]	270	293609	-1.55	34.13								
HumanObservation		38406	Pycnogonida	SOMBASE Pycnogonids				-66.5516967773	93.0				Colossendeidae			Colossendeis			BAS	Animalia			45	3						Pantopoda	Arthropoda		Colossendeis robusta		urn:lsid:marinespecies.org:taxname:173208						01837262-c413-400f-8932-9de944803e8f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	24.0					False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis robusta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173208	173208	Colossendeis robusta	[]	293	286	-1.56	33.71								
HumanObservation		37321	Pycnogonida	SOMBASE Pycnogonids				-64.2416000366	99.1999969482				Colossendeidae			Colossendeis			BAS	Animalia			639	639						Pantopoda	Arthropoda		Colossendeis robusta		urn:lsid:marinespecies.org:taxname:173208						029c22ea-1aa9-4874-b4ee-18505dc4aa9b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	639.0					False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis robusta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173208	173208	Colossendeis robusta	['DEPTH_EXCEEDS_BATH']	459	142707	-1.6	33.85								
HumanObservation		23665	Pycnogonida	SOMBASE Pycnogonids				-73.8165969849	-178.216598511				Colossendeidae			Colossendeis			BAS	Animalia			503	495						Pantopoda	Arthropoda		Colossendeis robusta		urn:lsid:marinespecies.org:taxname:173208						02e21ca4-8096-46e5-98b2-e01919efa495	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	499.0					False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis robusta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173208	173208	Colossendeis robusta	[]	509	370316	-1.65	34.04								
HumanObservation		39506	Pycnogonida	SOMBASE Pycnogonids				-71.6666030884	-12.6833000183				Colossendeidae			Colossendeis			BAS	Animalia			232	225						Pantopoda	Arthropoda		Colossendeis robusta		urn:lsid:marinespecies.org:taxname:173208						03037d00-2b86-4810-9569-2be4e113c6e0	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	228.5					False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis robusta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173208	173208	Colossendeis robusta	[]	265	13682	-1.76	33.73								
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	141900.285453	Pycnogonida	Invertebrate Zoology: Crustacea			25	-77.8669967651	177.600006104	observedindividualcount=4;	1967-01-25T12:00:00Z		Colossendeidae			Colossendeis		4.0	USNM	Animalia		N Portion	769	769		1				Pantopoda	Arthropoda		Colossendeis robusta	Hoek	urn:lsid:marinespecies.org:taxname:173208				Antarctic Ocean	1967	043620a7-94a7-4e5c-98c9-3cc318142355	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	769.0	-92620800000.0	-92620800000.0	-92620800000.0	1967.0	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis robusta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173208	173208	Colossendeis robusta	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-36	-15522	-1.66	34.2	National Museum of Natural History, Smithsonian Institution	Antarctica	Hedgpeth, J. W.	Alcohol (Ethanol)				
PreservedSpecimen		4993	Pycnogonida	NIWA	500	NIWA Invertebrate Collection	11	-76.6998333	179.7331667		11/01/1959		Colossendeidae		LINESTRING (179.7331667 -76.6998333, 179.8831667 -76.5998333)	Colossendeis	WGS84		NIWA Invertebrate Collection	Animalia	en		464	370	8/04/2022	1	5d0d73bc-fa36-11e2-96b3-aa6f927c92a3		present	Pantopoda	Arthropoda	Trawl, Agassiz small	Colossendeis robusta	Hoek, 1881	urn:lsid:marinespecies.org:taxname:173208	mixed	robusta			1959	04c86d1f-7f79-45c6-a7ef-490681936aa5	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	417.0					False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis robusta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173208	173208	Colossendeis robusta	[]	482	115842	-1.59	34.14		Ross Dependency	Chin, Caroline	Specimen(s), Ethanol - no formalin = 2	Antarctica	7/02/2011	A450_Trawl	NZOI
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	141986.285529	Pycnogonida	Invertebrate Zoology: Crustacea			19	-76.0	172.067001343	observedindividualcount=2;	1968-01-19T12:00:00Z		Colossendeidae			Colossendeis		2.0	USNM	Animalia			569	565		1				Pantopoda	Arthropoda		Colossendeis robusta	Calman	urn:lsid:marinespecies.org:taxname:173191	male; female			Antarctic Ocean	1968	04db0a12-2a40-4a71-8930-681e486eb72b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	567.0	-61603200000.0	-61603200000.0	-61603200000.0	1968.0	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis robusta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173208	173208	Colossendeis lilliei	[]	570	98528	-1.49	34.32	National Museum of Natural History, Smithsonian Institution	Antarctica	Hedgpeth, J. W.	Alcohol (Ethanol)				
HumanObservation		23737	Pycnogonida	SOMBASE Pycnogonids				-54.6500015259	-37.3666000366				Colossendeidae			Colossendeis			BAS	Animalia			150	140						Pantopoda	Arthropoda		Colossendeis robusta		urn:lsid:marinespecies.org:taxname:173208						05428290-5a56-4744-afff-7ba136ead1bb	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	145.0					False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis robusta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173208	173208	Colossendeis robusta	[]	186	22655	1.76	33.75								
HumanObservation		23703	Pycnogonida	SOMBASE Pycnogonids				-53.5965995789	-37.5866012573				Colossendeidae			Colossendeis			BAS	Animalia			366	254						Pantopoda	Arthropoda		Colossendeis robusta		urn:lsid:marinespecies.org:taxname:173208						05e2c1d0-8810-4b9a-b230-8ccf55456e96	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	310.0					False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis robusta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173208	173208	Colossendeis robusta	[]	757	41798	1.78	33.77								
