basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	datasetID	decimalLatitude	decimalLongitude	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	family	genus	subgenus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	subgenusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	countryCode	day	eventDate	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	individualCount	license	month	recordedBy	references	scientificNameAuthorship	specificEpithet	taxonRank	typeStatus	waterBody	year	date_start	date_mid	date_end	date_year
Occurrence	Stock JH (1991). Musorstom 8(151): 125-212.	21603	NewCaledonia	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	-22.7099990844727	166.449996948242	IRD-MNHN	Biogeocal, CP214	1665.0	1590.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21603:0xBC10900001000700	present	Austrodecus (Tubidecus) bathyale	urn:lsid:marinespecies.org:taxname:377905	16e62af5-bb7a-45ab-a51f-61f384263749	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1627.5	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus (Tubidecus)	Austrodecus (Tubidecus) bathyale	1.0	2	1065	1274	1302	1358	379600	22616	134579	236472	239548	239548	Austrodecus bathyale	[]	1642	22932	24.5	35.31																						
PreservedSpecimen		2007-4635	IU			-22.738501	166.476166	MNHN	Au large de Nouméa			2015-10-17T16:15Z	440007219		Austrodecus (Tubidecus) bathyale	urn:lsid:marinespecies.org:taxname:377905	48c37772-6ad5-4664-840a-79d3408f4159	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus (Tubidecus)	Austrodecus (Tubidecus) bathyale		2	1065	1274	1302	1358	379600	22616	134579	236472	239548	239548	Austrodecus bathyale Stock, J.H., 1991	['NO_DEPTH']	1783	24664	24.5	35.31	NC	9	1987-04-09T02:00Z	BIOGEOCAL/CP214	POINT  (166.476166 -22.738501)	WGS84	Stock	1	CC_BY_4_0	4	Lozouet P. coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4635	Stock, 1991	bathyale	SPECIES	HOLOTYPE	Pacific Ocean	1987	544924800000.0	544924800000.0	544924800000.0	1987.0
