basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	day	dynamicProperties	eventDate	identifiedBy	individualCount	locality	month	preparations	recordedBy	scientificNameAuthorship	typeStatus	waterBody	year	date_start	date_mid	date_end	date_year
HumanObservation	23457	SOMBASE Pycnogonids	-73.3165969849	-174.883300781	BAS	2907.0	2897.0	Colossendeis concedis	urn:lsid:marinespecies.org:taxname:173168	2e7aa000-6e98-4377-916e-58396b16e7b0	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2902.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis concedis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173168	173168	Colossendeis concedis	[]	2961	480246	-1.68	34.0																				
PreservedSpecimen	234695.286938	Invertebrate Zoology: Crustacea	-73.3170013428	-174.875	USNM			Colossendeis concedis	urn:lsid:marinespecies.org:taxname:173168	697b9c66-09a4-4a8f-b1e6-e76358c699b0	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis concedis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173168	173168	Colossendeis concedis	['NO_DEPTH']	2960	480499	-1.68	34.0	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	9	observedindividualcount=1;	1968-02-09T12:00:00Z	Child, C. Allan	1.0	Pennell Bank, East Of	2	Alcohol (Ethanol)	University of Southern California	Child	Paratype	Antarctic Ocean	1968	-59788800000.0	-59788800000.0	-59788800000.0	1968.0
HumanObservation	23456	SOMBASE Pycnogonids	-57.3765983582	-26.5666007996	BAS	2402.0	2248.0	Colossendeis concedis	urn:lsid:marinespecies.org:taxname:173168	83ed32b6-c0e8-43c8-b4c9-cf24f0e0cce8	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2325.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis concedis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173168	173168	Colossendeis concedis	[]	2432	30317	-0.77	33.63																				
PreservedSpecimen	234694.186418	Invertebrate Zoology: Crustacea	-57.3766708374	-26.5666694641	USNM			Colossendeis concedis	urn:lsid:marinespecies.org:taxname:173168	88197e18-4a30-4cec-83ad-647a3a7c6a1a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis concedis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173168	173168	Colossendeis concedis	['NO_DEPTH']	2428	30324	-0.77	33.63	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	South Sandwich Islands	26	observedindividualcount=1;	1975-05-26T12:00:00Z	Child, C. Allan	1.0	Saunders Island	5	Alcohol (Ethanol)	Smithsonian Oceanographic Sorting Center	Child	Holotype	South Atlantic Ocean	1975	170294400000.0	170294400000.0	170294400000.0	1975.0
