basisOfRecord	catalogNumber	class	collectionCode	countryCode	decimalLatitude	decimalLongitude	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	individualCount	institutionCode	kingdom	license	locality	modified	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	typeStatus	verbatimLocality	waterBody	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	day	eventDate	month	year	date_start	date_mid	date_end	date_year	bibliographicCitation	country	datasetID	maximumDepthInMeters	minimumDepthInMeters	occurrenceStatus	depth	superdomain	superdomainid
PreservedSpecimen	2007-4579	Pycnogonida	IU	NC	-24.655167	168.661163	Ascorhynchidae	CHALCAL 2/DW75	POINT  (168.661163 -24.655167)	Ascorhynchus	WGS84	Stock	1	MNHN	Animalia	CC_BY_4_0	Ride de Norfolk	2015-10-17T16:06Z	440007203	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4579	Ascorhynchus seticauda	Stock, 1991	urn:lsid:marinespecies.org:taxname:239711	seticauda	SPECIES	HOLOTYPE	Mont Introuvable	Pacific Ocean	01c8cdbc-4455-40cf-ba5f-99941eaef9ee	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus seticauda	2	1065	1274	1302	1358	379601	379608	379788	134571	239711	239711	Ascorhynchus seticauda Stock, J.H., 1991	['NO_DEPTH']	925.0	229049	23.89	35.42																	
PreservedSpecimen	2008-20568	Pycnogonida	IU	SB	-11.49	159.956665	Ascorhynchidae	SALOMON 1/DW1742	POINT  (159.956665 -11.49)	Ascorhynchus	WGS84		1	MNHN	Animalia	CC_BY_4_0	N Rennell I.	2015-06-19T21:23Z	462426639	Pantopoda	Arthropoda	Bouchet, Dayrat, Warén & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20568	Ascorhynchus seticauda	Stock, 1991	urn:lsid:marinespecies.org:taxname:239711	seticauda	SPECIES			Pacific Ocean	5f4d1180-2d80-42ac-95e9-fdb86db7503a	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus seticauda	2	1065	1274	1302	1358	379601	379608	379788	134571	239711	239711	Ascorhynchus seticauda Stock, J.H., 1991	['NO_DEPTH']	6.18	580	28.96	34.4	23	2001-09-23T02:00Z	9	2001	1001203200000.0	1001203200000.0	1001203200000.0	2001.0									
PreservedSpecimen	2007-4732	Pycnogonida	IU	NC	-23.677334	167.689331	Ascorhynchidae	NORFOLK 2/DW2034	POINT  (167.689331 -23.677334)	Ascorhynchus	WGS84	Bamber R.	1	MNHN	Animalia	CC_BY_4_0	Banc Stylaster	2015-07-30T20:25Z	440016778	Pantopoda	Arthropoda	Lozouet, Samadi & Richer-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4732	Ascorhynchus seticauda	Stock, 1991	urn:lsid:marinespecies.org:taxname:239711	seticauda	SPECIES			Pacific Ocean	5fda4a03-8827-410f-94a0-80086ba85f44	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus seticauda	2	1065	1274	1302	1358	379601	379608	379788	134571	239711	239711	Ascorhynchus seticauda Stock, J.H., 1991	['NO_DEPTH']	510.0	102502	24.28	35.34	22	2003-10-22T02:00Z	10	2003	1066780800000.0	1066780800000.0	1066780800000.0	2003.0									
PreservedSpecimen	2008-20567	Pycnogonida	IU	NC	-24.737333	170.133499	Ascorhynchidae	BATHUS 3/DW776	POINT  (170.133499 -24.737333)	Ascorhynchus	WGS84		1	MNHN	Animalia	CC_BY_4_0	Ride des Loyauté	2015-06-19T21:23Z	462403007	Pantopoda	Arthropoda	Bouchet, Richer de Forges-IRD & Warén coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20567	Ascorhynchus seticauda	Stock, 1991	urn:lsid:marinespecies.org:taxname:239711	seticauda	SPECIES		Mont K	Pacific Ocean	7ea58b33-45b3-4ab3-bab5-9eb8a87cfacd	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus seticauda	2	1065	1274	1302	1358	379601	379608	379788	134571	239711	239711	Ascorhynchus seticauda Stock, J.H., 1991	['NO_DEPTH']	740.0	265586	23.76	35.43	24	1993-11-24T01:00Z	11	1993	754099200000.0	754099200000.0	754099200000.0	1993.0									
Occurrence	21579	Pycnogonida	NewCaledonia		-24.6499996185303	168.660003662109	Ascorhynchidae			Ascorhynchus				IRD-MNHN	Animalia		Chalcal 2, DW75	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21579:0xAA77170001000500	Pantopoda	Arthropoda			Ascorhynchus seticauda		urn:lsid:marinespecies.org:taxname:239711						8ae841a4-e800-4121-9b62-f451a9837536	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus seticauda	2	1065	1274	1302	1358	379601	379608	379788	134571	239711	239711	Ascorhynchus seticauda	[]	992.0	228494	23.89	35.42									Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	600.0	600.0	present	600.0	Biota	1.0
Occurrence	21578	Pycnogonida	NewCaledonia		-24.7299995422363	170.130004882812	Ascorhynchidae			Ascorhynchus				IRD-MNHN	Animalia		Bathus 3, DW776	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21578:0xE67A170001000200	Pantopoda	Arthropoda			Ascorhynchus seticauda		urn:lsid:marinespecies.org:taxname:239711						94a53570-4492-4fe4-a215-aef66ccb684c	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus seticauda	2	1065	1274	1302	1358	379601	379608	379788	134571	239711	239711	Ascorhynchus seticauda	[]	710.0	264700	23.76	35.43									Stock JH (1997). Musorstom 18(176): 389-409.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	830.0	770.0	present	800.0	Biota	1.0
PreservedSpecimen	2008-20566	Pycnogonida	IU	NC	-24.737333	170.133499	Ascorhynchidae	BATHUS 3/DW776	POINT  (170.133499 -24.737333)	Ascorhynchus	WGS84		1	MNHN	Animalia	CC_BY_4_0	Ride des Loyauté	2015-06-19T21:23Z	462401297	Pantopoda	Arthropoda	Bouchet, Richer de Forges-IRD & Warén coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20566	Ascorhynchus seticauda	Stock, 1991	urn:lsid:marinespecies.org:taxname:239711	seticauda	SPECIES		Mont K	Pacific Ocean	962e9c5b-2107-42b5-9676-6b44247be3e3	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus seticauda	2	1065	1274	1302	1358	379601	379608	379788	134571	239711	239711	Ascorhynchus seticauda Stock, J.H., 1991	['NO_DEPTH']	740.0	265586	23.76	35.43	24	1993-11-24T01:00Z	11	1993	754099200000.0	754099200000.0	754099200000.0	1993.0									
Occurrence	48286	Pycnogonida	NewCaledonia		-11.4899997711182	159.949996948242	Ascorhynchidae			Ascorhynchus				IRD-MNHN	Animalia		Salomon 1, CP1742	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:48286:0x6F83170001000200	Pantopoda	Arthropoda			Ascorhynchus seticauda		urn:lsid:marinespecies.org:taxname:239711						d76b66ee-1f55-412c-bcb6-f96e618826b3	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus seticauda	2	1065	1274	1302	1358	379601	379608	379788	134571	239711	239711	Ascorhynchus seticauda	['DEPTH_EXCEEDS_BATH']	10.25	1211	28.96	34.4									Crosnier A (2003).	Salomon	https://marineinfo.org/id/dataset/3128	421.0	366.0	present	393.5	Biota	1.0
