basisOfRecord	catalogNumber	class	collectionCode	countryCode	decimalLatitude	decimalLongitude	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	individualCount	institutionCode	kingdom	license	locality	modified	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	waterBody	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	country	datasetID	maximumDepthInMeters	minimumDepthInMeters	occurrenceStatus	depth	superdomain	superdomainid	typeStatus
PreservedSpecimen	2007-4594	Pycnogonida	IU	NC	-20.310467	167.305237	Ascorhynchidae	BIOCAL/DS14	POINT  (167.305237 -20.310467)	Ascorhynchus	WGS84	Stock	2	MNHN	Animalia	CC_BY_4_0	N Lifou	2015-06-19T21:23Z	440013167	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4594	Ascorhynchus fragilis	Stock, 1991	urn:lsid:marinespecies.org:taxname:240149	fragilis	SPECIES	Pacific Ocean	000676b9-cfdd-4b53-8c3d-ffd9d145cf6e	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus fragilis	2	1065	1274	1302	1358	379601	379608	379788	134571	240149	240149	Ascorhynchus fragilis Stock, J.H., 1991	['NO_DEPTH']	3695	42211	26.01	35.01										
Occurrence	21573	Pycnogonida	NewCaledonia		-21.3999996185303	166.490005493164	Ascorhynchidae			Ascorhynchus				IRD-MNHN	Animalia		Biocal, DS98	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21573:0xC32E900001000500	Pantopoda	Arthropoda			Ascorhynchus fragilis		urn:lsid:marinespecies.org:taxname:240149				57a88b71-9889-4842-baf2-4e492b5da5a7	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus fragilis	2	1065	1274	1302	1358	379601	379608	379788	134571	240149	240149	Ascorhynchus fragilis	[]	2361	23584	25.72	35.04	Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	2470.0	2365.0	present	2417.5	Biota	1.0	
Occurrence	21572	Pycnogonida	NewCaledonia		-23.9300003051758	166.679992675781	Ascorhynchidae			Ascorhynchus				IRD-MNHN	Animalia		Biocal, DS59	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21572:0xD769170001000300	Pantopoda	Arthropoda			Ascorhynchus fragilis		urn:lsid:marinespecies.org:taxname:240149				5f062129-1623-44ce-87f6-5f322f49fb91	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus fragilis	2	1065	1274	1302	1358	379601	379608	379788	134571	240149	240149	Ascorhynchus fragilis	[]	2649	119375	24.06	35.43	Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	2650.0	2650.0	present	2650.0	Biota	1.0	
PreservedSpecimen	2007-4593	Pycnogonida	IU	NC	-20.310467	167.305237	Ascorhynchidae	BIOCAL/DS14	POINT  (167.305237 -20.310467)	Ascorhynchus	WGS84	Stock	1	MNHN	Animalia	CC_BY_4_0	N Lifou	2015-06-19T21:23Z	440004458	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4593	Ascorhynchus fragilis	Stock, 1991	urn:lsid:marinespecies.org:taxname:240149	fragilis	SPECIES	Pacific Ocean	6d492710-e359-4f56-b6be-8a478a9648e4	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus fragilis	2	1065	1274	1302	1358	379601	379608	379788	134571	240149	240149	Ascorhynchus fragilis Stock, J.H., 1991	['NO_DEPTH']	3695	42211	26.01	35.01										HOLOTYPE
PreservedSpecimen	2011-5715	Pycnogonida	IU	NC	-20.310467	167.305237	Ascorhynchidae	BIOCAL/DS14	POINT  (167.305237 -20.310467)	Ascorhynchus	WGS84	Stock	1	MNHN	Animalia	CC_BY_4_0	N Lifou	2015-06-19T21:23Z	442597255	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-5715	Ascorhynchus fragilis	Stock, 1991	urn:lsid:marinespecies.org:taxname:240149	fragilis	SPECIES	Pacific Ocean	9f6641c9-d60d-4037-80c6-59c42ee8ccce	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus fragilis	2	1065	1274	1302	1358	379601	379608	379788	134571	240149	240149	Ascorhynchus fragilis Stock, J.H., 1991	['NO_DEPTH']	3695	42211	26.01	35.01										PARATYPE
Occurrence	21571	Pycnogonida	NewCaledonia		-20.2999992370605	167.289993286133	Ascorhynchidae			Ascorhynchus				IRD-MNHN	Animalia		Biocal, DS14	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21571:0xAE90170001000500	Pantopoda	Arthropoda			Ascorhynchus fragilis		urn:lsid:marinespecies.org:taxname:240149				a63227f5-c7a3-449e-83de-3c01cf4ec089	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus fragilis	2	1065	1274	1302	1358	379601	379608	379788	134571	240149	240149	Ascorhynchus fragilis	[]	3691	43015	26.01	35.01	Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	3700.0	3680.0	present	3690.0	Biota	1.0	
