basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	country
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Heterofragilia hirsuta</i> Nakamura & Child, 1991. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239851	sm_id_1922	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	25	35.25	139.42	1969-12-25	Ascorhynchidae	Heterofragilia	WoRMS Editorial Board	Animalia	Pacific Ocean	495	454	2007-06-20 15:52:33	12	WoRMS Editorial Board:WoRMS type localities:sm_id_1922	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1922	Heterofragilia hirsuta	Nakamura & Child, 1991	urn:lsid:marinespecies.org:taxname:239851	hirsuta	holotype	1969	4788758e-ac8c-436e-a309-b75c6bcc52b2	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	474.5	-604800000.0	-604800000.0	-604800000.0	1969.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Heterofragilia hirsuta	1	2	1065	1274	1302	1358	379601	379608	379788	236270	239851	239851	Heterofragilia hirsuta	['DEPTH_EXCEEDS_BATH']	269	5759	19.94	33.17	
Occurrence	Bamber R.N (2004). Zootaxa 458: 1-12.	50689	Pycnogonida	NewCaledonia	https://marineinfo.org/id/dataset/3128		24.4400005340576	122.300003051758		Ascorhynchidae	Heterofragilia	IRD-MNHN	Animalia	Taiwan 2000, CP55	638	638	2013-06-11 14:46:43		urn:catalog:IRD-MNHN:NewCaledonia:50689:0x5A06900001000500	present	Pantopoda	Arthropoda		Heterofragilia hirsuta		urn:lsid:marinespecies.org:taxname:239851				4947c396-3097-463e-ad5b-a02103936c7d	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	638.0					False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Heterofragilia hirsuta	1	2	1065	1274	1302	1358	379601	379608	379788	236270	239851	239851	Heterofragilia hirsuta	[]	719	44149	26.74	34.07	Taiwan
