basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	family	fieldNumber	footprintWKT	genus	geodeticDatum	individualCount	institutionCode	kingdom	language	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	order	phylum	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	startDayOfYear	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	country	locationID	preparations	recordedBy	sex	bibliographicCitation	datasetID	countryCode	identifiedBy	identifiedByID	institutionID	organismQuantity	organismQuantityType	taxonRank	type	verbatimEventDate	superdomain	superdomainid	associatedReferences	dynamicProperties
HumanObservation	Stn 181 Ammothea calmani	Pycnogonida	Discovery Reports	1000	Discovery Expedition Biological Reports	12	-64.3333	-63.0167	1927-03-12	10	Ammotheidae	Stn 181	POINT (-63.0167 -64.3333)	Ammothea	WGS84	1	NIWA	Animalia	en	Scollaert Channel, Palmer Archipelago	335.0	160.0	2019-03-15	3	5494	Large dredge, heavy pattern, 1.2m in length	present	Pantopoda	Arthropoda	Large dredge, heavy pattern, 1.2m in length	Ammothea calmani	Gordon, 1932	urn:lsid:marinespecies.org:taxname:172904	calmani	71	Southern Ocean	1927	08588ac0-2d07-4985-bb1b-25bedf88e97c	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	247.5	-1350950400000.0	-1350950400000.0	-1350950400000.0	1927.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea calmani	2	1065	1274	1302	1358	379601	379608	1562	134569	172904	172904	Ammothea calmani	['DEPTH_EXCEEDS_BATH']	187	629	-0.42	33.56																					
HumanObservation	21862	Pycnogonida	SOMBASE Pycnogonids				-77.6999969482	-167.733306885			Ammotheidae			Ammothea			BAS	Animalia			552.0	547.0						Pantopoda	Arthropoda		Ammothea calmani		urn:lsid:marinespecies.org:taxname:172904					0b375dda-5b3a-4557-8b12-494f38325158	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	549.5					False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea calmani	2	1065	1274	1302	1358	379601	379608	1562	134569	172904	172904	Ammothea calmani	[]	551	79869	-1.61	33.93																					
PreservedSpecimen	9552	Pycnogonida	NIWA	500	NIWA Invertebrate Collection	16	-75.2833333	172.3333333	16/01/1959		Ammotheidae		POINT (172.3333333 -75.2833333)	Ammothea	WGS84		NIWA Invertebrate Collection	Animalia	en		535.0	520.0	8/04/2022	1	5cfd253e-fa36-11e2-96b3-aa6f927c92a3		present	Pantopoda	Arthropoda	Grab, Twin Hayward, Orange Peel	Ammothea calmani	Gordon, 1932	urn:lsid:marinespecies.org:taxname:172904	calmani			1959	0c692fe9-4663-4e0f-9635-05725feba7dc	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	527.5					False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea calmani	2	1065	1274	1302	1358	379601	379608	1562	134569	172904	172904	Ammothea calmani	[]	534	138083	-1.46	34.26	Antarctica	Ross Dependency	A459_Grab	Specimen(s), None = 1	NZOI	male															
HumanObservation	2	Pycnogonida	CAML - Neilsen				-71.70555556	172.18333			Ammotheidae			Ammothea			BAS	Animalia		Ross Sea		637.0	2010-01-21T00:00		urn:catalog:BAS:CAML - Neilsen:2	GenBankID: FJ969346		Pantopoda	Arthropoda		Ammothea calmani		urn:lsid:marinespecies.org:taxname:172904	calmani				264599be-b55c-4125-8851-eefad2edefb0	a332dcf7-d54f-475b-b6e4-43d1aa05fe9c	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	637.0					False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea calmani	2	1065	1274	1302	1358	379601	379608	1562	134569	172904	172904	Ammothea calmani	[]	934	38865	-1.63	34.15		Antarctica					Neilsen et al. 2009. Polar Biology 32(8): 1147-1155	IMIS:dasid:1967													
PreservedSpecimen	JR275_1230.1	Pycnogonida		153		29	-74.6746	-29.4295	2012-02-29	JR275	Ammotheidae	JR275_85	LINESTRING (-29.42462 -74.67411, -29.43436 -74.67504)	Ammothea	EPSG:4326		BAS	Animalia	en		604.49	586.74		2	JR275_1230.1		Present	Pantopoda	Arthropoda	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr275.pdf	Ammothea calmani	Gordon, 1932	urn:lsid:marinespecies.org:taxname:172904	calmani			2012	2806d431-a302-4b7e-a520-82780fb61dc4	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	595.615	1330473600000.0	1330473600000.0	1330473600000.0	2012.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea calmani	2	1065	1274	1302	1358	379601	379608	1562	134569	172904	172904	Ammothea calmani	[]	613	107357	-1.72	33.98				Whole animal in 96% ethanol					AQ	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	1	individuals	species	PhysicalObject	29/02/2012	Biota	1.0		
PreservedSpecimen	JR275_1530.1_03	Pycnogonida		74		4	-75.25	-29.0287	2012-03-04	JR275	Ammotheidae	JR275_103	LINESTRING (-29.02708 -75.24953, -29.0304 -75.25056)	Ammothea	EPSG:4326		BAS	Animalia	en		392.2	390.17		3	JR275_1530.1_03		Present	Pantopoda	Arthropoda	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr275.pdf	Ammothea calmani	Gordon, 1932	urn:lsid:marinespecies.org:taxname:172904	calmani			2012	2adb1be2-df4e-4a72-a918-f0b4cbec2a50	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	391.185	1330819200000.0	1330819200000.0	1330819200000.0	2012.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea calmani	2	1065	1274	1302	1358	379601	379608	1562	134569	172904	172904	Ammothea calmani	[]	398	51664	-1.68	33.98				Whole animal in 96% ethanol					AQ	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	1	individuals	species	PhysicalObject	4/3/2012	Biota	1.0		
HumanObservation	21396	Pycnogonida	SOMBASE Pycnogonids				-71.0516967773	-11.4250001907			Ammotheidae			Ammothea			BAS	Animalia			462.0	462.0						Pantopoda	Arthropoda		Ammothea calmani		urn:lsid:marinespecies.org:taxname:172904					3d40779c-cd31-4973-af2f-1b4a92e58ecf	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	462.0					False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea calmani	2	1065	1274	1302	1358	379601	379608	1562	134569	172904	172904	Ammothea calmani	[]	455	5901	-1.72	33.76																					
HumanObservation	21859	Pycnogonida	SOMBASE Pycnogonids				-62.6399993896	-59.6082992554			Ammotheidae			Ammothea			BAS	Animalia			1408.0	679.0						Pantopoda	Arthropoda		Ammothea calmani		urn:lsid:marinespecies.org:taxname:172904					3dd54baa-3ca2-4c2d-8773-534021a01173	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1043.5					False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea calmani	2	1065	1274	1302	1358	379601	379608	1562	134569	172904	172904	Ammothea calmani	['DEPTH_EXCEEDS_BATH']	970	9271	-0.52	33.98																					
PreservedSpecimen	122257.284800	Pycnogonida	Invertebrate Zoology: Crustacea			17	-75.6330032349	168.533004761	1959-01-17T12:00:00Z		Ammotheidae			Ammothea			USNM	Animalia			430.0	415.0		1				Pantopoda	Arthropoda		Ammothea calmani	Gordon	urn:lsid:marinespecies.org:taxname:172904			Antarctic Ocean	1959	400bcb18-6dff-4834-b401-01da8c69b342	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	422.5	-345772800000.0	-345772800000.0	-345772800000.0	1959.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea calmani	2	1065	1274	1302	1358	379601	379608	1562	134569	172904	172904	Ammothea calmani	[]	394	44041	-1.53	34.25		Antarctica		Alcohol (Ethanol)		female	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010			Fry, W. G., Hedgpeth, J. W.										National Museum of Natural History, Smithsonian Institution	observedindividualcount=1;
PreservedSpecimen	JR275_1496.3	Pycnogonida		79		4	-75.2465	-29.0172	2012-03-04	JR275	Ammotheidae	JR275_102	LINESTRING (-29.01541 -75.246, -29.01895 -75.24708)	Ammothea	EPSG:4326		BAS	Animalia	en		396.83	392.77		3	JR275_1496.3		Present	Pantopoda	Arthropoda	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr275.pdf	Ammothea calmani	Gordon, 1932	urn:lsid:marinespecies.org:taxname:172904	calmani			2012	4a9b256f-38d8-4a9c-a651-2e578d68a5be	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	394.79999999999995	1330819200000.0	1330819200000.0	1330819200000.0	2012.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea calmani	2	1065	1274	1302	1358	379601	379608	1562	134569	172904	172904	Ammothea calmani	[]	397	51682	-1.69	33.98				Whole animal in 96% ethanol					AQ	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	1	individuals	species	PhysicalObject	4/3/2012	Biota	1.0		
