associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	subgenus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	subgenusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	datasetID	datasetName	dateIdentified	fieldNumber	lifeStage	locationID	modified	occurrenceID	occurrenceStatus	otherCatalogNumbers	specificEpithet	typeStatus	superdomain	superdomainid	maximumDepthInMeters	minimumDepthInMeters	depth
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	127675.91831	Invertebrate Zoology: Crustacea	Yugoslavia	20	45.1329994202	14.8830003738	observedindividualcount=1;	1965-12-20T12:00:00Z	Child, C. Allan	1.0	USNM	Between Krk And Mainland	12	Alcohol (Ethanol)	Pycnogonum (Retroviger) pusillum	Dohrn	urn:lsid:marinespecies.org:taxname:134747	male	North Atlantic Ocean	1965	64ecf0e7-ecd8-4377-a597-9aa175a3d092	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-127267200000.0	-127267200000.0	-127267200000.0	1965.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum (Retroviger)	Pycnogonum (Retroviger) pusillum	2	1065	1274	1302	1358	379601	379611	1567	134595	239388	240137	240137	Pycnogonum pusillum	['NO_DEPTH', 'ON_LAND']	-545	-3423	17.03	36.87																		
	PreservedSpecimen		INV.101499	urn:catalog:RBINS:Pycnogonida	Angola		-13.416667	12.541666		1949-01	Stock Jan Hendrik		RBINS-Scientific Heritage	Baía de Santa Maria	1	container type: vial; preservation method: alcohol	Pycnogonum (Retroviger) pusillum	Dohrn, 1881	urn:lsid:marinespecies.org:taxname:134747	undefined		1949	6c157870-53f2-4fd4-987e-0a1cc603079d	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-662688000000.0	-661392000000.0	-660096000000.0	1949.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum (Retroviger)	Pycnogonum (Retroviger) pusillum	2	1065	1274	1302	1358	379601	379611	1567	134595	239388	240137	240137	Pycnogonum pusillum Dohrn, 1881	['NO_DEPTH']	-22	103	23.55	35.61	1000.0	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	1951-01	16808/st113	undefined	http://www.geonames.org/3346196	2020-05-05 12:37:31	http://collections.naturalsciences.be/specimen/621098	present	urn:catalog:RBINS:IG:16808	pusillum	specimen	Biota	1.0			
	HumanObservation		37255	SOMBASE Pycnogonids			-35.4500007629	23.4899997711					BAS				Pycnogonum (Retroviger) pusillum		urn:lsid:marinespecies.org:taxname:134747				79afd9f7-2370-40f4-a368-57aec7c2a177	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum (Retroviger)	Pycnogonum (Retroviger) pusillum	2	1065	1274	1302	1358	379601	379611	1567	134595	239388	240137	240137	Pycnogonum pussillum	['NO_DEPTH']	1798	149036	21.47	35.43																		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	127674.91830	Invertebrate Zoology: Crustacea	Yugoslavia	19	45.1899986267	14.7600002289	observedindividualcount=1;	1965-12-19T12:00:00Z	Child, C. Allan	1.0	USNM	Between Krk And Mainland	12	Alcohol (Ethanol)	Pycnogonum (Retroviger) pusillum	Dohrn	urn:lsid:marinespecies.org:taxname:134747	female	North Atlantic Ocean	1965	b56ce0f0-35f6-4adf-bb71-e1f7bc375ea8	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-127353600000.0	-127353600000.0	-127353600000.0	1965.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum (Retroviger)	Pycnogonum (Retroviger) pusillum	2	1065	1274	1302	1358	379601	379611	1567	134595	239388	240137	240137	Pycnogonum pusillum	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-694	-4775																		10.0	10.0	10.0
