associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	county	datasetID	dateIdentified	geodeticDatum	georeferenceProtocol	maximumElevationInMeters	minimumElevationInMeters	occurrenceID	occurrenceRemarks	occurrenceStatus	ownerInstitutionCode	specificEpithet	stateProvince	verbatimCoordinateSystem	verbatimSRS	accessRights	coordinateUncertaintyInMeters	datasetName	disposition	endDayOfYear	footprintWKT	island	language	license	modified	originalNameUsage	rightsHolder	startDayOfYear	type	verbatimCoordinates	verbatimDepth	verbatimEventDate	verbatimLatitude	verbatimLocality	verbatimLongitude
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	195385.150651	Invertebrate Zoology: Crustacea	Palau	19	7.40832996368	134.354995728	observedindividualcount=4;	1955-07-19T12:00:00Z	Child, C. Allan	4.0	USNM	;; juvenile	Inner Margin, Barrier Reef, 8 Mile NW Of Koror	2.0	1.0	7	Alcohol (Ethanol)	George Vanderbilt Foundation, Stanford University	Tanystylum rehderi	Child	urn:lsid:marinespecies.org:taxname:239633	male; female;;	North Pacific Ocean	1955	44d785c2-9f47-494a-b2b9-a1579c84634f	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1.5	-456192000000	-456192000000	-456192000000	1955	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum rehderi	2	1065	1274	1302	1358	379601	379608	1562	134577	239633	239633	Tanystylum rehderi	[]	7	9410	29.2	33.8																																			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234362.186109	Invertebrate Zoology: Crustacea	Seychelles	3	-9.41699981689	46.516998291	observedindividualcount=1;	1983-04-03T12:00:00Z	Bowman, Thomas E.	1.0	USNM		Aldabra Atoll, Cinq Cases, Grand Terre, 450 Ms Offshore	6.0	6.0	4	Alcohol (Ethanol)	B. Kensley	Tanystylum rehderi	Child	urn:lsid:marinespecies.org:taxname:239633	male	Indian Ocean	1983	d215c090-97a5-468c-8c9d-dbfa6ea2fbdc	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	6.0	418176000000	418176000000	418176000000	1983	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum rehderi	2	1065	1274	1302	1358	379601	379608	1562	134577	239633	239633	Tanystylum rehderi	['ON_LAND']	-3	-635	27.1	35.07																																			
	HumanObservation		162453	Non-Freshwater Specimens	US		21.462778	-157.81027		2000-01	USGS		USGS		Kane'ohe Bay, Oahu						Tanystylum rehderi		239633				dd5a5539-144a-48a2-bc5e-e34115478551	16434578-ebf7-4bcc-a776-508ffece76de	['b7c47783-a020-4173-b390-7b57c4fa1426']		946684800000	947980800000	949276800000	2000	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum rehderi	2	1065	1274	1302	1358	379601	379608	1562	134577	239633	239633	Tanystylum rehderi	['NO_DEPTH']	6	75	25.31	35.09	Honolulu	USGS_NAS_Marine_NonFish	2000-01	EPSG:4326 WGS 84	Google Maps	0	0	1121544315	yr_accuracy: Actual | lat_long_accuracy: Approximate	P	USGS	rehderi	HI	decimal degrees	NAD 83																				
	PreservedSpecimen		12925	S	Hawaiian Islands	26	21.4667	-157.833		2000-01-26	C. A. Child	1	BPBM		Kaneohe Bay, Moku Manu Island	18.0	2.0	1	1 alcoholic		Tanystylum rehderi	Child, 1970	urn:lsid:marinespecies.org:taxname:239633		Pacific Ocean	2000	e0ee5874-7f93-476e-9ce9-c3a72e8858fc	10b213e6-a9c4-459e-a40c-ef9edc461b97	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	10.0	948844800000	948844800000	948844800000	2000	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum rehderi	2	1065	1274	1302	1358	379601	379608	1562	134577	239633	239633	Tanystylum rehderi	[]	6	458	25.31	35.09				WGS84				bd63afbb-92f1-4fca-9c92-3cccfbe2fa4a		present	BPBM	rehderi				http://www.vertnet.org/resources/norms.html	100	Bishop Museum Marine Invertebrates Specimens	in collection	26	POINT (-157.83300 21.46670)	Oahu	en	http://creativecommons.org/publicdomain/zero/1.0	23/08/2006 0:00:00	Tanystylum rehderi	Bernice Pauahi Bishop Museum	26	PhysicalObject	"(21° 28' 0"" N, 157° 50' 0"" W)"	1.50-18.00	2000-01-26	"21°28'0""N"	"Pacific Ocean; North Subtropical Oceania; Hawaiian Islands; Oahu; Kaneohe Bay, Moku Manu Island (21° 28' 0"" N, 157° 50' 0"" W)"	"157°50'0""W"
