basisOfRecord	catalogNumber	class	collectionCode	continent	coordinateUncertaintyInMeters	country	datasetName	day	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	geodeticDatum	institutionCode	kingdom	language	locality	locationID	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	preparations	recordedBy	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	year	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	dynamicProperties	eventID	fieldNumber	individualCount	occurrenceRemarks	startDayOfYear	waterBody	date_start	date_mid	date_end	date_year
PreservedSpecimen	9534	Pycnogonida	NIWA	Antarctica	500	Ross Dependency	NIWA Invertebrate Collection	20	-72.2853	170.2187	20/01/1965	Nymphonidae	POINT (170.2187 -72.2853)	Nymphon	WGS84	NIWA Invertebrate Collection	Animalia	en	Cape Hallett	E186	59	59	8/04/2022	1	5fd5cedc-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), None = 1	NZOI	Trawl, Agassiz small	Nymphon mendosum	(Hodgson, 1907)	urn:lsid:marinespecies.org:taxname:173452	juvenile	mendosum	1965	01dfcbc3-c352-4ea0-97d7-31982e573b01	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	59.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon mendosum	2	1065	1274	1302	1358	379601	379609	1566	134591	173452	173452	Nymphon mendosum	[]	261	3448	-1.72	33.53												
PreservedSpecimen	9205	Pycnogonida	NIWA	Antarctica	500	Ross Dependency	NIWA Invertebrate Collection	8	-74.055	179.35	8/02/1960	Nymphonidae	LINESTRING (179.35 -74.055, 179.3166667 -74.0833333)	Nymphon	WGS84	NIWA Invertebrate Collection	Animalia	en	Ross Sea	A530	267	263	8/04/2022	2	5f9570e4-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), None = 1	NZOI	Dredge, Devonport	Nymphon mendosum	(Hodgson, 1907)	urn:lsid:marinespecies.org:taxname:173452	female	mendosum	1960	02f49905-b30c-49ff-ab17-47cac4266a75	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	265.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon mendosum	2	1065	1274	1302	1358	379601	379609	1566	134591	173452	173452	Nymphon mendosum	[]	265	296187	-1.57	34.11												
HumanObservation	36724	Pycnogonida	SOMBASE Pycnogonids						-62.0499992371	-56.75		Nymphonidae		Nymphon		BAS	Animalia				750	750					Pantopoda	Arthropoda				Nymphon mendosum		urn:lsid:marinespecies.org:taxname:173452				043f7c81-27a7-470e-bbd9-54b8e7f3069e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	750.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon mendosum	2	1065	1274	1302	1358	379601	379609	1566	134591	173452	173452	Nymphon mendosum	[]	778	606	-0.6	34.0												
HumanObservation	34350	Pycnogonida	SOMBASE Pycnogonids						-60.75	-44.6500015259		Nymphonidae		Nymphon		BAS	Animalia				25	25					Pantopoda	Arthropoda				Nymphon mendosum		urn:lsid:marinespecies.org:taxname:173452				07df8424-3936-4220-a1bd-f267a15ace30	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	25.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon mendosum	2	1065	1274	1302	1358	379601	379609	1566	134591	173452	173452	Nymphon mendosum	[]	8	43	-0.99	33.79												
HumanObservation	39380	Pycnogonida	SOMBASE Pycnogonids						-71.5333023071	-13.7166004181		Nymphonidae		Nymphon		BAS	Animalia				362	354					Pantopoda	Arthropoda				Nymphon mendosum		urn:lsid:marinespecies.org:taxname:173452				0c65ead3-4d38-4d72-b01e-f23c78a0b451	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	358.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon mendosum	2	1065	1274	1302	1358	379601	379609	1566	134591	173452	173452	Nymphon mendosum	[]	344	46474	-1.76	33.84												
HumanObservation	37436	Pycnogonida	SOMBASE Pycnogonids						-67.6832962036	45.75		Nymphonidae		Nymphon		BAS	Animalia				240	159					Pantopoda	Arthropoda				Nymphon mendosum		urn:lsid:marinespecies.org:taxname:173452				0f6442f7-aacb-4f11-9ed8-a4d2e0f9ea4f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	199.5	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon mendosum	2	1065	1274	1302	1358	379601	379609	1566	134591	173452	173452	Nymphon mendosum	['DEPTH_EXCEEDS_BATH']	24	1190	-1.77	33.61												
PreservedSpecimen	9536	Pycnogonida	NIWA	Antarctica	500	Ross Dependency	NIWA Invertebrate Collection	8	-74.055	179.35	8/02/1960	Nymphonidae	LINESTRING (179.35 -74.055, 179.3166667 -74.0833333)	Nymphon	WGS84	NIWA Invertebrate Collection	Animalia	en	Ross Sea	A530	267	263	8/04/2022	2	5cea57e2-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), None = 1	NZOI	Dredge, Devonport	Nymphon mendosum	(Hodgson, 1907)	urn:lsid:marinespecies.org:taxname:173452	female	mendosum	1960	10b0b1f0-8b80-4a67-8250-d8c827f5f829	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	265.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon mendosum	2	1065	1274	1302	1358	379601	379609	1566	134591	173452	173452	Nymphon mendosum	[]	265	296187	-1.57	34.11												
HumanObservation	TN Stn. 355 Nymphon mendosum	Pycnogonida	MBIS Terra Nova Expedition		500		British Antarctic (Terra Nova) Expedition Zoology	20	-77.7667	166.1333	1913-01-20	Nymphonidae	POINT (166.1333 -77.7667)	Nymphon	WGS84	TN	Animalia	en	Ross Sea		547	547	2014-08-10	1	urn:NIWA:TerraNovaExp:949	present	Pantopoda	Arthropoda			GearType=Agassiz trawl	Nymphon mendosum	(Hodgson, 1907)	urn:lsid:marinespecies.org:taxname:173452		mendosum	1913	12e9587f-62c8-478b-93ab-536a146833e7	159421b6-a764-4af1-9cc3-bc652dbeb12e	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	547.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon mendosum	2	1065	1274	1302	1358	379601	379609	1566	134591	173452	173452	Nymphon mendosum	[]	482	8190	-1.69	34.3	Nymphon mendosum (MBIS Terra Nova Expedition urn:NIWA:TerraNovaExp:949)	SurfaceTemperatureInC=0.3	355	Stn. 355	1	SurfaceTemperatureInC=0.3. GearType=Agassiz trawl	20	Southern Ocean	-1797120000000.0	-1797120000000.0	-1797120000000.0	1913.0
HumanObservation	21482	Pycnogonida	SOMBASE Pycnogonids						-71.456703186	-13.7216997147		Nymphonidae		Nymphon		BAS	Animalia				212	212					Pantopoda	Arthropoda				Nymphon mendosum		urn:lsid:marinespecies.org:taxname:173452				1542ccbd-833d-4fb3-b3bd-85e4bd3b5a08	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	212.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon mendosum	2	1065	1274	1302	1358	379601	379609	1566	134591	173452	173452	Nymphon mendosum	[]	217	47439	-1.75	33.85												
HumanObservation	39383	Pycnogonida	SOMBASE Pycnogonids						-70.4832992554	-8.25		Nymphonidae		Nymphon		BAS	Animalia				286	283					Pantopoda	Arthropoda				Nymphon mendosum		urn:lsid:marinespecies.org:taxname:173452				186e33ae-501f-4b19-a036-2a851488dc76	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	284.5	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon mendosum	2	1065	1274	1302	1358	379601	379609	1566	134591	173452	173452	Nymphon mendosum	[]	285	2323	-1.71	33.71												
