basisOfRecord	catalogNumber	collectionCode	continent	datasetID	decimalLatitude	decimalLongitude	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	recordedBy	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	country	datasetName	day	eventDate	footprintWKT	geodeticDatum	language	locationID	month	preparations	samplingProtocol	scientificNameAuthorship	sex	specificEpithet	year	bibliographicCitation	references	typeStatus	date_start	date_mid	date_end	date_year	associatedReferences	dynamicProperties	fieldNumber	identifiedBy	waterBody
Occurrence	689	C	Mid-Atlantic Ridge	https://marineinfo.org/id/dataset/212	23.3682994842529	-44.9500007629395	1.0	PENN	Snake Pit	3500.0	3500	2005-03-12 18:56:00	urn:catalog:PENN:C:689:0x85F58F0001000000	present	Chuck Fisher Cindy Van Dover	Sericosura mitrata	urn:lsid:marinespecies.org:taxname:172986	438c8d6e-67cc-4020-9b08-3cb74174f242	471a8de8-80f8-43f9-9443-88a45712feba	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	3500.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura mitrata	1.0	2	1065	1274	1302	1358	379601	379608	1562	134576	172986	172986	Sericosura mitrata	[]	3523	1849877	25.64	37.23																												
PreservedSpecimen	9540	NIWA	Antarctica		-71.3	170.0		NIWA Invertebrate Collection		106.0	106	8/04/2022	5ec0dab4-fa36-11e2-96b3-aa6f927c92a3	present	NZOI	Sericosura mitrata	urn:lsid:marinespecies.org:taxname:172986	479fc468-5d91-415f-8e15-1d7acf2b6bce	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	106.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura mitrata		2	1065	1274	1302	1358	379601	379608	1562	134576	172986	172986	Sericosura mitrata	[]	169	7389	-1.68	33.99	500	Ross Dependency	NIWA Invertebrate Collection	26	26/01/1965	POINT (170 -71.3)	WGS84	en	E194	1	Specimen(s), None = 1	Trawl, Blake	(Gordon, 1944)	female	mitrata	1965												
Occurrence	688	C	Gorda	https://marineinfo.org/id/dataset/212	42.375	-126.703300476074	1.0	PENN	G14-Gorda Ridge	2751.0	2643	2005-03-12 18:56:00	urn:catalog:PENN:C:688:0x16F58F0001000400	present	Chuck Fisher Cindy Van Dover	Sericosura mitrata	urn:lsid:marinespecies.org:taxname:172986	5c1f6386-7138-4e15-a4cf-f5034aaedba4	471a8de8-80f8-43f9-9443-88a45712feba	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2697.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura mitrata	1.0	2	1065	1274	1302	1358	379601	379608	1562	134576	172986	172986	Sericosura mitrata	[]	2703	182242	12.98	32.14																												
PreservedSpecimen	sm_id_1410	WoRMS type localities		https://marineinfo.org/id/dataset/5184	-66.75	62.05		WoRMS Editorial Board	Southern Ocean		219	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1410	present		Sericosura mitrata	urn:lsid:marinespecies.org:taxname:172986	7b527337-e845-48b2-bb88-e7b8743bae8a	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	219.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura mitrata	1.0	2	1065	1274	1302	1358	379601	379608	1562	134576	172986	172986	Sericosura mitrata	[]	252	46308	-1.62	34.08				16	1931-02-16					2			(Gordon, 1944)		mitrata	1931	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Sericosura mitrata</i> (Gordon, 1944). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=172986	http://www.marinespecies.org/aphia.php?p=specdetails&id=1410	holotype	-1226793600000.0	-1226793600000.0	-1226793600000.0	1931.0					
Occurrence	3749	C	Mid-Atlantic Ridge	https://marineinfo.org/id/dataset/212	23.3682994842529	-44.9500007629395		PENN	Snake Pit	3500.0	3500	1970-01-01 01:00:00	urn:catalog:PENN:C:3749:0x1194170001000600	present	Chuck Fisher	Sericosura mitrata	urn:lsid:marinespecies.org:taxname:172986	9baf43bb-a759-4d05-88b8-fe40e2d24b91	471a8de8-80f8-43f9-9443-88a45712feba	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	3500.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura mitrata	1.0	2	1065	1274	1302	1358	379601	379608	1562	134576	172986	172986	Sericosura mitrata	[]	3523	1849877	25.64	37.23																												
HumanObservation	22163	SOMBASE Pycnogonids			-71.3000030518	170.0		BAS		106.0	106					Sericosura mitrata	urn:lsid:marinespecies.org:taxname:172986	a5f90fc9-b571-4527-8586-3b4465ec3780	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	106.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura mitrata		2	1065	1274	1302	1358	379601	379608	1562	134576	172986	172986	Sericosura mitrata	[]	169	7389	-1.68	33.99																												
PreservedSpecimen	1122985.943047	Invertebrate Zoology			-66.8830032349	163.317001343	1.0	USNM		146.0	55				Scripps Institution of Oceanography	Sericosura mitrata	urn:lsid:marinespecies.org:taxname:172986	eefa0a28-7e91-43e4-b49a-86328c403908	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	100.5	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura mitrata		2	1065	1274	1302	1358	379601	379608	1562	134576	172986	172986	Sericosura mitrata	[]	102	682	-1.66	33.9		Antarctica		10	1974-02-10T12:00:00Z					2	Alcohol (Ethanol)		(Gordon)			1974	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010			129686400000.0	129686400000.0	129686400000.0	1974.0	National Museum of Natural History, Smithsonian Institution	observedindividualcount=1;	SC/--/NONE/SCRIPPS	Child, C. Allan	Antarctic Ocean
PreservedSpecimen	180399.136349	Invertebrate Zoology: Crustacea			-23.033000946	12.3170003891	2.0	USNM	Walvis Ridge, Off Swafric	2154.0	2117					Sericosura mitrata	urn:lsid:marinespecies.org:taxname:172986	f52b6005-3f39-4671-9fd2-2f859acc9e47	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2135.5	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura mitrata		2	1065	1274	1302	1358	379601	379608	1562	134576	172986	172986	Sericosura mitrata	[]	2068	213445	17.67	35.26				17	1968-05-17T12:00:00Z					5	Alcohol (Ethanol)		(Gordon)	male		1968	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010			-51321600000.0	-51321600000.0	-51321600000.0	1968.0	National Museum of Natural History, Smithsonian Institution	observedindividualcount=2;		Child, C. Allan	South Atlantic Ocean
