associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	county	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters	minimumDepthInMeters	typeStatus	depth	lifeStage	collectionID	continent	dateIdentified	eventRemarks	fieldNumber	higherClassification	higherGeography	institutionID	language	license	locationID	nomenclaturalCode	occurrenceID	occurrenceRemarks	specificEpithet	startDayOfYear	taxonRank	type	verbatimEventDate	verbatimLatitude	verbatimLongitude	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80764.273524	Invertebrate Zoology: Crustacea	United States	Marin County	20	38.25	-122.949996948	observedindividualcount=1;	1934-12-20T12:00:00Z	Hilton, W. A.	1.0	USNM	Dillon Beach	12	Alcohol (Ethanol)	O. Hartmann	Callipallene californiensis	(Hall)	urn:lsid:marinespecies.org:taxname:239456	male	California	North Pacific Ocean	1934	96999b49-2f73-4bac-afb2-47d8c43f9475	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-1105574400000.0	-1105574400000.0	-1105574400000.0	1934.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene californiensis	2	1065	1274	1302	1358	379601	379609	1564	134581	239456	239456	Callipallene californiensis	['NO_DEPTH', 'ON_LAND']	-114	-1626	11.55	32.79																												
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	169425.126300	Invertebrate Zoology: Crustacea	Mexico			28.2000007629	-115.25	observedindividualcount=1;		Child, C. Allan	1.0	USNM	Cedros Island, South Bay, Off Puerto Penasco		Alcohol (Ethanol)		Callipallene californiensis	Child	urn:lsid:marinespecies.org:taxname:268014	female	Baja California	North Pacific Ocean		d2f6ead9-2b7f-494e-b266-0f17b01c2f5e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene californiensis	2	1065	1274	1302	1358	379601	379609	1564	134581	239456	239456	Callipallene solicitatus	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-49	-703			20.0	20.0	Type	20.0																								
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	169423.126298	Invertebrate Zoology: Crustacea	Mexico		10	28.2000007629	-115.25	observedindividualcount=5;	1934-03-10T12:00:00Z	Child, C. Allan	5.0	USNM	Cedros Island, South Bay	3	Alcohol (Ethanol)		Callipallene californiensis	Child	urn:lsid:marinespecies.org:taxname:268014	female;;	Baja California	North Pacific Ocean	1934	f9fee665-176a-47d3-a533-63a570e1fed2	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-1130198400000.0	-1130198400000.0	-1130198400000.0	1934.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene californiensis	2	1065	1274	1302	1358	379601	379609	1564	134581	239456	239456	Callipallene solicitatus	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-49	-703			27.0	18.0	Paratype	22.5	ovigerous; juvenile																							
	PreservedSpecimen		10254	IZ	Mexico		25	28.7166666667	-112.3333333333		1966-04-25	C.A. Child		CAS	S of Isla Tiburon, NE side of Isla Turner. low intertidal	4	Fluid-75% EtOH(0)	Dustin Chivers	Callipallene californiensis	(Hall, 1913)			Sonora		1966	fd2c3f51-33db-4d91-be13-1a9f786a62ea	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	-116380800000.0	-116380800000.0	-116380800000.0	1966.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene californiensis	2	1065	1274	1302	1358	379601	379609	1564	134581	239456	239456	Callipallene californiensis	['NO_DEPTH']	169	3440	23.15	34.88						https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	1979-11	"approx. 7 am. Low tide. IZ labels say ""Low intertidal"", but SLF does not."	003792	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Nymphonoidea, Callipallenidae	North America, North Pacific Ocean, Mexico, Gulf of California	http://grscicoll.org/institution/california-academy-sciences	en	https://creativecommons.org/publicdomain/zero/1.0/	0576b8a2-2598-11ed-aace-005056be1b7a	ICZN	urn:catalog:CAS:IZ:10254	"ovigerous female; see also CASIZ 019640. identified as ""Callipallene solicitatus"" which is a junior synonym of ""C. californiensis"".; specimen lost while on loan, deacc. 2006/2/14."	californiensis	115	species	Physical Object	25 Apr 1966	28° 43' N	112° 20' W	Biota	1.0
