basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	day	dynamicProperties	eventDate	identifiedBy	individualCount	locality	month	preparations	recordedBy	scientificNameAuthorship	sex	stateProvince	typeStatus	waterBody	year	date_start	date_mid	date_end	date_year
HumanObservation	23008	SOMBASE Pycnogonids	-54.998298645	-64.8332977295	BAS	548.0	438.0	Nymphon forticulum	urn:lsid:marinespecies.org:taxname:240077	07178384-3302-47fe-ab63-cf9493b83754	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	493.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon forticulum	2	1065	1274	1302	1358	379601	379609	1566	134591	240077	240077	Nymphon forticulum	['DEPTH_EXCEEDS_BATH']	340	12324	6.67	33.95																						
PreservedSpecimen	234682.186407	Invertebrate Zoology: Crustacea	-54.999168396	-64.8125	USNM			Nymphon forticulum	urn:lsid:marinespecies.org:taxname:240077	2d889bc2-0405-4513-b457-48b69f4daeec	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon forticulum	2	1065	1274	1302	1358	379601	379609	1566	134591	240077	240077	Nymphon forticulum	['NO_DEPTH']	373	11554	6.67	33.95	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Argentina	3	observedindividualcount=1;	1971-11-03T12:00:00Z	Child, C. Allan	1.0	Staten Island	11	Alcohol (Ethanol)	Smithsonian Oceanographic Sorting Center	Child	male	Tierra del Fuego	Holotype	South Atlantic Ocean	1971	57974400000.0	57974400000.0	57974400000.0	1971.0
