basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	day	eventDate	locality	modified	month	occurrenceID	occurrenceStatus	references	scientificNameAuthorship	specificEpithet	typeStatus	year	date_start	date_mid	date_end	date_year	superdomain	superdomainid
HumanObservation	22295	SOMBASE Pycnogonids	-53.5950012207	-36.8465995789	BAS	265	220	Austrodecus glabrum	urn:lsid:marinespecies.org:taxname:173017	0ab8ce67-6b85-4272-8bb1-0bbc16fc9e88	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	242.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus glabrum	2	1065	1274	1302	1358	379600	22616	134579	173017	173017	Austrodecus glabrum	[]	487	52058	1.79	33.78																				
PreservedSpecimen	sm_id_830	WoRMS type localities	-54.25	-36.75	WoRMS Editorial Board	110	190	Austrodecus glabrum	urn:lsid:marinespecies.org:taxname:173017	115ded06-7b55-4c8c-ab4f-29264d6b1fea	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	150.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus glabrum	2	1065	1274	1302	1358	379600	22616	134579	173017	173017	Austrodecus glabrum	['MIN_DEPTH_EXCEEDS_MAX', 'DEPTH_EXCEEDS_BATH', 'ON_LAND']	-263	-2887	1.82	33.76	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Austrodecus glabrum</i> Stock, 1957. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=173017	https://marineinfo.org/id/dataset/5184	17	1925-02-17	Atlantic Ocean	2007-06-20 15:52:33	2	WoRMS Editorial Board:WoRMS type localities:sm_id_830	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=830	Stock, 1957	glabrum	holotype	1925	-1416009600000.0	-1416009600000.0	-1416009600000.0	1925.0	Biota	1.0
HumanObservation	22319	SOMBASE Pycnogonids	-53.9500007629	-38.25	BAS	100	90	Austrodecus glabrum	urn:lsid:marinespecies.org:taxname:173017	1ced9dc3-4fbf-4111-94b7-6e7d5a3e1599	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	95.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus glabrum	2	1065	1274	1302	1358	379600	22616	134579	173017	173017	Austrodecus glabrum	[]	102	5302	1.73	33.74																				
HumanObservation	22314	SOMBASE Pycnogonids	-54.1966018677	-37.6850013733	BAS	80	68	Austrodecus glabrum	urn:lsid:marinespecies.org:taxname:173017	2f8e093c-c15c-4c4f-a522-dff19fd17b6e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	74.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus glabrum	2	1065	1274	1302	1358	379600	22616	134579	173017	173017	Austrodecus glabrum	[]	84	2002	1.75	33.74																				
HumanObservation	22311	SOMBASE Pycnogonids	-55.1216011047	-35.7865982056	BAS	132	130	Austrodecus glabrum	urn:lsid:marinespecies.org:taxname:173017	3691eda4-4359-4690-9e29-0b9f42fdc80a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	131.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus glabrum	2	1065	1274	1302	1358	379600	22616	134579	173017	173017	Austrodecus glabrum	[]	120	29316	1.57	33.77																				
HumanObservation	22316	SOMBASE Pycnogonids	-54.2350006104	-37.903301239	BAS	183	164	Austrodecus glabrum	urn:lsid:marinespecies.org:taxname:173017	39301a51-af9d-4334-9f56-f57a2527d761	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	173.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus glabrum	2	1065	1274	1302	1358	379600	22616	134579	173017	173017	Austrodecus glabrum	[]	144	13760	1.74	33.74																				
HumanObservation	37829	SOMBASE Pycnogonids	-54.6766014099	-35.5215988159	BAS	115	115	Austrodecus glabrum	urn:lsid:marinespecies.org:taxname:173017	402a6fea-5f4a-4e05-9d76-724f55dae9f2	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	115.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus glabrum	2	1065	1274	1302	1358	379600	22616	134579	173017	173017	Austrodecus glabrum	[]	116	19810	1.66	33.76																				
HumanObservation	22317	SOMBASE Pycnogonids	-55.2666015625	-34.8499984741	BAS	253	194	Austrodecus glabrum	urn:lsid:marinespecies.org:taxname:173017	66ba9282-7f94-440c-b886-5e7621dc4bd4	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	223.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus glabrum	2	1065	1274	1302	1358	379600	22616	134579	173017	173017	Austrodecus glabrum	[]	286	29713	1.31	33.78																				
HumanObservation	22302	SOMBASE Pycnogonids	-53.6366004944	-38.0182991028	BAS	133	130	Austrodecus glabrum	urn:lsid:marinespecies.org:taxname:173017	6c7d420b-44c3-4a7e-bc37-fca40f69b02b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	131.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus glabrum	2	1065	1274	1302	1358	379600	22616	134579	173017	173017	Austrodecus glabrum	[]	143	40051	1.76	33.76																				
HumanObservation	22296	SOMBASE Pycnogonids	-53.8499984741	-37.6333007812	BAS	101	97	Austrodecus glabrum	urn:lsid:marinespecies.org:taxname:173017	6d809763-e7a7-4c43-81b6-f8692b96e8bb	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	99.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus glabrum	2	1065	1274	1302	1358	379600	22616	134579	173017	173017	Austrodecus glabrum	[]	181	15520	1.75	33.75																				
