associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	stateProvince	coordinateUncertaintyInMeters	datasetID	datasetName	eventID	eventTime	fieldNumber	footprintSRS	language	modified	occurrenceID	occurrenceStatus	recordedBy	samplingProtocol	specificEpithet	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80603.273474	Invertebrate Zoology: Crustacea	Japan	12	31.5170001984	129.425003052	observedindividualcount=1;	1906-08-12T12:00:00Z	Hedgpeth, J. W.	1.0	USNM	East China Sea, SW Of Koshiki Island	781	781	8	Alcohol (Ethanol)	Colossendeis minuta	Hoek	urn:lsid:marinespecies.org:taxname:239502	North Pacific Ocean	1906	117c9533-31fd-4f0c-a847-598a6646d59d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	781.0	-2000419200000.0	-2000419200000.0	-2000419200000.0	1906.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis minuta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134668	134668	Colossendeis japonica	[]	777	26030	22.62	34.09																	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	12249.87523	Invertebrate Zoology: Crustacea	United States	26	37.5499992371	-74.0329971313	observedindividualcount=1;	1886-10-26T12:00:00Z	Giltay, L.	1.0	USNM	Off Cape Charles	1483	1483	10	Alcohol (Ethanol)	Colossendeis minuta	Hoek	urn:lsid:marinespecies.org:taxname:134668	North Atlantic Ocean	1886	1483fae5-e524-44ed-a534-bb762074bcd4	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1483.0	-2625004800000.0	-2625004800000.0	-2625004800000.0	1886.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis minuta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134668	134668	Colossendeis minuta	[]	1309	118528	18.01	35.08	Virginia																
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80549.273423	Invertebrate Zoology: Crustacea	Japan	12	31.6611099243	129.332992554	observedindividualcount=3;	1906-08-12T12:00:00Z	Hedgpeth, J. W.	3.0	USNM	East China Sea, SW Of Koshiki Island	715	715	8	Alcohol (Ethanol)	Colossendeis minuta	Hoek	urn:lsid:marinespecies.org:taxname:239502	North Pacific Ocean	1906	2f71a3d5-653f-4c16-91e8-79c66949d728	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	715.0	-2000419200000.0	-2000419200000.0	-2000419200000.0	1906.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis minuta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134668	134668	Colossendeis japonica	[]	672	30702	22.62	34.1																	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	79965.272871	Invertebrate Zoology: Crustacea	United States	26	37.3829994202	-73.8830032349	observedindividualcount=1;	1886-10-26T12:00:00Z	Hedgpeth, J. W.	1.0	USNM	Off Coast	1538	1538	10	Alcohol (Ethanol)	Colossendeis minuta	Hoek	urn:lsid:marinespecies.org:taxname:134668	North Atlantic Ocean	1886	311dfddb-be90-4d41-9f5b-02ce07ae40ba	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1538.0	-2625004800000.0	-2625004800000.0	-2625004800000.0	1886.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis minuta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134668	134668	Colossendeis minuta	[]	1905	139389	18.79	35.35	Virginia																
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	154659.118074	Invertebrate Zoology: Crustacea	United States	31	38.7625007629	-72.6791687012	observedindividualcount=1;	1975-07-31T12:00:00Z	Child, C. Allan	1.0	USNM	Off Maryland	1950	1850	7	Alcohol (Ethanol)	Colossendeis minuta	Hoek	urn:lsid:marinespecies.org:taxname:134668	North Atlantic Ocean	1975	6d4d0ceb-8a66-4e3f-a787-ded3d8812541	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1900.0	175996800000.0	175996800000.0	175996800000.0	1975.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis minuta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134668	134668	Colossendeis minuta	[]	2011	160877	17.33	34.69																	
	HumanObservation		21940	bio_dba		1	-22.0	11.0		1971-06-01T00:00:00+00:00	STOCK Jan			Golfe de Guinee, bassin de l'Angola	2840	2840	6		Colossendeis minuta		urn:lsid:marinespecies.org:taxname:134668		1971	754a6dfc-4d41-45d7-9cbf-7a73323b9b60	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2840.0	44582400000.0	44582400000.0	44582400000.0	1971.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis minuta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134668	134668	Colossendeis minuta	[]	3188	279492	18.68	35.37		50.0	https://marineinfo.org/id/dataset/490	Bigood	Blake trawl_197161_CV/B/Y/W-7_NA	00:00:00+00:00	CV/B/Y/W-7	EPSG:4326	en	2022-01-18 09:29:51	Ifremer_bio_dba_21940	present	PAUTOT Guy	Blake trawl	minuta	Biota	1.0
	Occurrence	Stock JH (1994). Beaufortia 44(3): 17-78.	49188	NewCaledonia	Indonesie		-8.30000019073486	131.679992675781					IRD-MNHN	Karubar, CP53	1053	1026			Colossendeis minuta		urn:lsid:marinespecies.org:taxname:134668			78ba6242-e01a-41ad-b06f-3921e6cae81a	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1039.5					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis minuta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134668	134668	Colossendeis minuta	[]	1026	50599	28.21	34.04			https://marineinfo.org/id/dataset/3128							2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:49188:0x542B900001000100	present				Biota	1.0
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	154800.118195	Invertebrate Zoology: Crustacea		30	46.0533294678	-125.095001221	observedindividualcount=1;	1964-05-30T12:00:00Z	Child, C. Allan	1.0	USNM	Off Oregon, SW Of Columbia River Mouth	1463	1463	5	Alcohol (Ethanol)	Colossendeis minuta	Hoek	urn:lsid:marinespecies.org:taxname:239502	North Pacific Ocean	1964	7977c32a-bf65-4f9a-aa28-4ffab6b65475	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1463.0	-176428800000.0	-176428800000.0	-176428800000.0	1964.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis minuta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134668	134668	Colossendeis japonica	[]	1422	81244	12.4	30.56																	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	5406.261689	Invertebrate Zoology: Crustacea		21	39.7138900757	-71.0222167969	observedindividualcount=1;	1883-09-21T12:00:00Z	Wilson, E. B.	1.0	USNM	S Of Nantucket Island	1829	1829	9	Alcohol (Ethanol)	Colossendeis minuta	Hoek	urn:lsid:marinespecies.org:taxname:134668	North Atlantic Ocean	1883	803b87e4-7856-4249-8d5a-1323bdf6b518	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1829.0	-2722723200000.0	-2722723200000.0	-2722723200000.0	1883.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis minuta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134668	134668	Colossendeis minuta	[]	1905	165273	16.75	34.57																	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	79964.272870	Invertebrate Zoology: Crustacea	United States	25	36.5	-74.5500030518	observedindividualcount=1;	1886-10-25T12:00:00Z	Hedgpeth, J. W.	1.0	USNM	Off Coast	1571	1571	10	Alcohol (Ethanol)	Colossendeis minuta	Hoek	urn:lsid:marinespecies.org:taxname:134668	North Atlantic Ocean	1886	892a21b2-a446-46ea-82f9-0a2fcd5dccc7	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1571.0	-2625091200000.0	-2625091200000.0	-2625091200000.0	1886.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis minuta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134668	134668	Colossendeis minuta	[]	1767	112739	19.64	35.35	Virginia																
