basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	datasetName	dateIdentified	day	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	geodeticDatum	georeferenceSources	identificationQualifier	identifiedBy	institutionCode	kingdom	language	locationID	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	preparations	recordedBy	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	year	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	country	sex	locality	associatedReferences	bibliographicCitation	dynamicProperties	individualCount	typeStatus	waterBody	date_start	date_mid	date_end	date_year	fieldNumber	organismQuantity	organismQuantityType	recordNumber	taxonRank	superdomain	superdomainid	lifeStage
PreservedSpecimen	34460	Pycnogonida	NIWA	100	NIWA Invertebrate Collection	2008	1	-40.25717	166.8738	1/06/2007	Ascorhynchidae	LINESTRING (166.8738 -40.25717, 166.8627 -40.25767)	Ascorhynchus	WGS84	GPS	cf.	Bamber, Roger N.	NIWA Invertebrate Collection	Animalia	en	TAN0707/61	1772	1730	8/04/2022	6	5de8d70e-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 1	Oceans Survey 2020	Trawl, Beam	Ascorhynchus cooki	Child, 1987	urn:lsid:marinespecies.org:taxname:240053	cooki	2007	0ca7af77-3457-4aa3-866f-bff2a1030802	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1751.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus cooki	2	1065	1274	1302	1358	379601	379608	379788	134571	240053	240053	Ascorhynchus cooki	[]	1777	418977	15.66	35.25																						
PreservedSpecimen	4917	Pycnogonida	NIWA	500	NIWA Invertebrate Collection		2	-42.245	175.1433	2/11/1979	Ascorhynchidae	POINT (175.1433 -42.245)	Ascorhynchus	WGS84				NIWA Invertebrate Collection	Animalia	en	S202	2476	2476	8/04/2022	11	5f0ee2cc-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Unknown = 6	NZOI	Sled, epibenthic	Ascorhynchus cooki	Child, 1987	urn:lsid:marinespecies.org:taxname:240053	cooki	1979	1313e3f5-ac49-43ba-85c8-bdbe8b688824	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	2476.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus cooki	2	1065	1274	1302	1358	379601	379608	379788	134571	240053	240053	Ascorhynchus cooki	[]	2564	71128	13.72	34.86	Oceania	New Zealand	mixed																			
PreservedSpecimen	4916	Pycnogonida	NIWA	500	NIWA Invertebrate Collection		23	-41.2533	167.12	23/04/1980	Ascorhynchidae	POINT (167.12 -41.2533)	Ascorhynchus	WGS84				NIWA Invertebrate Collection	Animalia	en	P941	1463	1463	8/04/2022	4	5fec7c86-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Unknown = 4	NZOI	Sled, epibenthic	Ascorhynchus cooki	Child, 1987	urn:lsid:marinespecies.org:taxname:240053	cooki	1980	39b299ac-80dd-4738-9445-c01ca5fec41f	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1463.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus cooki	2	1065	1274	1302	1358	379601	379608	379788	134571	240053	240053	Ascorhynchus cooki	[]	1485	322726	15.01	35.12	Oceania	New Zealand	mixed																			
PreservedSpecimen	82362	Pycnogonida	NIWA	100	NIWA Invertebrate Collection	30/09/2013	19	-37.2392	177.6403	19/04/2012	Ascorhynchidae	LINESTRING (177.6403 -37.2392, 177.6308 -37.2418)	Ascorhynchus	WGS84	GPS		Neill, Kate	NIWA Invertebrate Collection	Animalia	en	TAN1206/43	1505	1494	8/04/2022	4	6112bdfa-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 3	Vulnerable Deep-Sea Communities Program	Trawl, Beam	Ascorhynchus cooki	Child, 1987	urn:lsid:marinespecies.org:taxname:240053	cooki	2012	45430c87-5fb2-47b5-9de5-ada2545593cf	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1499.5	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus cooki	2	1065	1274	1302	1358	379601	379608	379788	134571	240053	240053	Ascorhynchus cooki	[]	1530	44493	18.06	35.57	Oceania	New Zealand		Site SL2d, slope, Bay of Plenty																		
PreservedSpecimen	233601.185509	Pycnogonida	Invertebrate Zoology: Crustacea				10	-59.966999054	155.516998291	1967-02-10T12:00:00Z	Ascorhynchidae		Ascorhynchus				Child, C. Allan	USNM	Animalia			2992	2985		2			Pantopoda	Arthropoda	Alcohol (Ethanol)			Ascorhynchus cooki	Child	urn:lsid:marinespecies.org:taxname:240053		1967	49bdf03d-d1e3-494b-b5c7-c0ad221e9091	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2988.5	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus cooki	2	1065	1274	1302	1358	379601	379608	379788	134571	240053	240053	Ascorhynchus cooki	[]	2955	609472	0.84	33.87			male	Southwest Pacific Basin, SW Of Macquarie Island	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=1;	1.0	Holotype	South Pacific Ocean	-91238400000.0	-91238400000.0	-91238400000.0	1967.0								
PreservedSpecimen	MIIC-04782	Pycnogonida	MIIC	200				-36.3355	150.64783		Ascorhynchidae	POINT (150.64783 -36.33550)	Ascorhynchus	EPSG:4326			Karen Gowlett-Holmes	CSIRO	Animalia			2700	2700	2023-07-11T05:57:33		urn:csiro:MIIC:MIIC-04782	present	Pantopoda	Arthropoda		Karen Gowlett-Holmes		Ascorhynchus cooki	Child, 1987	urn:lsid:marinespecies.org:taxname:240053			4eef4b62-72c9-48c7-9187-1f2727822a0d	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	2700.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus cooki	2	1065	1274	1302	1358	379601	379608	379788	134571	240053	240053	Ascorhynchus cooki Child, 1987	[]	2752	38465	19.63	35.61						CSIRO Marine Invertebrate Image Collection (MIIC)									IN2017_V03-044	1	individuals	IN2017_V03_044_161	species	Biota	1.0	
PreservedSpecimen	233604.185512	Pycnogonida	Invertebrate Zoology: Crustacea				20	-42.1829986572	175.182998657	1966-11-20T12:00:00Z	Ascorhynchidae		Ascorhynchus				Child, C. Allan	USNM	Animalia			2612	2612		11			Pantopoda	Arthropoda	Alcohol (Ethanol)			Ascorhynchus cooki	Child	urn:lsid:marinespecies.org:taxname:240053		1966	5caafbb6-a32b-4925-9e0b-1a058d68b898	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2612.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus cooki	2	1065	1274	1302	1358	379601	379608	379788	134571	240053	240053	Ascorhynchus cooki	[]	2687	63854	13.75	34.89		New Zealand		SE Of Cook Strait	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=1;	1.0	Paratype	South Pacific Ocean	-98323200000.0	-98323200000.0	-98323200000.0	1966.0								juvenile
PreservedSpecimen	34455	Pycnogonida	NIWA	100	NIWA Invertebrate Collection	2008	20	-42.539	-178.3381667	20/04/2007	Ascorhynchidae	LINESTRING (-178.3381667 -42.539, -178.3398333 -42.5433333)	Ascorhynchus	WGS84	GPS	cf.	Bamber, Roger N.	NIWA Invertebrate Collection	Animalia	en	TAN0705/203	1414	1404	8/04/2022	4	5de8ed20-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 2	Oceans Survey 2020	Trawl, Beam	Ascorhynchus cooki	Child, 1987	urn:lsid:marinespecies.org:taxname:240053	cooki	2007	60704e86-455d-42f5-8172-6f285756bf29	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1409.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus cooki	2	1065	1274	1302	1358	379601	379608	379788	134571	240053	240053	Ascorhynchus cooki	[]	1387	168164	14.75	35.17	Oceania	New Zealand																				
PreservedSpecimen	4922	Pycnogonida	NIWA	500	NIWA Invertebrate Collection		4	-36.01	179.2133	4/09/1974	Ascorhynchidae	POINT (179.2133 -36.01)	Ascorhynchus	WGS84				NIWA Invertebrate Collection	Animalia	en	J658	2505	2505	8/04/2022	9	600c8012-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Unknown = 1	NZOI		Ascorhynchus cooki	Child, 1987	urn:lsid:marinespecies.org:taxname:240053	cooki	1974	67be4e31-4568-484c-9127-ba1f4365ccfb	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	2505.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus cooki	2	1065	1274	1302	1358	379601	379608	379788	134571	240053	240053	Ascorhynchus cooki	[]	2512	189605	17.97	35.53	Oceania	New Zealand	juvenile																			
PreservedSpecimen	233603.185511	Pycnogonida	Invertebrate Zoology: Crustacea				25	-41.75	-178.082992554	1966-05-25T12:00:00Z	Ascorhynchidae		Ascorhynchus				Child, C. Allan	USNM	Animalia			2668	2610		5			Pantopoda	Arthropoda	Alcohol (Ethanol)			Ascorhynchus cooki	Child	urn:lsid:marinespecies.org:taxname:240053		1966	8855faed-da88-4d0c-b983-05e13b591eae	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2639.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus cooki	2	1065	1274	1302	1358	379601	379608	379788	134571	240053	240053	Ascorhynchus cooki	[]	2722	226574	15.31	35.27			female	Southwest Pacific Basin, N Of Chatham Rise	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=3;	3.0	Paratype	South Pacific Ocean	-113788800000.0	-113788800000.0	-113788800000.0	1966.0								
