basisOfRecord	catalogNumber	class	collectionCode	continent	coordinateUncertaintyInMeters	country	datasetName	day	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	geodeticDatum	institutionCode	kingdom	language	locality	locationID	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	preparations	recordedBy	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	year	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedSequences	collectionID	countryCode	datasetID	eventID	eventRemarks	identifiedBy	institutionID	organismID	parentNameUsageID	recordNumber	taxonID	taxonRank	taxonomicStatus	waterBody	date_start	date_mid	date_end	date_year
PreservedSpecimen	13977	Pycnogonida	NIWA	Antarctica	500	Ross Dependency	NIWA Invertebrate Collection	5	-73.5667	-175.7833	5/02/1960	Pallenopsidae	POINT (-175.7833 -73.5667)	Pallenopsis	WGS84	NIWA Invertebrate Collection	Animalia	en	Pennell Bank, Ross Sea	A523	2804.0	2762	8/04/2022	2	5c51aba0-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 7	NZOI	Dredge, Devonport	Pallenopsis pilosa	(Hoek, 1881)	urn:lsid:marinespecies.org:taxname:240119	mixed	pilosa	1960	000cec0e-d1d9-4afa-b3b9-f9770713c5e8	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	2783.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis pilosa	2	1065	1274	1302	1358	379601	379609	236317	134593	240119	240119	Pallenopsis pilosa	['DEPTH_EXCEEDS_BATH']	2502	448080	-1.69	34.01																			
HumanObservation	37572	Pycnogonida	SOMBASE Pycnogonids						-69.3499984741	14.1000003815		Pallenopsidae		Pallenopsis		BAS	Animalia				830.0	670					Pantopoda	Arthropoda				Pallenopsis pilosa		urn:lsid:marinespecies.org:taxname:240119				00fad5e8-63cc-4fdc-b2ff-3388700108ca	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	750.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis pilosa	2	1065	1274	1302	1358	379601	379609	236317	134593	240119	240119	Pallenopsis pilosa	['DEPTH_EXCEEDS_BATH']	566	14887	-1.73	33.58																			
HumanObservation	24584	Pycnogonida	SOMBASE Pycnogonids						-60.0666007996	170.883300781		Pallenopsidae		Pallenopsis		BAS	Animalia				3660.0	3660					Pantopoda	Arthropoda				Pallenopsis pilosa		urn:lsid:marinespecies.org:taxname:240119				0259728d-ffa5-4e15-83ab-affa88111953	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3660.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis pilosa	2	1065	1274	1302	1358	379601	379609	236317	134593	240119	240119	Pallenopsis pilosa	[]	5050	810042	3.9	33.9																			
HumanObservation	39466	Pycnogonida	SOMBASE Pycnogonids						-73.5999984741	-22.3166007996		Pallenopsidae		Pallenopsis		BAS	Animalia				620.0	620					Pantopoda	Arthropoda				Pallenopsis pilosa		urn:lsid:marinespecies.org:taxname:240119				05640cb3-94a0-4556-b4b6-94ee90e5f742	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	620.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis pilosa	2	1065	1274	1302	1358	379601	379609	236317	134593	240119	240119	Pallenopsis pilosa	[]	681	45340	-1.67	33.87																			
PreservedSpecimen	S12124	Pycnogonida	OGL	Antarctica		Antarctica	Ocean Genome Legacy Collection		-72.5903015136719	175.341995239258	2008-02-21	Pallenopsidae		Pallenopsis		OGL	Animalia			CL02380		475			OGL_MSC_NortheasternUniversity_S12124	present	Pantopoda	Arthropoda			ND	Pallenopsis pilosa	(Hoek, 1881)	urn:lsid:marinespecies.org:taxname:240119		pilosa		057ed765-51f8-40f9-9fbf-535597e1a606	9d629feb-ba03-4a83-908c-794d94d30531	['b7c47783-a020-4173-b390-7b57c4fa1426']	475.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis pilosa	2	1065	1274	1302	1358	379601	379609	236317	134593	240119	240119	Pallenopsis pilosa	[]	467	156952	-1.62	34.11	BOLD ID: 37163-2	0f00dede-1a1f-49e5-ae69-2bc40db635c5	AQ	OGL_MSC_NortheasternUniversity	CE01748	Collection Event Notes: Collector name listed as R/VTANGAROA	Claudia Arango	8c116cac-9394-4c4e-be14-06184bdc62bd	S12124	134593	37163-2; 1970	T02589	Species	accepted	Ross Sea	1203552000000.0	1203552000000.0	1203552000000.0	2008.0
HumanObservation	39464	Pycnogonida	SOMBASE Pycnogonids						-71.5333023071	-13.7166004181		Pallenopsidae		Pallenopsis		BAS	Animalia				362.0	354					Pantopoda	Arthropoda				Pallenopsis pilosa		urn:lsid:marinespecies.org:taxname:240119				0a961eea-bcd4-44a9-9d50-04d2b9a97417	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	358.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis pilosa	2	1065	1274	1302	1358	379601	379609	236317	134593	240119	240119	Pallenopsis pilosa	[]	344	46474	-1.76	33.84																			
HumanObservation	24598	Pycnogonida	SOMBASE Pycnogonids						-56.2666015625	-27.5		Pallenopsidae		Pallenopsis		BAS	Animalia				307.0	208					Pantopoda	Arthropoda				Pallenopsis pilosa		urn:lsid:marinespecies.org:taxname:240119				0ae5293c-94d3-453e-b34b-9a104b28e1d9	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	257.5	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis pilosa	2	1065	1274	1302	1358	379601	379609	236317	134593	240119	240119	Pallenopsis pilosa	[]	652	4029	-0.46	33.65																			
HumanObservation	24592	Pycnogonida	SOMBASE Pycnogonids						-73.2666015625	-177.083297729		Pallenopsidae		Pallenopsis		BAS	Animalia				1210.0	1210					Pantopoda	Arthropoda				Pallenopsis pilosa		urn:lsid:marinespecies.org:taxname:240119				0be05b7e-09d8-41e6-8255-39cd60c38815	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1210.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis pilosa	2	1065	1274	1302	1358	379601	379609	236317	134593	240119	240119	Pallenopsis pilosa	[]	1293	411948	-1.67	34.02																			
HumanObservation	37408	Pycnogonida	SOMBASE Pycnogonids						-67.75	147.316604614		Pallenopsidae		Pallenopsis		BAS	Animalia				920.0	900					Pantopoda	Arthropoda				Pallenopsis pilosa		urn:lsid:marinespecies.org:taxname:240119				0f80172c-1e8c-4284-989d-e787c849727b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	910.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis pilosa	2	1065	1274	1302	1358	379601	379609	236317	134593	240119	240119	Pallenopsis pilosa	[]	867	27505	-1.77	33.82																			
HumanObservation	24566	Pycnogonida	SOMBASE Pycnogonids						-61.4150009155	-56.5015983582		Pallenopsidae		Pallenopsis		BAS	Animalia				300.0	300					Pantopoda	Arthropoda				Pallenopsis pilosa		urn:lsid:marinespecies.org:taxname:240119				0ffe50b5-3650-4720-a63c-73d2f688e934	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	300.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis pilosa	2	1065	1274	1302	1358	379601	379609	236317	134593	240119	240119	Pallenopsis pilosa	[]	278	29336	-0.37	33.94																			
