basisOfRecord	catalogNumber	class	collectionCode	continent	coordinateUncertaintyInMeters	country	datasetName	day	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	geodeticDatum	institutionCode	kingdom	language	locality	locationID	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	preparations	recordedBy	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	year	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	taxonRank	date_start	date_mid	date_end	date_year	bibliographicCitation	dynamicProperties	eventID	fieldNumber	individualCount	occurrenceRemarks	sex	startDayOfYear	waterBody	datasetID	organismQuantity	organismQuantityType
PreservedSpecimen	9531	Pycnogonida	NIWA	Antarctica	500	Ross Dependency	NIWA Invertebrate Collection	8	-74.055	179.35	8/02/1960	Ammotheidae	LINESTRING (179.35 -74.055, 179.3166667 -74.0833333)	Achelia	WGS84	NIWA Invertebrate Collection	Animalia	en	Ross Sea	A530	267.0	263.0	8/04/2022	2	5fa98ffc-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), None = 1	NZOI	Dredge, Devonport	Achelia spicata	(Hodgson, 1915)	urn:lsid:marinespecies.org:taxname:172865	spicata	1960	00d045fb-a2d5-461e-842c-2b281fbdf9b7	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	265.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia spicata	2	1065	1274	1302	1358	379601	379608	1562	134568	172865	172865	Achelia spicata	[]	265	296187	-1.57	34.11																	
HumanObservation	38869	Pycnogonida	SOMBASE Pycnogonids						-66.5333023071	92.9832992554		Ammotheidae		Achelia		BAS	Animalia				10.0	10.0					Pantopoda	Arthropoda				Achelia spicata		urn:lsid:marinespecies.org:taxname:172865			02471727-7114-4bb6-b193-385753c12023	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	10.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia spicata	2	1065	1274	1302	1358	379601	379608	1562	134568	172865	172865	Achelia spicata	[]	388	205	-1.56	33.71																	
HumanObservation	37314	Pycnogonida	SOMBASE Pycnogonids						-72.2833023071	170.179992676		Ammotheidae		Achelia		BAS	Animalia				414.0	408.0					Pantopoda	Arthropoda				Achelia spicata		urn:lsid:marinespecies.org:taxname:172865			025a4281-7cdc-4278-8b5b-c46baa5cbdb4	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	411.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia spicata	2	1065	1274	1302	1358	379601	379608	1562	134568	172865	172865	Achelia spicata	[]	406	3910	-1.72	33.53																	
HumanObservation	38697	Pycnogonida	SOMBASE Pycnogonids						-66.5333023071	92.0167007446		Ammotheidae		Achelia		BAS	Animalia				15.0	15.0					Pantopoda	Arthropoda				Achelia spicata		urn:lsid:marinespecies.org:taxname:172865			03b5680b-d61d-4df5-8c46-805c42541177	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	15.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia spicata	2	1065	1274	1302	1358	379601	379608	1562	134568	172865	172865	Achelia spicata	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-91	-2483																			
PreservedSpecimen	P.11056	Pycnogonida	co113		10000				-67.0	142.6	1912-09-03	Ammotheidae	POINT (142.60000 -67.00000)	Achelia		AM	Animalia		Adelie Land, Commonwealth Bay				2017-03-02T11:18:39		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.11056	present	Pantopoda	Arthropoda				Achelia spicata		urn:lsid:marinespecies.org:taxname:379108	intermedia		03dd44f6-f9d3-4bbd-b6fc-87e62b392b11	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia spicata	2	1065	1274	1302	1358	379601	379608	1562	134568	172865	172865	Achelia intermedia	['NO_DEPTH']	49	2017	-1.67	33.96	species	-1809129600000.0	-1809129600000.0	-1809129600000.0	1912.0												
HumanObservation	38943	Pycnogonida	SOMBASE Pycnogonids						-66.5419998169	92.5597000122		Ammotheidae		Achelia		BAS	Animalia				50.0	50.0					Pantopoda	Arthropoda				Achelia spicata		urn:lsid:marinespecies.org:taxname:172865			0413554f-e034-4b5b-b945-a955dc2a849e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	50.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia spicata	2	1065	1274	1302	1358	379601	379608	1562	134568	172865	172865	Achelia spicata	[]	415	488	-1.56	33.71																	
HumanObservation	TN Stn. 220 Achelia spicata	Pycnogonida	MBIS Terra Nova Expedition		500		British Antarctic (Terra Nova) Expedition Zoology	3	-71.3083	170.1	1912-01-03	Ammotheidae	POINT (170.1000 -71.3083)	Achelia	WGS84	TN	Animalia	en	off Cape Adare, mouth of Robertson's Bay		92.0	82.0	2014-08-10	1	urn:NIWA:TerraNovaExp:428	present	Pantopoda	Arthropoda			GearType=Agassiz trawl	Achelia spicata	(Hodgson, 1915)	urn:lsid:marinespecies.org:taxname:172865	spicata	1912	075005e8-d8cf-4ba7-a2c1-1c8819b62024	159421b6-a764-4af1-9cc3-bc652dbeb12e	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	87.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia spicata	2	1065	1274	1302	1358	379601	379608	1562	134568	172865	172865	Achelia spicata	[]	82	3952	-1.68	34.01		-1830211200000.0	-1830211200000.0	-1830211200000.0	1912.0	Achelia spicata (MBIS Terra Nova Expedition urn:NIWA:TerraNovaExp:428)	SurfaceTemperatureInC=-0.5	220	Stn. 220	13	SurfaceTemperatureInC=-0.5. GearType=Agassiz trawl	m	3	Southern Ocean			
HumanObservation	15	Pycnogonida	Weddell Sea macrozoobenthos EASIZ I					25	-71.535	-13.735		Ammotheidae		Achelia		AWI	Animalia		Kapp Norvegia area		362.0	362.0	2010-05-11T18:09Z	2	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:15		Pantopoda	Arthropoda				Achelia spicata		urn:lsid:marinespecies.org:taxname:172865		1996	07c3beca-bd54-4ce4-9d1a-b96c4fcb7b1e	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	362.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia spicata	2	1065	1274	1302	1358	379601	379608	1562	134568	172865	172865	Achelia spicata	[]	371	46701	-1.76	33.84															IMIS:dasid:2432		
HumanObservation	21816	Pycnogonida	SOMBASE Pycnogonids						-64.7615966797	-64.123298645		Ammotheidae		Achelia		BAS	Animalia				40.0	40.0					Pantopoda	Arthropoda				Achelia spicata		urn:lsid:marinespecies.org:taxname:172865			07d894f6-6ea0-46d1-99cd-125b1680b843	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	40.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia spicata	2	1065	1274	1302	1358	379601	379608	1562	134568	172865	172865	Achelia spicata	[]	58	818	-0.55	33.16																	
PreservedSpecimen	J5357	Pycnogonida	co119		1000				-68.58	77.93	1981-12-05	Ammotheidae	POINT ( 77.93000 -68.58000)	Achelia		NMV	Animalia		Davis Station				2017-02-09T12:08:51		J5357	present	Pantopoda	Arthropoda				Achelia spicata		urn:lsid:marinespecies.org:taxname:172865	spicata		087a699a-9915-4943-852f-cb61b865a2c2	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia spicata	2	1065	1274	1302	1358	379601	379608	1562	134568	172865	172865	Achelia spicata	['NO_DEPTH']	19	283	-1.5	33.77	species	376358400000.0	376358400000.0	376358400000.0	1981.0					2		Unknown				2	individuals
