basisOfRecord	collectionCode	day	decimalLatitude	decimalLongitude	eventDate	institutionCode	minimumDepthInMeters	month	occurrenceID	occurrenceRemarks	occurrenceStatus	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	catalogNumber	country	dynamicProperties	identifiedBy	individualCount	preparations	waterBody	continent	datasetID	datasetName	eventID	eventTime	fieldNumber	footprintWKT	locality	maximumDepthInMeters	modified	samplingProtocol	superdomain	superdomainid
HumanObservation	2006B3	5	77.7750015259	105.032997131	1932-9-5	ArcOD	1890.0	9	8979	;;134708;Rusanov	present	Vagin	Nymphon sluiteri	Hoek, 1901	urn:lsid:marinespecies.org:taxname:134708	1932	00d420e2-bdd8-4d71-97cf-3c478db22826	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	1890.0	-1177804800000	-1177804800000	-1177804800000	1932	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon sluiteri	2	1065	1274	1302	1358	379601	379609	1566	134591	134708	134708	Nymphon sluiteri	['DEPTH_EXCEEDS_BATH']	156.0	12391	-1.02	30.71																						
HumanObservation	2006B3	30	79.9670028687	88.9670028687	1930-8-30	ArcOD	1850.0	8	7595	;;134708;Sedov	present	Gorbunov	Nymphon sluiteri	Hoek, 1901	urn:lsid:marinespecies.org:taxname:134708	1930	00e2874d-4e8d-4cec-9059-15a40b8de6f1	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	1850.0	-1241481600000	-1241481600000	-1241481600000	1930	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon sluiteri	2	1065	1274	1302	1358	379601	379609	1566	134591	134708	134708	Nymphon sluiteri	['DEPTH_EXCEEDS_BATH']	159.0	40145	-1.29	33.75																						
HumanObservation	2006B3	9	74.1829986572	81.0999984741	1932-8-9	ArcOD	390.0	8	8738	;;134708;Sibiriakov	present	Retovski	Nymphon sluiteri	Hoek, 1901	urn:lsid:marinespecies.org:taxname:134708	1932	01278d57-e244-4a5a-9da7-ff358e7825a9	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	390.0	-1180137600000	-1180137600000	-1180137600000	1932	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon sluiteri	2	1065	1274	1302	1358	379601	379609	1566	134591	134708	134708	Nymphon sluiteri	['DEPTH_EXCEEDS_BATH']	37.0	41550	0.49	27.19																						
HumanObservation	2006B3	4	78.6669998169	58.1669998169	1929-9-4	ArcOD	1620.0	9	7131	;;134708;Sedov	present	Gorbunov	Nymphon sluiteri	Hoek, 1901	urn:lsid:marinespecies.org:taxname:134708	1929	0127a69d-1a57-4088-a34e-b3b272f4c115	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	1620.0	-1272585600000	-1272585600000	-1272585600000	1929	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon sluiteri	2	1065	1274	1302	1358	379601	379609	1566	134591	134708	134708	Nymphon sluiteri	['DEPTH_EXCEEDS_BATH']	169.0	123174	-0.56	34.12																						
HumanObservation	2006B3	18	81.5	47.0999984741	1955-9-18	ArcOD	1430.0	9	15428	;;134708;Litke	present	Koltun V. M.	Nymphon sluiteri	Hoek, 1901	urn:lsid:marinespecies.org:taxname:134708	1955	02d53d01-caa6-4351-b14b-4ccba4a49ffc	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	1430.0	-450921600000	-450921600000	-450921600000	1955	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon sluiteri	2	1065	1274	1302	1358	379601	379609	1566	134591	134708	134708	Nymphon sluiteri	['DEPTH_EXCEEDS_BATH']	96.0	67389	-1.28	34.13																						
HumanObservation	2006B3	20	70.3830032349	64.0	1931-8-20	ArcOD	1580.0	8	8154	;;134708;Rusanov	present	Gorbunov	Nymphon sluiteri	Hoek, 1901	urn:lsid:marinespecies.org:taxname:134708	1931	032b750a-bd5f-4162-a8c0-248cbc1c86d3	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	1580.0	-1210809600000	-1210809600000	-1210809600000	1931	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon sluiteri	2	1065	1274	1302	1358	379601	379609	1566	134591	134708	134708	Nymphon sluiteri	['DEPTH_EXCEEDS_BATH']	151.0	84724	1.13	32.36																						
PreservedSpecimen	Invertebrate Zoology: Crustacea		75.0	70.0	1882-07-02T12:00:00Z	USNM							Nymphon sluiteri	Hoek	urn:lsid:marinespecies.org:taxname:134708	1882	06dad176-93b2-47cd-b65f-4291da832915	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		-2761257600000	-2761257600000	-2761257600000	1882	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon sluiteri	2	1065	1274	1302	1358	379601	379609	1566	134591	134708	134708	Nymphon sluiteri	['NO_DEPTH']	37.0	144037	0.33	31.56	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	17271.290077	Russia	observedindividualcount=1;	Hansen, H. J.	1.0	Alcohol (Ethanol)	Arctic Ocean													
HumanObservation	2006B3	4	76.6330032349	78.8499984741	1930-9-4	ArcOD	620.0	9	7667	;;134708;Sedov	present	Gorbunov	Nymphon sluiteri	Hoek, 1901	urn:lsid:marinespecies.org:taxname:134708	1930	087478c4-84dd-4c6b-9640-0be48e534fb5	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	620.0	-1241049600000	-1241049600000	-1241049600000	1930	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon sluiteri	2	1065	1274	1302	1358	379601	379609	1566	134591	134708	134708	Nymphon sluiteri	['DEPTH_EXCEEDS_BATH']	71.0	107195	-0.41	32.33																						
Occurrence	IMRMarbunnBenthos	23	76.485167	27.611	2016-09-23T01:02:00+00:00/2016-09-23T01:07:00+00:00	IMR	133.25	9	161310013001042		present		Nymphon sluiteri	Hoek, 1901	urn:lsid:marinespecies.org:taxname:134708	2016	0e4de2fd-e026-466e-8a63-74de800be5fe	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	133.76999999999998	1474588800000	1474588800000	1474588800000	2016	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon sluiteri	2	1065	1274	1302	1358	379601	379609	1566	134591	134708	134708	Nymphon sluiteri	[]	134.6	59703	0.7	34.05			161310013001042							Barents Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	Cruise: 58GS-2016113 Sample: 13	01:02:00+00:00/01:07:00+00:00	catchId: 42	LINESTRING(27.611 76.485167,27.611 76.487333)	MAREANO Reference Station: 1613	134.29	2024-05-23 10:35:05	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Biota	1.0
HumanObservation	2006B3	18	73.6829986572	65.5999984741	1931-9-18	ArcOD	1200.0	9	8387	;;134708;Rusanov	present	Gorbunov	Nymphon sluiteri	Hoek, 1901	urn:lsid:marinespecies.org:taxname:134708	1931	0e5757a0-80d0-4d2c-93a3-807fdb2b7b5b	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	1200.0	-1208304000000	-1208304000000	-1208304000000	1931	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon sluiteri	2	1065	1274	1302	1358	379601	379609	1566	134591	134708	134708	Nymphon sluiteri	['DEPTH_EXCEEDS_BATH']	82.0	143093	0.63	32.3																						
