associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	county	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	typeStatus	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters	minimumDepthInMeters	depth
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	81523.274073	Invertebrate Zoology: Crustacea	United States	Marin County	20	38.25	-122.949996948	observedindividualcount=1;	1934-12-20T12:00:00Z	Hilton, W. A.	1.0	USNM	Dillon Beach	12	Alcohol (Ethanol)	O. Hartman	Achelia simplissima	Hilton	urn:lsid:marinespecies.org:taxname:379266	female	California	Holotype	North Pacific Ocean	1934	53e62996-f661-4535-9385-e731f43d37a6	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-1105574400000	-1105574400000	-1105574400000	1934	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia simplissima	2	1065	1274	1302	1358	379601	379608	1562	134568	239815	239815	Ammothea simplissima	['NO_DEPTH', 'ON_LAND']	-114	-1626	11.55	32.79			
	HumanObservation	USEPA'S EMAP	23381	CAL03			25	32.7620010376	-117.236000061		2003-07-25T12:00:00Z			EMAP_NCA		7			Achelia simplissima		urn:lsid:marinespecies.org:taxname:239815					2003	cc56b84a-e959-4b69-95cb-2e046cde2cf9	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1059091200000	1059091200000	1059091200000	2003	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia simplissima	2	1065	1274	1302	1358	379601	379608	1562	134568	239815	239815	Achelia simplissima	[]	-2	94			7.0	7.0	7.0
