basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	country	dynamicProperties	identifiedBy	individualCount	lifeStage	maximumDepthInMeters	minimumDepthInMeters	preparations	sex	waterBody	depth	county	recordedBy	stateProvince
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Tanystylum acuminatum</i> Stock, 1954. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239606	sm_id_1412	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	4	17.9	-62.87	1949-06-04	Ammotheidae	Tanystylum	WoRMS Editorial Board	Animalia	Caribbean Sea	2007-06-20 15:52:33	6	WoRMS Editorial Board:WoRMS type localities:sm_id_1412	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1412	Tanystylum acuminatum	Stock, 1954	urn:lsid:marinespecies.org:taxname:239606	acuminatum	holotype	1949	3bb5b322-b111-4426-838a-eb8697bfef1d	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-649382400000	-649382400000	-649382400000	1949	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum acuminatum	1.0	2	1065	1274	1302	1358	379601	379608	1562	134577	239606	239606	Tanystylum acuminatum	['NO_DEPTH']	29	712	27.66	34.91															
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	120359.86287	Pycnogonida	Invertebrate Zoology: Crustacea		18	0.550000011921	-47.0499992371	1957-11-18T12:00:00Z	Ammotheidae	Tanystylum	USNM	Animalia	Off Baia De Marajo		11			Pantopoda	Arthropoda		Tanystylum acuminatum	Stock	urn:lsid:marinespecies.org:taxname:239606			1957	3f77c62f-406f-4088-975c-11c6ad48a958	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-382492800000	-382492800000	-382492800000	1957	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum acuminatum		2	1065	1274	1302	1358	379601	379608	1562	134577	239606	239606	Tanystylum acuminatum	[]	34	130352	28.15	34.71	National Museum of Natural History, Smithsonian Institution	Brazil	observedindividualcount=4;	Child, C. Allan	4.0	;; juvenile	37.0	37.0	Alcohol (Ethanol); Slide	male; female;;	North Atlantic Ocean	37.0			
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	150691.114086	Pycnogonida	Invertebrate Zoology: Crustacea			28.6583309174	-80.3566665649	1964-07-02T00:00:00Z	Ammotheidae	Tanystylum	USNM	Animalia	Vero Beach, Public Beach					Pantopoda	Arthropoda		Tanystylum acuminatum	Stock	urn:lsid:marinespecies.org:taxname:239606			1964	ded9502f-a4c3-49a8-a7a2-b8202e0a1a0c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-173577600000	-173577600000	-173577600000	1964	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum acuminatum		2	1065	1274	1302	1358	379601	379608	1562	134577	239606	239606	Tanystylum acuminatum	[]	22	22779	24.89	36.21	National Museum of Natural History, Smithsonian Institution	United States	observedindividualcount=2;	Child, C. Allan	2.0		2.0		Alcohol (Ethanol)	male; female	North Atlantic Ocean	2.0	Indian River County	D. Kirtley	Florida
