basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Rhynchothorax oblongus</i> (Pushkin, 1977). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239564	sm_id_1399	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	-53.12	71.8	1957	Rhynchothoracidae	Rhynchothorax	WoRMS Editorial Board	Animalia	South Indian Ocean	140	100	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1399	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1399	Rhynchothorax oblongus	(Pushkin, 1977)	urn:lsid:marinespecies.org:taxname:239564	oblongus	holotype	1957	97e3047e-914b-473e-acf0-e04e9666406e	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	120	-410227200000.0	-394502400000.0	-378777600000.0	1957.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Rhynchothoracoidea	Rhynchothorax oblongus	1.0	2	1065	1274	1302	1358	379601	379612	22618	134596	239564	239564	Rhynchothorax oblongus	[]	1653	53012	2.19	33.79
HumanObservation		37394	Pycnogonida	SOMBASE Pycnogonids		-53.125	71.8150024414		Rhynchothoracidae	Rhynchothorax	BAS	Animalia		140	100				Pantopoda	Arthropoda		Rhynchothorax oblongus		urn:lsid:marinespecies.org:taxname:239564				c3403b6c-6ce6-47db-89cb-d14085a42ee5	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	120					False	False	True	False		Chelicerata	Eupantopodida	Rhynchothoracoidea	Rhynchothorax oblongus		2	1065	1274	1302	1358	379601	379612	22618	134596	239564	239564	Rhynchothorax oblongus	[]	1609	52114	2.19	33.79
