basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
HumanObservation	22230	SOMBASE Pycnogonids	-54.6665992737	-57.0833015442	BAS	128	124	Austrodecus calcaricauda	urn:lsid:marinespecies.org:taxname:173006	010dbac4-a568-46bb-9fc2-f2b355c9e62e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	126.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus calcaricauda	2	1065	1274	1302	1358	379600	22616	134579	173006	173006	Austrodecus calcaricauda	[]	143	238560	5.48	34.04
HumanObservation	22231	SOMBASE Pycnogonids	-54.6500015259	-57.1500015259	BAS	124	124	Austrodecus calcaricauda	urn:lsid:marinespecies.org:taxname:173006	07ae8381-453c-4fdb-8722-5a3a25460e8f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	124.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus calcaricauda	2	1065	1274	1302	1358	379600	22616	134579	173006	173006	Austrodecus calcaricauda	[]	136	234545	5.49	34.04
HumanObservation	22215	SOMBASE Pycnogonids	-55.3333015442	-65.8332977295	BAS	1240	1185	Austrodecus calcaricauda	urn:lsid:marinespecies.org:taxname:173006	08c29abe-9b7c-4558-981e-a05567025038	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1212.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus calcaricauda	2	1065	1274	1302	1358	379600	22616	134579	173006	173006	Austrodecus calcaricauda	['DEPTH_EXCEEDS_BATH']	955	38967	6.71	33.98
HumanObservation	22207	SOMBASE Pycnogonids	-66.9300003052	110.466598511	BAS	58	58	Austrodecus calcaricauda	urn:lsid:marinespecies.org:taxname:173006	1f5e8af6-b77a-425c-bb58-1e7cc38abba1	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	58.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus calcaricauda	2	1065	1274	1302	1358	379600	22616	134579	173006	173006	Austrodecus calcaricauda	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-342	-36057		
HumanObservation	22212	SOMBASE Pycnogonids	-54.1315994263	-63.9000015259	BAS	119	119	Austrodecus calcaricauda	urn:lsid:marinespecies.org:taxname:173006	20a095d9-8f54-46dd-a196-861f8e6ddcbf	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	119.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus calcaricauda	2	1065	1274	1302	1358	379600	22616	134579	173006	173006	Austrodecus calcaricauda	[]	84	59000	6.69	33.99
HumanObservation	22234	SOMBASE Pycnogonids	-54.9165992737	-64.0	BAS	903	771	Austrodecus calcaricauda	urn:lsid:marinespecies.org:taxname:173006	2baf2320-0c18-4c30-9ca4-2e55bbeff24e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	837.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus calcaricauda	2	1065	1274	1302	1358	379600	22616	134579	173006	173006	Austrodecus calcaricauda	[]	966	11383	6.52	33.98
HumanObservation	22211	SOMBASE Pycnogonids	-56.6665992737	-67.4332962036	BAS	134	134	Austrodecus calcaricauda	urn:lsid:marinespecies.org:taxname:173006	3d24a43b-951f-4e19-aa03-fcd086618e62	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	134.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus calcaricauda	2	1065	1274	1302	1358	379600	22616	134579	173006	173006	Austrodecus calcaricauda	[]	272	76636	6.4	33.98
HumanObservation	22218	SOMBASE Pycnogonids	-55.7832984924	-66.2750015259	BAS	115	115	Austrodecus calcaricauda	urn:lsid:marinespecies.org:taxname:173006	4186cabe-63a5-4445-96e9-1f983d9d3f37	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	115.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus calcaricauda	2	1065	1274	1302	1358	379600	22616	134579	173006	173006	Austrodecus calcaricauda	[]	180	32198	6.59	33.99
HumanObservation	22210	SOMBASE Pycnogonids	-54.1665992737	-63.3366012573	BAS	284	284	Austrodecus calcaricauda	urn:lsid:marinespecies.org:taxname:173006	486e443d-f291-471d-941d-361fd831b869	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	284.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus calcaricauda	2	1065	1274	1302	1358	379600	22616	134579	173006	173006	Austrodecus calcaricauda	[]	319	68415	6.42	34.0
HumanObservation	22223	SOMBASE Pycnogonids	-52.6665992737	-74.9665985107	BAS	64	64	Austrodecus calcaricauda	urn:lsid:marinespecies.org:taxname:173006	5226e58b-bc29-4705-b059-a045583bfb07	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	64.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus calcaricauda	2	1065	1274	1302	1358	379600	22616	134579	173006	173006	Austrodecus calcaricauda	[]	64	17431	8.26	33.74
