associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234568.186325	Invertebrate Zoology: Crustacea	Chile	9	-35.4500007629	-73.016998291	observedindividualcount=1;	1966-08-09T12:00:00Z	Bowman, Thomas E.	1.0	USNM	W Of Bahia Las Canas	450	290	8	Alcohol (Ethanol)	Pallenopsis notiosa	Child	urn:lsid:marinespecies.org:taxname:239970	male	Holotype	South Pacific Ocean	1966	350e621c-3d82-4b02-b3a2-ff39abf503f0	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	370	-107222400000	-107222400000	-107222400000	1966	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis notiosa	2	1065	1274	1302	1358	379601	379609	236317	134593	239970	239970	Pallenopsis (pallenopsis) notiosa	['DEPTH_EXCEEDS_BATH']	148	38089	13.59	33.99
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234569.186326	Invertebrate Zoology: Crustacea	Chile	9	-35.4500007629	-73.016998291	observedindividualcount=1;	1966-08-09T12:00:00Z	Bowman, Thomas E.	1.0	USNM	W Of Bahia Las Canas	450	290	8	Alcohol (Ethanol)	Pallenopsis notiosa	Child	urn:lsid:marinespecies.org:taxname:239970	female	Paratype	South Pacific Ocean	1966	934cfc2b-e230-46c7-9471-0ab155d65043	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	370	-107222400000	-107222400000	-107222400000	1966	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis notiosa	2	1065	1274	1302	1358	379601	379609	236317	134593	239970	239970	Pallenopsis (pallenopsis) notiosa	['DEPTH_EXCEEDS_BATH']	148	38089	13.59	33.99
