associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	stateProvince	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	sex
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	62350.264995	Invertebrate Zoology: Crustacea	Canada	48.9169998169	-125.567001343	observedindividualcount=1;	1909-05-31T12:00:00Z	Schmitt, Waldo L.	1.0	USNM	Vancouver Island, Ucluelet	5	Alcohol (Ethanol)	W. Spreadborough	Ammothella tuberculata	Cole	urn:lsid:marinespecies.org:taxname:240308	British Columbia	North Pacific Ocean	1909	3def87b7-b6c0-4589-9778-55c75ab20aff	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-1912032000000	-1912032000000	-1912032000000	1909	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella tuberculata	2	1065	1274	1302	1358	379601	379608	1562	134570	240308	240308	Ammothella tuberculata	['NO_DEPTH']	37	1507	10.61	29.59	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	122428.87486	Invertebrate Zoology: Crustacea	United States	36.6170005798	-121.900001526	observedindividualcount=2;	1895-07-31T12:00:00Z	Child, C. Allan	2.0	USNM	Monterey Bay, Pacific Grove	7	Alcohol (Ethanol)	G. Snyder	Ammothella tuberculata	Cole	urn:lsid:marinespecies.org:taxname:240308	California	North Pacific Ocean	1895	9b15ee8f-69c4-4c73-a026-3e0be99e372c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-2348524800000	-2348524800000	-2348524800000	1895	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella tuberculata	2	1065	1274	1302	1358	379601	379608	1562	134570	240308	240308	Ammothella tuberculata	['NO_DEPTH']	-4	7	12.9	32.93	female
