basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	maximumDepthInMeters	minimumDepthInMeters	references	scientificNameAuthorship	typeStatus	depth	superdomain	superdomainid	countryCode	fieldNumber	geodeticDatum	individualCount	license	recordedBy	waterBody
PreservedSpecimen	P.13684	Pycnogonida	co113	0.0896	10000	Australia	-34.05833	151.20833	1898-03-10	Ammotheidae	POINT (151.20833 -34.05833)	Cilunculus	AM	Animalia	2 - 3 km off Port Hacking	2017-03-02T11:16:17	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13684	present	Arthropoda	Cilunculus australiensis	urn:lsid:marinespecies.org:taxname:240381	Female	australiensis	species	04e3aef0-b439-4d12-a106-613cecb57995	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	-2266185600000.0	-2266185600000.0	-2266185600000.0	1898.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Cilunculus australiensis	2	1065	1274	1302	1358	379601	379608	1562	134572	240381	240381	Cilunculus australiensis	['NO_DEPTH']	24.0	1873	20.37	35.53																	
PreservedSpecimen	P.13686	Pycnogonida	co113	0.0896	10000		-34.083	151.25	1898-03-11	Ammotheidae	POINT (151.25000 -34.08300)	Cilunculus	AM	Animalia	3 - 4 km off Botany Bay	2017-03-02T11:16:18	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13686	present	Arthropoda	Cilunculus australiensis	urn:lsid:marinespecies.org:taxname:240381	Female	australiensis	species	4d1dda7e-5547-40c7-ac7a-268a2a1cc7a5	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	-2266099200000.0	-2266099200000.0	-2266099200000.0	1898.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Cilunculus australiensis	2	1065	1274	1302	1358	379601	379608	1562	134572	240381	240381	Cilunculus australiensis	['NO_DEPTH']	104.0	5557	20.48	35.54																	
PreservedSpecimen	P.13683	Pycnogonida	co113	0.0896	10000	Australia	-34.05833	151.20833	1898-03-10	Ammotheidae	POINT (151.20833 -34.05833)	Cilunculus	AM	Animalia	2 - 3 km off Port Hacking	2017-03-02T11:16:17	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13683	present	Arthropoda	Cilunculus australiensis	urn:lsid:marinespecies.org:taxname:240381	Female	australiensis	species	4f0fa1c0-0870-4f44-b451-b84bd31c774b	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	-2266185600000.0	-2266185600000.0	-2266185600000.0	1898.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Cilunculus australiensis	2	1065	1274	1302	1358	379601	379608	1562	134572	240381	240381	Cilunculus australiensis	['NO_DEPTH']	24.0	1873	20.37	35.53																	
PreservedSpecimen	P.13685	Pycnogonida	co113	0.0896	10000		-34.166	151.183	1898-03-22	Ammotheidae	POINT (151.18300 -34.16600)	Cilunculus	AM	Animalia	5.5 - 6.5 km off Wattamolla	2017-03-02T11:16:18	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13685	present	Arthropoda	Cilunculus australiensis	urn:lsid:marinespecies.org:taxname:240381		australiensis	species	56b158bc-54ff-410a-a8c9-92e65f52dca1	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	-2265148800000.0	-2265148800000.0	-2265148800000.0	1898.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Cilunculus australiensis	2	1065	1274	1302	1358	379601	379608	1562	134572	240381	240381	Cilunculus australiensis	['NO_DEPTH']	99.0	5950	20.37	35.54																	
PreservedSpecimen	sm_id_1829	Pycnogonida	WoRMS type localities				-34.07	151.17		Ammotheidae		Cilunculus	WoRMS Editorial Board	Animalia	Tasman Sea	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1829	present	Arthropoda	Cilunculus australiensis	urn:lsid:marinespecies.org:taxname:240381		australiensis		94e223c0-e5b8-4d46-8235-d4dd4c47f35e	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Cilunculus australiensis	2	1065	1274	1302	1358	379601	379608	1562	134572	240381	240381	Cilunculus australiensis	['DEPTH_EXCEEDS_BATH']	4.0	482	20.37	35.53	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Cilunculus australiensis</i> Clark, 1963. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240381	https://marineinfo.org/id/dataset/5184	70.0	40.0	http://www.marinespecies.org/aphia.php?p=specdetails&id=1829	Clark, 1963	holotype	55.0	Biota	1.0							
PreservedSpecimen	P.13682	Pycnogonida	co113	0.0896	10000	Australia	-34.05833	151.20833	1898-03-10	Ammotheidae	POINT (151.20833 -34.05833)	Cilunculus	AM	Animalia	2 - 3 km off Port Hacking	2017-03-02T11:16:17	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13682	present	Arthropoda	Cilunculus australiensis	urn:lsid:marinespecies.org:taxname:240381	Male	australiensis	species	96d69dce-1007-49f1-83a9-0f7a687a29b4	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	-2266185600000.0	-2266185600000.0	-2266185600000.0	1898.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Cilunculus australiensis	2	1065	1274	1302	1358	379601	379608	1562	134572	240381	240381	Cilunculus australiensis	['NO_DEPTH']	24.0	1873	20.37	35.53																	
Occurrence	21581	Pycnogonida	NewCaledonia			Nouvelle Caledonie	-20.5699996948242	166.889999389648		Ammotheidae		Cilunculus	IRD-MNHN	Animalia	Biocal, DW8	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21581:0xBD89170001000100	present	Arthropoda	Cilunculus australiensis	urn:lsid:marinespecies.org:taxname:240381				983f5365-c85a-4020-ae92-7507de31807b	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Cilunculus australiensis	2	1065	1274	1302	1358	379601	379608	1562	134572	240381	240381	Cilunculus australiensis	[]	564.0	23785	25.89	35.04	Stock JH (1991). Musorstom 8(151): 125-212.	https://marineinfo.org/id/dataset/3128	435.0	435.0				435.0	Biota	1.0							
PreservedSpecimen	2008-20635	Pycnogonida	IU				-20.584867	166.900848		Ammotheidae	POINT  (166.900848 -20.584867)	Cilunculus	MNHN	Animalia	Entre Ouvéa et Lifou	2015-06-19T21:23Z	462403025		Arthropoda	Cilunculus australiensis	urn:lsid:marinespecies.org:taxname:240381		australiensis	SPECIES	cfb69416-dd0b-49e2-b6cf-8da9bcae8820	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Cilunculus australiensis	2	1065	1274	1302	1358	379601	379608	1562	134572	240381	240381	Cilunculus australiensis Clark, W.C., 1963	['NO_DEPTH']	493.0	21799	25.88	35.05					http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20635	Clark, 1963					NC	BIOCAL/DW08	WGS84	1	CC_BY_4_0	Bouchet, Métivier & Richer de Forges-IRD coll.	Pacific Ocean
PreservedSpecimen	2008-20634	Pycnogonida	IU				-20.584867	166.900848		Ammotheidae	POINT  (166.900848 -20.584867)	Cilunculus	MNHN	Animalia	Entre Ouvéa et Lifou	2015-08-25T14:39Z	462423029		Arthropoda	Cilunculus australiensis	urn:lsid:marinespecies.org:taxname:240381		australiensis	SPECIES	dabfcc83-a5b1-4b8f-b09c-efdf567d346e	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Cilunculus australiensis	2	1065	1274	1302	1358	379601	379608	1562	134572	240381	240381	Cilunculus australiensis Clark, W.C., 1963	['NO_DEPTH']	493.0	21799	25.88	35.05					http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20634	Clark, 1963					NC	BIOCAL/DW08	WGS84	2	CC_BY_4_0	Bouchet, Métivier & Richer de Forges-IRD coll.	Pacific Ocean
PreservedSpecimen	P.42901	Pycnogonida	co113	0.0009	100	Australia	-28.19066	153.57782	1993-06-08	Ammotheidae	POINT (153.57782 -28.19066)	Cilunculus	AM	Animalia	Cook Island, North Ledge	2017-03-02T15:58:01	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42901	present	Arthropoda	Cilunculus australiensis	urn:lsid:marinespecies.org:taxname:240381	Female	australiensis	species	ff2b4704-ee80-40fb-9fb1-53ce38bf9e08	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	739497600000.0	739497600000.0	739497600000.0	1993.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Cilunculus australiensis	2	1065	1274	1302	1358	379601	379608	1562	134572	240381	240381	Cilunculus australiensis	['NO_DEPTH']	19.16	421	23.41	35.4																	
