associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	stateProvince	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	datasetID	modified	occurrenceID	occurrenceStatus	superdomain	superdomainid	lifeStage
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234641.186382	Invertebrate Zoology: Crustacea	United States	1	36.2766685486	-122.593330383	observedindividualcount=1;	1992-03-01T12:00:00Z	Bowman, Thomas E.	1.0	USNM	Monterey Canyon	2680	2650	3	Alcohol (Ethanol)	Moss Landing Marine Laboratories	Colossendeis peloria	Child	urn:lsid:marinespecies.org:taxname:239643	California	Holotype	North Pacific Ocean	1992	70a01667-d8ed-4659-a975-55ab2be16987	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2665	699408000000.0	699408000000.0	699408000000.0	1992.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis peloria	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239643	239643	Colossendeis peloria	[]	2714	61998	13.65	32.95								
	Occurrence						8.625	-104.209999084473						8?N - EPR	2580	2538				Colossendeis peloria		urn:lsid:marinespecies.org:taxname:239643					8725647e-473e-4bc6-a313-69a9fad8a6c3	471a8de8-80f8-43f9-9443-88a45712feba	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2559					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis peloria	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239643	239643	Colossendeis peloria	[]	2583	578198	28.07	33.42	East Pacific Rise	https://marineinfo.org/id/dataset/212	1970-01-01 01:00:00	urn:catalog::0x327DDC0001000600	present	Biota	1.0	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234642.186383	Invertebrate Zoology: Crustacea	United States	1	36.3383293152	-122.60333252	observedindividualcount=1;	1992-03-01T12:00:00Z	Bowman, Thomas E.	1.0	USNM	Monterey Canyon	2750	2620	3	Alcohol (Ethanol)	Moss Landing Marine Laboratories	Colossendeis peloria	Child	urn:lsid:marinespecies.org:taxname:239643	California	Paratype	North Pacific Ocean	1992	8c405a21-9ce6-45e1-ba1f-53597c43a48c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2685	699408000000.0	699408000000.0	699408000000.0	1992.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis peloria	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239643	239643	Colossendeis peloria	[]	2790	61022	13.63	32.92								juvenile
